occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
87957	ASU	B. McCune	Montana	Gallatin	242.15	outside_boundary_exact	NA	48.3833333,-111.15	Montana, Liberty County	Gallatin Range	https://lichenportal.org/portal/collections/individual/index.php?occid=87957
94964	ASU	D.E. Anderegg	Montana	Sweet Grass	79.1	outside_boundary_exact	NA	45.0125,-109.0125	Montana, Carbon County	65 mi west of Billings, Montana, Sec. 21, T11S, R16E	https://lichenportal.org/portal/collections/individual/index.php?occid=94964
90972	ASU	B. McCune	Montana	Beaverhead	72.4	outside_boundary_exact	NA	46.5833333,-113.3333333	Montana, Granite County	Above South Fork Steel Creek, 3 km S of Ranger Station Pioneer Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=90972
99377	ASU	B. McCune	Montana	Beaverhead	72.4	outside_boundary_exact	NA	46.5833333,-113.3333333	Montana, Granite County	Above South Fork Steel Creek, 3 km S of Ranger Station Pioneer Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=99377
706932	ASU	B.D. Ryan	Montana	Gallatin	67.38	outside_boundary_exact	ASUL001502	45.058333,-110.166666666667	Montana, Park County	Start of Teepee Creek Trail, E of Hwy 191, 54.7 miles S of Bozeman	https://lichenportal.org/portal/collections/individual/index.php?occid=706932
706945	ASU	B.D. Ryan	Montana	Gallatin	67.38	outside_boundary_exact	ASUL005376	45.058333,-110.166666666667	Montana, Park County	Start of Teepee Creek Trail, E of Hwy 191, 54.7 miles S of Bozeman	https://lichenportal.org/portal/collections/individual/index.php?occid=706945
707129	ASU	B.D. Ryan	Montana	Gallatin	67.38	outside_boundary_exact	ASUL020200	45.058333,-110.166666666667	Montana, Park County	Start of Teepee Creek Trail, E of Hwy 191, 54.7 miles S of Bozeman	https://lichenportal.org/portal/collections/individual/index.php?occid=707129
2698486	ASU	B.D. Ryan	Montana	Gallatin	67.38	outside_boundary_exact	ASUL006916	45.058333,-110.166666666667	Montana, Park County	Start of Teepee Creek Trail, E of Hwy 191, 54.7 miles S of Bozeman	https://lichenportal.org/portal/collections/individual/index.php?occid=2698486
48369	ASU	T.H. Nash	Montana	Park	31.09	outside_boundary_exact	NA	45.01457,-109.40357	Montana, Carbon County	Beartooth Plateau	https://lichenportal.org/portal/collections/individual/index.php?occid=48369
106763	ASU	T.H. Nash III	Montana	Park	23.49	outside_boundary_exact	NA	45.05,-109.5	Montana, Carbon County	Beartooth Plateau NE of Yellowstone National Park in Gallatin National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=106763
99302	ASU	R. Rosentreter	Montana	Flathead	21.3	outside_boundary_exact	NA	47.66296,-114.26502	Montana, Lake County	Near Buffalo rapids on the Flathead River S of Polson	https://lichenportal.org/portal/collections/individual/index.php?occid=99302
71035	ASU	B. McCune	Montana	Lake	20.11	outside_boundary_exact	ASUL017976	47.8833333,-114.8333333	Montana, Flathead County	Near Swan Valley, 6 km S of town of Swan Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=71035
101919	ASU	B. McCune	Montana	Lake	20.11	outside_boundary_exact	NA	47.8833333,-114.8333333	Montana, Flathead County	Near Swan Valley, 6 km S of town of Swan Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=101919
95499	ASU	B. McCune	Montana	Beaverhead	17.73	outside_boundary_exact	NA	45.9,-112.6666667	Montana, Silver Bow County	Pioneer Mountains, narrow gorge of Canyon Creek, upstream from Forest Service Ranger Station	https://lichenportal.org/portal/collections/individual/index.php?occid=95499
2697659	ASU	L. St. Clair	Montana	Deer Lodge	15.96	outside_boundary_exact	NA	46.14485,-113.49137	Montana, Granite County	Beaverhead-Deerlodge National Forest, vicinity of Four Mile Basin	https://lichenportal.org/portal/collections/individual/index.php?occid=2697659
48370	ASU	T.H. Nash III	Montana	Carbon	10.61	outside_boundary_exact	NA	45.0166667,-109.93333	Montana, Park County	Beartooth Plateau	https://lichenportal.org/portal/collections/individual/index.php?occid=48370
48376	ASU	T.H. Nash III	Montana	Carbon	10.61	outside_boundary_exact	NA	45.0166667,-109.9333333	Montana, Park County	Beartooth Plateau NE of Yellowstone National Park in Gallatin National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=48376
48378	ASU	T.H. Nash III	Montana	Carbon	10.61	outside_boundary_exact	NA	45.0166667,-109.93333	Montana, Park County	Beartooth Plateau	https://lichenportal.org/portal/collections/individual/index.php?occid=48378
48379	ASU	T.H. Nash III	Montana	Carbon	10.61	outside_boundary_exact	ASUL013260	45.0166667,-109.93333	Montana, Park County	Beartooth Plateau	https://lichenportal.org/portal/collections/individual/index.php?occid=48379
71036	ASU	B. McCune	Montana	Ravalli	10.55	outside_boundary_exact	ASUL017975	45.3833333,-114.25	Idaho, Lemhi County	Bear Creek Canyon, Bitterroot Range	https://lichenportal.org/portal/collections/individual/index.php?occid=71036
73558	ASU	B. McCune	Montana	Ravalli	9.83	outside_boundary_exact	ASUL046123	45.3833333,-114.2666667	Idaho, Lemhi County	Bear Creek Canyon, 0.5 km upstream from road end, Bitterroot Range	https://lichenportal.org/portal/collections/individual/index.php?occid=73558
82191	ASU	B. McCune	Montana	Treasure	7.31	outside_boundary_exact	NA	46.1166667,-107.5833333	Montana, Yellowstone County	above rest area on I-94 between Forsyth and Billings, near mile marker 40	https://lichenportal.org/portal/collections/individual/index.php?occid=82191
97551	ASU	B. McCune	Montana	Treasure	7.31	outside_boundary_exact	NA	46.1166667,-107.5833333	Montana, Yellowstone County	above rest area on I-94 between Forsyth and Billings, near mile marker 40	https://lichenportal.org/portal/collections/individual/index.php?occid=97551
83964	ASU	B. McCune	Montana	Ravalli	6.22	outside_boundary_exact	NA	46.7166667,-114.3	Montana, Missoula County	Bitterroot Range, South Fork Lolo Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=83964
68924	ASU	B. McCune	Montana	Sanders	6.16	outside_boundary_exact	NA	47.3416667,-115.05	Montana, Mineral County	Near Lolo National Forest Boundary downstream from St. Regis, E side of river	https://lichenportal.org/portal/collections/individual/index.php?occid=68924
71108	ASU	M.A. Lane	Montana	Park	3.59	outside_boundary_exact	ASUL014022	45.104497,-111.092393	Montana, Gallatin County	Yellowstone National Park, Gallatin Petrified Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=71108
87778	ASU	M.A. Lane	Montana	Park	3.59	outside_boundary_exact	NA	45.104497,-111.092393	Montana, Gallatin County	Yellowstone National Park, Gallatin Petrified Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=87778
89828	ASU	M.A. Lane	Montana	Park	3.59	outside_boundary_exact	NA	45.104497,-111.092393	Montana, Gallatin County	Yellowstone National Park, Gallatin Petrified Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=89828
90285	ASU	M.A. Lane	Montana	Park	3.59	outside_boundary_exact	NA	45.104497,-111.092393	Montana, Gallatin County	Yellowstone National Park, Gallatin Petrified Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=90285
2427298	ASU	M.A. Lane	Montana	Park	3.59	outside_boundary_exact	NA	45.104497,-111.092393	Montana, Gallatin County	Yellowstone National Park, Gallatin Petrified Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=2427298
101918	ASU	R. Rosentreter	Montana	Flathead	3.49	outside_boundary_exact	NA	48.02,-113.98	Montana, Lake County	N. edge of Swan Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=101918
93150	ASU	B.D. Ryan	Montana	Gallatin	3.24	outside_boundary_exact	NA	45.0047222,-111.0038889	Montana, Park County	Hwy 191, 39 mi S of Bozeman	https://lichenportal.org/portal/collections/individual/index.php?occid=93150
94679	ASU	B.D. Ryan	Montana	Gallatin	3.24	outside_boundary_exact	NA	45.0047222,-111.0038889	Montana, Park County	Hwy 191, 39 mi S of Bozeman	https://lichenportal.org/portal/collections/individual/index.php?occid=94679
102419	ASU	B.D. Ryan	Montana	Gallatin	3.24	outside_boundary_exact	NA	45.0047222,-111.0038889	Montana, Park County	Hwy 191, 39 mi S of Bozeman	https://lichenportal.org/portal/collections/individual/index.php?occid=102419
2697039	ASU	B.D. Ryan	Montana	Gallatin	3.24	outside_boundary_exact	NA	45.0047222,-111.0038889	Montana, Park County	Hwy 191, 39 mi S of Bozeman	https://lichenportal.org/portal/collections/individual/index.php?occid=2697039
