occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1570397	BRY	Sam Shushan	Montana	Granite	7162.74	outside_boundary_exact	BRY-L-0020983	16.58,-42.887	not_found_in_US	Deerlodge National Forest: Anaconda-Pintler Wilderness Area, Goat Flat.	https://lichenportal.org/portal/collections/individual/index.php?occid=1570397
1471076	BRY	Sam Shushan	Montana	Granite	7162.74	outside_boundary_exact	BRY-L-0020984	16.58,-42.887	not_found_in_US	Deerlodge National Forest: Anaconda-Pintler Wilderness Area, Goat Flat.	https://lichenportal.org/portal/collections/individual/index.php?occid=1471076
1361734	BRY	Maynard C. Bowers	Montana	Glacier	6921.93	outside_boundary_exact	BRY-L-0017575	13.666667,-48.75	not_found_in_US	Glacier National Park: on Piegan Pass between Piegan Mountain And Mountain Cataract	https://lichenportal.org/portal/collections/individual/index.php?occid=1361734
1832849	BRY	Larry L. St. Clair	Montana	Sanders	202.55	outside_boundary_exact	BRY-L-0028393	46.705683,-111.614099	Montana, Broadwater County	Helena National Forest: Gates of the Mountain Wilderness Area, Hunters Gulch. GPS reading is via internet map and points to turnoff at head of Hunter's Gulch.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832849
1832840	BRY	Larry L. St. Clair	Montana	Sanders	202.55	outside_boundary_exact	BRY-L-0028394	46.705683,-111.614099	Montana, Broadwater County	Helena National Forest: Gates of the Mountain Wilderness Area, Hunters Gulch. GPS reading is via internet map and points to turnoff at head of Hunter's Gulch.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832840
1833428	BRY	Larry L. St. Clair	Montana	Sanders	202.55	outside_boundary_exact	BRY-L-0028395	46.705683,-111.614099	Montana, Broadwater County	Helena National Forest: Gates of the Mountain Wilderness Area, Hunters Gulch. GPS reading is via internet map and points to turnoff at head of Hunter's Gulch.	https://lichenportal.org/portal/collections/individual/index.php?occid=1833428
1832447	BRY	Larry L. St. Clair	Montana	Sanders	189.89	outside_boundary_exact	BRY-L-0028374	46.84916,-111.737545	Montana, Lewis and Clark County	Helena National Forest: Gates of the Mountain Wilderness Area, Refrigerator Canyon. GPS reading from internet map points to Refrigerator Canyon Trailhead parking lot along Beaver Creek Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832447
1833347	BRY	Larry L. St. Clair	Montana	Sanders	189.89	outside_boundary_exact	BRY-L-0028375	46.84916,-111.737545	Montana, Lewis and Clark County	Helena National Forest: Gates of the Mountain Wilderness Area, Refrigerator Canyon. GPS reading from internet map points to Refrigerator Canyon Trailhead parking lot along Beaver Creek Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=1833347
1832660	BRY	Larry L. St. Clair	Montana	Sanders	189.89	outside_boundary_exact	BRY-L-0028376	46.84916,-111.737545	Montana, Lewis and Clark County	Helena National Forest: Gates of the Mountain Wilderness Area, Refrigerator Canyon. GPS reading from internet map points to Refrigerator Canyon Trailhead parking lot along Beaver Creek Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832660
1832453	BRY	Larry L. St. Clair	Montana	Sanders	189.89	outside_boundary_exact	BRY-L-0028377	46.84916,-111.737545	Montana, Lewis and Clark County	Helena National Forest: Gates of the Mountain Wilderness Area, Refrigerator Canyon. GPS reading from internet map points to Refrigerator Canyon Trailhead parking lot along Beaver Creek Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832453
1833722	BRY	Larry L. St. Clair	Montana	Sanders	189.89	outside_boundary_exact	BRY-L-0028378	46.84916,-111.737545	Montana, Lewis and Clark County	Helena National Forest: Gates of the Mountain Wilderness Area, Refrigerator Canyon. GPS reading from internet map points to Refrigerator Canyon Trailhead parking lot along Beaver Creek Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=1833722
1832881	BRY	Larry L. St. Clair	Montana	Sanders	189.89	outside_boundary_exact	BRY-L-0028379	46.84916,-111.737545	Montana, Lewis and Clark County	Helena National Forest: Gates of the Mountain Wilderness Area, Refrigerator Canyon. GPS reading from internet map points to Refrigerator Canyon Trailhead parking lot along Beaver Creek Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832881
1834146	BRY	Larry L. St. Clair	Montana	Sanders	189.89	outside_boundary_exact	BRY-L-0028380	46.84916,-111.737545	Montana, Lewis and Clark County	Helena National Forest: Gates of the Mountain Wilderness Area, Refrigerator Canyon. GPS reading from internet map points to Refrigerator Canyon Trailhead parking lot along Beaver Creek Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=1834146
1833944	BRY	Larry L. St. Clair	Montana	Sanders	189.89	outside_boundary_exact	BRY-L-0028381	46.84916,-111.737545	Montana, Lewis and Clark County	Helena National Forest: Gates of the Mountain Wilderness Area, Refrigerator Canyon. GPS reading from internet map points to Refrigerator Canyon Trailhead parking lot along Beaver Creek Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=1833944
1833995	BRY	Larry L. St. Clair	Montana	Sanders	189.89	outside_boundary_exact	BRY-L-0028382	46.84916,-111.737545	Montana, Lewis and Clark County	Helena National Forest: Gates of the Mountain Wilderness Area, Refrigerator Canyon. GPS reading from internet map points to Refrigerator Canyon Trailhead parking lot along Beaver Creek Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=1833995
1833543	BRY	Larry L. St. Clair	Montana	Sanders	189.89	outside_boundary_exact	BRY-L-0028383	46.84916,-111.737545	Montana, Lewis and Clark County	Helena National Forest: Gates of the Mountain Wilderness Area, Refrigerator Canyon. GPS reading from internet map points to Refrigerator Canyon Trailhead parking lot along Beaver Creek Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=1833543
1833609	BRY	Larry L. St. Clair	Montana	Sanders	189.89	outside_boundary_exact	BRY-L-0028384	46.84916,-111.737545	Montana, Lewis and Clark County	Helena National Forest: Gates of the Mountain Wilderness Area, Refrigerator Canyon. GPS reading from internet map points to Refrigerator Canyon Trailhead parking lot along Beaver Creek Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=1833609
1833353	BRY	Larry L. St. Clair	Montana	Sanders	189.89	outside_boundary_exact	BRY-L-0028385	46.84916,-111.737545	Montana, Lewis and Clark County	Helena National Forest: Gates of the Mountain Wilderness Area, Refrigerator Canyon. GPS reading from internet map points to Refrigerator Canyon Trailhead parking lot along Beaver Creek Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=1833353
1833855	BRY	Larry L. St. Clair	Montana	Sanders	189.89	outside_boundary_exact	BRY-L-0028386	46.84916,-111.737545	Montana, Lewis and Clark County	Helena National Forest: Gates of the Mountain Wilderness Area, Refrigerator Canyon. GPS reading from internet map points to Refrigerator Canyon Trailhead parking lot along Beaver Creek Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=1833855
1770260	BRY	Larry L. St. Clair	Montana	Deerlodge	125.75	outside_boundary_similarity_0.7	BRY-L-0022200	46.0568,-115.13	Idaho, Idaho County	Beaverhead-Deerlodge National Forest: Four Mile Basin vicinity (northernmost lake).	https://lichenportal.org/portal/collections/individual/index.php?occid=1770260
1832761	BRY	Larry L. St. Clair	Montana	Missoula	111.32	outside_boundary_exact	BRY-L-0028006	48.07395,-115.683517	Montana, Sanders County	Kootenai National Forest: Cabinet Mountains Wilderness Area, vicinity of Milwaukee Pass.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832761
1832545	BRY	Larry L. St. Clair	Montana	Missoula	111.32	outside_boundary_exact	BRY-L-0028007	48.07395,-115.683517	Montana, Sanders County	Kootenai National Forest: Cabinet Mountains Wilderness Area, vicinity of Milwaukee Pass.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832545
1832384	BRY	Larry L. St. Clair	Montana	Missoula	111.32	outside_boundary_exact	BRY-L-0028008	48.07395,-115.683517	Montana, Sanders County	Kootenai National Forest: Cabinet Mountains Wilderness Area, vicinity of Milwaukee Pass.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832384
1832782	BRY	Larry L. St. Clair	Montana	Missoula	111.32	outside_boundary_exact	BRY-L-0028009	48.07395,-115.683517	Montana, Sanders County	Kootenai National Forest: Cabinet Mountains Wilderness Area, vicinity of Milwaukee Pass.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832782
1832672	BRY	Larry L. St. Clair	Montana	Missoula	111.32	outside_boundary_exact	BRY-L-0028010	48.07395,-115.683517	Montana, Sanders County	Kootenai National Forest: Cabinet Mountains Wilderness Area, vicinity of Milwaukee Pass.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832672
1832875	BRY	Larry L. St. Clair	Montana	Missoula	111.32	outside_boundary_exact	BRY-L-0028011	48.07395,-115.683517	Montana, Sanders County	Kootenai National Forest: Cabinet Mountains Wilderness Area, vicinity of Milwaukee Pass.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832875
1832785	BRY	Larry L. St. Clair	Montana	Missoula	111.32	outside_boundary_exact	BRY-L-0028012	48.07395,-115.683517	Montana, Sanders County	Kootenai National Forest: Cabinet Mountains Wilderness Area, vicinity of Milwaukee Pass.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832785
1832550	BRY	Larry L. St. Clair	Montana	Missoula	111.32	outside_boundary_exact	BRY-L-0028013	48.07395,-115.683517	Montana, Sanders County	Kootenai National Forest: Cabinet Mountains Wilderness Area, vicinity of Milwaukee Pass.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832550
1832488	BRY	Larry L. St. Clair	Montana	Missoula	111.32	outside_boundary_exact	BRY-L-0028014	48.07395,-115.683517	Montana, Sanders County	Kootenai National Forest: Cabinet Mountains Wilderness Area, vicinity of Milwaukee Pass.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832488
1832921	BRY	Larry L. St. Clair	Montana	Missoula	111.32	outside_boundary_exact	BRY-L-0028015	48.07395,-115.683517	Montana, Sanders County	Kootenai National Forest: Cabinet Mountains Wilderness Area, vicinity of Milwaukee Pass.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832921
1832253	BRY	Larry L. St. Clair	Montana	Missoula	111.32	outside_boundary_exact	BRY-L-0028016	48.07395,-115.683517	Montana, Sanders County	Kootenai National Forest: Cabinet Mountains Wilderness Area, vicinity of Milwaukee Pass.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832253
