occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1219134	BRY	Thomas H. Nash	Nevada	White Pine	7721.13	outside_boundary_exact	BRY-L-0010619	14.258333,-39.016667	not_found_in_US	Humboldt-Toiyabe National Forest: Snake Range north of Wheeler Peak, Lehman Campground	https://lichenportal.org/portal/collections/individual/index.php?occid=1219134
1772322	BRY	Larry L. St. Clair	Nevada	White Pine	1.03	outside_boundary_exact	BRY-L-0022879	38.86785,-115.374383	Nevada, Nye County	Humboldt-Toiyabe National Forest: Ely Ranger District, Currant Mountain Wilderness Area, along USFS Rd. No. 409, 3.9 miles N of Junction with US Highway 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1772322
1774202	BRY	Larry L. St. Clair	Nevada	White Pine	1.03	outside_boundary_exact	BRY-L-0022880	38.86785,-115.374383	Nevada, Nye County	Humboldt-Toiyabe National Forest: Ely Ranger District, Currant Mountain Wilderness Area, along USFS Rd. No. 409, 3.9 miles N of Junction with US Highway 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774202
1773406	BRY	Larry L. St. Clair	Nevada	White Pine	1.03	outside_boundary_exact	BRY-L-0022881	38.86785,-115.374383	Nevada, Nye County	Humboldt-Toiyabe National Forest: Ely Ranger District, Currant Mountain Wilderness Area, along USFS Rd. No. 409, 3.9 miles N of Junction with US Highway 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1773406
1774491	BRY	Larry L. St. Clair	Nevada	White Pine	1.03	outside_boundary_exact	BRY-L-0022882	38.86785,-115.374383	Nevada, Nye County	Humboldt-Toiyabe National Forest: Ely Ranger District, Currant Mountain Wilderness Area, along USFS Rd. No. 409, 3.9 miles N of Junction with US Highway 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774491
1770198	BRY	Larry L. St. Clair	Nevada	White Pine	1.03	outside_boundary_exact	BRY-L-0022883	38.86785,-115.374383	Nevada, Nye County	Humboldt-Toiyabe National Forest: Ely Ranger District, Currant Mountain Wilderness Area, along USFS Rd. No. 409, 3.9 miles N of Junction with US Highway 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1770198
1774521	BRY	Larry L. St. Clair	Nevada	White Pine	1.03	outside_boundary_exact	BRY-L-0022884	38.86785,-115.374383	Nevada, Nye County	Humboldt-Toiyabe National Forest: Ely Ranger District, Currant Mountain Wilderness Area, along USFS Rd. No. 409, 3.9 miles N of Junction with US Highway 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774521
1773657	BRY	Larry L. St. Clair	Nevada	White Pine	1.03	outside_boundary_exact	BRY-L-0022885	38.86785,-115.374383	Nevada, Nye County	Humboldt-Toiyabe National Forest: Ely Ranger District, Currant Mountain Wilderness Area, along USFS Rd. No. 409, 3.9 miles N of Junction with US Highway 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1773657
1770992	BRY	Larry L. St. Clair	Nevada	White Pine	1.03	outside_boundary_exact	BRY-L-0022886	38.86785,-115.374383	Nevada, Nye County	Humboldt-Toiyabe National Forest: Ely Ranger District, Currant Mountain Wilderness Area, along USFS Rd. No. 409, 3.9 miles N of Junction with US Highway 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1770992
1774270	BRY	Larry L. St. Clair	Nevada	White Pine	1.03	outside_boundary_exact	BRY-L-0022887	38.86785,-115.374383	Nevada, Nye County	Humboldt-Toiyabe National Forest: Ely Ranger District, Currant Mountain Wilderness Area, along USFS Rd. No. 409, 3.9 miles N of Junction with US Highway 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774270
1772020	BRY	Larry L. St. Clair	Nevada	White Pine	1.03	outside_boundary_exact	BRY-L-0022888	38.86785,-115.374383	Nevada, Nye County	Humboldt-Toiyabe National Forest: Ely Ranger District, Currant Mountain Wilderness Area, along USFS Rd. No. 409, 3.9 miles N of Junction with US Highway 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1772020
1772876	BRY	Larry L. St. Clair	Nevada	White Pine	1.03	outside_boundary_exact	BRY-L-0022889	38.86785,-115.374383	Nevada, Nye County	Humboldt-Toiyabe National Forest: Ely Ranger District, Currant Mountain Wilderness Area, along USFS Rd. No. 409, 3.9 miles N of Junction with US Highway 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1772876
1772103	BRY	Larry L. St. Clair	Nevada	White Pine	1.03	outside_boundary_exact	BRY-L-0022890	38.86785,-115.374383	Nevada, Nye County	Humboldt-Toiyabe National Forest: Ely Ranger District, Currant Mountain Wilderness Area, along USFS Rd. No. 409, 3.9 miles N of Junction with US Highway 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1772103
1770280	BRY	Larry L. St. Clair	Nevada	White Pine	1.03	outside_boundary_exact	BRY-L-0022891	38.86785,-115.374383	Nevada, Nye County	Humboldt-Toiyabe National Forest: Ely Ranger District, Currant Mountain Wilderness Area, along USFS Rd. No. 409, 3.9 miles N of Junction with US Highway 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1770280
1774444	BRY	Larry L. St. Clair	Nevada	White Pine	1.03	outside_boundary_exact	BRY-L-0022892	38.86785,-115.374383	Nevada, Nye County	Humboldt-Toiyabe National Forest: Ely Ranger District, Currant Mountain Wilderness Area, along USFS Rd. No. 409, 3.9 miles N of Junction with US Highway 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774444
1773148	BRY	Larry L. St. Clair	Nevada	White Pine	1.03	outside_boundary_exact	BRY-L-0022893	38.86785,-115.374383	Nevada, Nye County	Humboldt-Toiyabe National Forest: Ely Ranger District, Currant Mountain Wilderness Area, along USFS Rd. No. 409, 3.9 miles N of Junction with US Highway 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1773148
1771971	BRY	Larry L. St. Clair	Nevada	White Pine	1.03	outside_boundary_exact	BRY-L-0022894	38.86785,-115.374383	Nevada, Nye County	Humboldt-Toiyabe National Forest: Ely Ranger District, Currant Mountain Wilderness Area, along USFS Rd. No. 409, 3.9 miles N of Junction with US Highway 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1771971
1774323	BRY	Larry L. St. Clair	Nevada	White Pine	1.03	outside_boundary_exact	BRY-L-0022895	38.86785,-115.374383	Nevada, Nye County	Humboldt-Toiyabe National Forest: Ely Ranger District, Currant Mountain Wilderness Area, along USFS Rd. No. 409, 3.9 miles N of Junction with US Highway 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774323
