occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
5708681	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Red River (Co.)	201.98	outside_boundary_reverse_partial	CANL 10021954	30.1,-92.9	Louisiana, Calcasieu County	Red River Co. & Winn Co., Cloud Crossing, Kisatchie Nat. Forst, for Rd 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=5708681
452184	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Red River (Parish)	22.71	outside_boundary_reverse_partial	CANL 116164	32.1,-92.9	Louisiana, Winn County	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=452184
452927	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Red River (Parish)	22.71	outside_boundary_reverse_partial	CANL 116929	32.1,-92.9	Louisiana, Winn County	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=452927
452216	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Red River (Parish)	22.71	outside_boundary_reverse_partial	CANL 116196	32.1,-92.9	Louisiana, Winn County	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=452216
452736	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Red River (Parish)	22.71	outside_boundary_reverse_partial	CANL 116730	32.1,-92.9	Louisiana, Winn County	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=452736
453142	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Red River (Parish)	22.71	outside_boundary_reverse_partial	CANL 117148	32.1,-92.9	Louisiana, Winn County	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=453142
452735	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Red River (Parish)	22.71	outside_boundary_reverse_partial	CANL 116729	32.1,-92.9	Louisiana, Winn County	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=452735
451251	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Red River (Parish)	22.71	outside_boundary_reverse_partial	CANL 115224	32.1,-92.9	Louisiana, Winn County	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=451251
451542	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Red River (Parish)	22.71	outside_boundary_reverse_partial	CANL 115519	32.1,-92.9	Louisiana, Winn County	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=451542
452215	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Red River (Parish)	22.71	outside_boundary_reverse_partial	CANL 116195	32.1,-92.9	Louisiana, Winn County	Cloud Crossing, Kisatchie National Forest, Forest Road 513, at Saline Bayou	https://lichenportal.org/portal/collections/individual/index.php?occid=452215
3783846	CMN	Tucker, Shirley C.	Louisiana	East Feliciana (Parish)	8.2	outside_boundary_reverse_partial	CANL 69447	30.8,-90.75	Louisiana, St. Helena County	East Feliciana Parish, Idlewood Experimental Farm, about 3 miles SE of Clinton.	https://lichenportal.org/portal/collections/individual/index.php?occid=3783846
3444029	CMN	Tucker, Shirley C.	Louisiana	East Feliciana (Parish)	8.2	outside_boundary_reverse_partial	CANL 69451	30.8,-90.75	Louisiana, St. Helena County	East Feliciana Parish, in pine forest on uplands, Idlewild Experimental farm, 3 miles SE of Clinton.	https://lichenportal.org/portal/collections/individual/index.php?occid=3444029
451778	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Louisiana	Natchitoches (Parish)	3.44	outside_boundary_reverse_partial	CANL 115758	31.3333,-93.1833	Louisiana, Vernon County	Kisatchie National Forest, Old Bellwood cemetary, Junction of LA 117, Longleaf Trail Scenic Byway, behind Dogwood Campground	https://lichenportal.org/portal/collections/individual/index.php?occid=451778
