occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
454328	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Linn Co. (OR)	698.8	outside_boundary_reverse_partial	CANL 118585	44.4333,-112.983	Idaho, Lemhi County	Willamette National Forest, lava beds W of Santiam Pass. OR 20, 1.5 miles W of junction OR 22.	https://lichenportal.org/portal/collections/individual/index.php?occid=454328
3333632	CMN	Brodo, Irwin M.	Oregon	Curry Co. (OR)	320.76	outside_boundary_reverse_partial	CANL 123455	45.8333,-124.55	not_found_in_US	Cape Blanco, 8 miles N of Port Orford.	https://lichenportal.org/portal/collections/individual/index.php?occid=3333632
3326827	CMN	Eyerdam, Walter Jacob	Oregon	Jefferson Co. (OR)	248.89	outside_boundary_reverse_partial	CANL 121960	42.4333,-123.317	Oregon, Josephine County	Grants Pass, Josephine County.	https://lichenportal.org/portal/collections/individual/index.php?occid=3326827
452591	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Marion Co. (OR)	105.99	outside_boundary_reverse_partial	CANL 116571	43.7667,-122.517	Oregon, Lane County	Fisherman\\'\\'s Bend Recreation Area, near Mill City, OR 22	https://lichenportal.org/portal/collections/individual/index.php?occid=452591
453041	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Marion Co. (OR)	102.56	outside_boundary_reverse_partial	CANL 117047	43.7667,-122.1	Oregon, Lane County	Willamette National Forest, NE of Detroit, Detroit-Breitenbush Road, at Byars Creek bridge	https://lichenportal.org/portal/collections/individual/index.php?occid=453041
453381	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Marion Co. (OR)	102.5	outside_boundary_reverse_partial	CANL 117385	43.7667,-122.083	Oregon, Lane County	Willamette National Forest, Humbug Flat Trail, near Humbug Campground, Detroit-Breitenbush Road, NE of Detroit	https://lichenportal.org/portal/collections/individual/index.php?occid=453381
451770	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Marion Co. (OR)	102.5	outside_boundary_reverse_partial	CANL 115750	43.7667,-122.083	Oregon, Lane County	Willamette National Forest, Humbug Flat Trail, near Humbug Campground, Detroit-Breitenbush Road, NE of Detroit	https://lichenportal.org/portal/collections/individual/index.php?occid=451770
5700875	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Marion Co. (OR)	100.73	outside_boundary_reverse_partial	CANL 10022008	43.78,-121.98	Oregon, Lane County	Willamette Nat. Forest, Breitenbush Campground, Detroit-Breitenbush Rd, NE of Detroit	https://lichenportal.org/portal/collections/individual/index.php?occid=5700875
5706274	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Marion Co. (OR)	100.73	outside_boundary_reverse_partial	CANL 10022009	43.78,-121.98	Oregon, Lane County	Willamette Nat. Forest, Breitenbush Campground, Detroit-Breitenbush Rd, NE of Detroit	https://lichenportal.org/portal/collections/individual/index.php?occid=5706274
452243	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Marion Co. (OR)	100.4	outside_boundary_reverse_partial	CANL 116223	43.7833,-122	Oregon, Lane County	Willamette National Forest, NE of Detroit, Detroit-Breitenbush Road, junction road 2231 in Hill Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=452243
452319	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Marion Co. (OR)	100.37	outside_boundary_reverse_partial	CANL 116300	43.7833,-121.983	Oregon, Lane County	Willamette National Forest, Breitenbush Campground, Detroit-Breitenbush Road, NE of Detroit	https://lichenportal.org/portal/collections/individual/index.php?occid=452319
453218	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Marion Co. (OR)	100.37	outside_boundary_reverse_partial	CANL 117224	43.7833,-121.983	Oregon, Lane County	Willamette National Forest, Breitenbush Campground, Detroit-Breitenbush Road, NE of Detroit	https://lichenportal.org/portal/collections/individual/index.php?occid=453218
3326718	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Grant Co. (OR)	72.87	outside_boundary_reverse_partial	CANL 101369	43.3167,-118.667	Oregon, Harney County	About 12 miles south of hwy. 26, about 2 miles south of Prairie City.	https://lichenportal.org/portal/collections/individual/index.php?occid=3326718
452627	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Linn Co. (OR)	58.47	outside_boundary_reverse_partial	CANL 116607	43.7167,-122.117	Oregon, Lane County	Willamette National Forest, Hoover Campground, OR 22, along N Santiam River, E of Detroit	https://lichenportal.org/portal/collections/individual/index.php?occid=452627
453173	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Linn Co. (OR)	58.47	outside_boundary_reverse_partial	CANL 117179	43.7167,-122.117	Oregon, Lane County	Willamette National Forest, Hoover Campground, OR 22, along N Santiam River, E of Detroit	https://lichenportal.org/portal/collections/individual/index.php?occid=453173
452626	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Linn Co. (OR)	58.47	outside_boundary_reverse_partial	CANL 116606	43.7167,-122.117	Oregon, Lane County	Willamette National Forest, Hoover Campground, OR 22, along N Santiam River, E of Detroit	https://lichenportal.org/portal/collections/individual/index.php?occid=452626
5700253	CMN	Brodo, Irwin M. | Wetmore, Clifford M. | Pike, L.H.	Oregon	Lincoln Co. (OR)	32.65	outside_boundary_reverse_partial	CANL 10020597	44.42,-124.57	not_found_in_US	2 miles E of Waldport, W.B. Nelson Wayside	https://lichenportal.org/portal/collections/individual/index.php?occid=5700253
5698495	CMN	Brodo, Irwin M.	Oregon	Lincoln Co. (OR)	32.35	outside_boundary_reverse_partial	CANL 10028031	44.417,-124.567	not_found_in_US	2 miles E of Waldport, W. B. Nelson Wayside	https://lichenportal.org/portal/collections/individual/index.php?occid=5698495
5702723	CMN	Brodo, Irwin M.	Oregon	Lincoln Co. (OR)	32.35	outside_boundary_reverse_partial	CANL 10027951	44.417,-124.567	not_found_in_US	2 miles E of Waldport, W. B. Nelson Wayside	https://lichenportal.org/portal/collections/individual/index.php?occid=5702723
5707962	CMN	Brodo, Irwin M.	Oregon	Lincoln Co. (OR)	32.35	outside_boundary_reverse_partial	CANL 10028098	44.417,-124.567	not_found_in_US	2 miles E of Waldport, W. B. Nelson Wayside	https://lichenportal.org/portal/collections/individual/index.php?occid=5707962
3331885	CMN	Bratt, C.	Oregon	Multnomah Co.	14.11	outside_boundary_exact	CANL 121915	45.3333,-121.933	Oregon, Clackamas County	Moffett Creek Meadow, Mt. Hood National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=3331885
454887	CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Oregon	Wasco Co.	0.46	outside_boundary_exact	CANL 119387	45.7,-121.433	Washington, Klickitat County	Memaloose State Park. W of The Dalles Interstate 84.	https://lichenportal.org/portal/collections/individual/index.php?occid=454887
453251	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Wasco Co.	0.46	outside_boundary_exact	CANL 117257	45.7,-121.433	Washington, Klickitat County	Memaloose State Park, West of The Dalles, Interstate 84, in campground	https://lichenportal.org/portal/collections/individual/index.php?occid=453251
3318339	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Wasco Co.	0.46	outside_boundary_exact	CANL 116862	45.7,-121.433	Washington, Klickitat County	Memaloose State Park, West of The Dalles, Interstate 84, rocks near campground	https://lichenportal.org/portal/collections/individual/index.php?occid=3318339
454420	CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Oregon	Wasco Co.	0.46	outside_boundary_exact	CANL 118676	45.7,-121.433	Washington, Klickitat County	Memaloose State Park. W of the Dalles, interstate 84, rocks near campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=454420
452676	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Wasco Co.	0.46	outside_boundary_exact	CANL 116669	45.7,-121.433	Washington, Klickitat County	Memaloose State Park, West of The Dalles, Interstate 84, rocks near campground	https://lichenportal.org/portal/collections/individual/index.php?occid=452676
452666	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Wasco Co.	0.46	outside_boundary_exact	CANL 116659	45.7,-121.433	Washington, Klickitat County	Memaloose State Park, West of The Dalles, Interstate 84, rocks near campground	https://lichenportal.org/portal/collections/individual/index.php?occid=452666
452893	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Wasco Co.	0.46	outside_boundary_exact	CANL 10019486	45.7,-121.433	Washington, Klickitat County	Memaloose State Park, West of The Dalles, Interstate 84, rocks near campground	https://lichenportal.org/portal/collections/individual/index.php?occid=452893
3322487	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Wasco Co.	0.46	outside_boundary_exact	CANL 116860	45.7,-121.433	Washington, Klickitat County	Memaloose State Park, West of The Dalles, Interstate 84, rocks near campground	https://lichenportal.org/portal/collections/individual/index.php?occid=3322487
3322988	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Wasco Co.	0.46	outside_boundary_exact	CANL 116861	45.7,-121.433	Washington, Klickitat County	Memaloose State Park, West of The Dalles, Interstate 84, rocks near campground	https://lichenportal.org/portal/collections/individual/index.php?occid=3322988
3329631	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Wasco Co.	0.46	outside_boundary_exact	CANL 116863	45.7,-121.433	Washington, Klickitat County	Memaloose State Park, West of The Dalles, Interstate 84, in campground	https://lichenportal.org/portal/collections/individual/index.php?occid=3329631
453356	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Wasco Co.	0.46	outside_boundary_exact	CANL 117361	45.7,-121.433	Washington, Klickitat County	Memaloose State Park, West of The Dalles, Interstate 84, in campground	https://lichenportal.org/portal/collections/individual/index.php?occid=453356
451266	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Baker Co. (OR)	0.45	outside_boundary_reverse_partial	CANL 115239	44.95,-118.25	Oregon, Grant County	Wallowa-Whitmen National Forest, Anthony Lakes Campground, Forest Road 73	https://lichenportal.org/portal/collections/individual/index.php?occid=451266
451242	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Baker Co. (OR)	0.45	outside_boundary_reverse_partial	CANL 115216	44.95,-118.25	Oregon, Grant County	Wallowa-Whitmen National Forest, Anthony Lakes Campground, Forest Road 73	https://lichenportal.org/portal/collections/individual/index.php?occid=451242
451290	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Baker Co. (OR)	0.45	outside_boundary_reverse_partial	CANL 115262	44.95,-118.25	Oregon, Grant County	Wallowa-Whitmen National Forest, Elkhorn Crest Trailhead, Forest Road 73	https://lichenportal.org/portal/collections/individual/index.php?occid=451290
452551	CMN	Sharnoff, Sylvia D. | Sharnoff, Stephen	Oregon	Hood River Co.	0.34	outside_boundary_exact	CANL 116532	45.7,-121.7	Washington, Skamania County	Starvation Falls Rest Area, S side, Columbia River, Interstate 84, West of Hood River	https://lichenportal.org/portal/collections/individual/index.php?occid=452551
