occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
451607	CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Tennessee	Carter Co. (TN)	2.35	outside_boundary_reverse_partial	CANL 115585	36.0833,-82.1333	North Carolina, Mitchell County	Roan Mountain, S of Elizabethton, off TN 143, Round Bald	https://lichenportal.org/portal/collections/individual/index.php?occid=451607
451748	CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Tennessee	Carter Co. (TN)	2.35	outside_boundary_reverse_partial	CANL 115729	36.0833,-82.1333	North Carolina, Mitchell County	Roan Mountain, S of Elizabethton, off TN 143, Round Bald	https://lichenportal.org/portal/collections/individual/index.php?occid=451748
454546	CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Tennessee	Carter Co. (TN)	2.35	outside_boundary_reverse_partial	CANL 118812	36.0833,-82.1333	North Carolina, Mitchell County	Roan Mountain. S of Elizabethton off TN 143. Round Bald.	https://lichenportal.org/portal/collections/individual/index.php?occid=454546
452812	CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Tennessee	Carter Co. (TN)	2.35	outside_boundary_reverse_partial	CANL 116807	36.0833,-82.1333	North Carolina, Mitchell County	Roan Mountain, S of Elizabethton, off TN 143, Round Bald	https://lichenportal.org/portal/collections/individual/index.php?occid=452812
453469	CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Tennessee	Carter Co. (TN)	2.35	outside_boundary_reverse_partial	CANL 117479	36.0833,-82.1333	North Carolina, Mitchell County	Roan Mountain, S of Elizabethton, off TN 143, Round Bald	https://lichenportal.org/portal/collections/individual/index.php?occid=453469
452087	CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Tennessee	Carter Co. (TN)	2.35	outside_boundary_reverse_partial	CANL 116065	36.0833,-82.1333	North Carolina, Mitchell County	Roan Mountain, S of Elizabethton, off TN 143, Round Bald	https://lichenportal.org/portal/collections/individual/index.php?occid=452087
454445	CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Tennessee	Carter Co. (TN)	2.35	outside_boundary_reverse_partial	CANL 118716	36.0833,-82.1333	North Carolina, Mitchell County	Roan Mountain. S of Elizabethton off TN 143. Round Bald.	https://lichenportal.org/portal/collections/individual/index.php?occid=454445
451697	CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Tennessee	Carter Co. (TN)	2.35	outside_boundary_reverse_partial	CANL 115676	36.0833,-82.1333	North Carolina, Mitchell County	Roan Mountain, S of Elizabethton, off TN 143, Round Bald	https://lichenportal.org/portal/collections/individual/index.php?occid=451697
451747	CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Tennessee	Carter Co. (TN)	2.35	outside_boundary_reverse_partial	CANL 115728	36.0833,-82.1333	North Carolina, Mitchell County	Roan Mountain, S of Elizabethton, off TN 143, Round Bald	https://lichenportal.org/portal/collections/individual/index.php?occid=451747
452436	CMN	Sharnoff, Stephen | Sharnoff, Sylvia D.	Tennessee	Carter Co. (TN)	2.35	outside_boundary_reverse_partial	CANL 116417	36.0833,-82.1333	North Carolina, Mitchell County	Roan Mountain, S of Elizabethton, off TN 143, Round Bald	https://lichenportal.org/portal/collections/individual/index.php?occid=452436
