occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
450593	CMN	Hammer, S.	Vermont	Windham Co. (VT)	47.17	outside_boundary_reverse_partial	CANL 113756	43.3333,-73.5	New York, Washington County	South of Windham	https://lichenportal.org/portal/collections/individual/index.php?occid=450593
450582	CMN	Hammer, S.	Vermont	Windham Co. (VT)	47.17	outside_boundary_reverse_partial	CANL 113745	43.3333,-73.5	New York, Washington County	Immediately south of Windham	https://lichenportal.org/portal/collections/individual/index.php?occid=450582
450562	CMN	Hammer, S.	Vermont	Windham Co. (VT)	47.17	outside_boundary_reverse_partial	CANL 113723	43.3333,-73.5	New York, Washington County	South of Windham	https://lichenportal.org/portal/collections/individual/index.php?occid=450562
450575	CMN	Hammer, S.	Vermont	Windham Co. (VT)	47.17	outside_boundary_reverse_partial	CANL 113737	43.3333,-73.5	New York, Washington County	South of Windham	https://lichenportal.org/portal/collections/individual/index.php?occid=450575
450578	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113741	43,-73	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450578
450629	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113838	43,-73	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450629
450598	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113761	43,-73	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450598
450592	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113755	43,-73	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450592
450602	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113765	43,-73	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450602
450591	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113754	43,-73	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450591
450565	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113726	43,-73	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450565
450584	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113747	43,-73	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450584
450576	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113739	43,-73	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450576
450588	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113751	43,-73	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450588
450586	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113749	43,-73	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450586
450572	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113734	43,-73	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450572
450600	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113763	43,-73	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450600
450569	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113730	43,-73	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450569
450587	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113750	43,-73	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450587
450595	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113758	43,-73	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450595
450561	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113722	43,-73	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450561
450596	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113759	43,-73	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450596
450558	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113719	43,-73	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450558
450583	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113746	43,-73	Vermont, Windham County	5 mi. E. of Arlington	https://lichenportal.org/portal/collections/individual/index.php?occid=450583
450601	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113764	43,-73	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450601
450585	CMN	Hammer, S.	Vermont	Bennington Co.	0.33	outside_boundary_exact	CANL 113748	43,-73	Vermont, Windham County	Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=450585
