occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1384209	FLAS	Dana Griffin, III, Frankie Snow	Georgia	Clay	185.86	outside_boundary_exact	FLAS L11853	33.363862,-85.762101	Alabama, Clay County	seventy-five yards N, downstream, of falls on Rocky Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=1384209
1383680	FLAS	Dana Griffin, III	Georgia	Coffee	33.1	outside_boundary_exact	FLAS L11857	31.068056,-82.846667	Georgia, Clinch County	north end of Arch Cave Outcrop	https://lichenportal.org/portal/collections/individual/index.php?occid=1383680
1322470	FLAS	Richard C. Harris	Georgia	Coffee	6.85	outside_boundary_exact	FLAS L6016	31.733333,-82.75	Georgia, Jeff Davis County	Broxton Rocks Ecological Preserve, 9 mi NE of Broxton, 3 mi S of Ocmulgee River, near Rocky Falls	https://lichenportal.org/portal/collections/individual/index.php?occid=1322470
1357816	FLAS	Richard C. Harris	Georgia	Coffee	6.85	outside_boundary_exact	FLAS L3025	31.733333,-82.75	Georgia, Jeff Davis County	Broxton Rocks Ecological Preserve, 9 mi NE of Broxton, 3 mi S of Ocmulgee River	https://lichenportal.org/portal/collections/individual/index.php?occid=1357816
1360090	FLAS	Richard C. Harris	Georgia	Coffee	6.85	outside_boundary_exact	FLAS L4717	31.733333,-82.75	Georgia, Jeff Davis County	Broxton Rocks Ecological Preserve, 9 mi NE of Broxton, 3 mi S of Ocmulgee River	https://lichenportal.org/portal/collections/individual/index.php?occid=1360090
1384347	FLAS	RIchard C. Harris	Georgia	Coffee	6.85	outside_boundary_exact	FLAS L5080	31.733333,-82.75	Georgia, Jeff Davis County	Broxton Rocks Ecological Preserve, 9 mi NE of Broxton, 3 mi S of Ocmulgee River	https://lichenportal.org/portal/collections/individual/index.php?occid=1384347
1322457	FLAS	Dana Griffin, III	Georgia	Coffee	6.83	outside_boundary_exact	FLAS L5569	31.733333,-82.733333	Georgia, Jeff Davis County	Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1322457
1380914	FLAS	Dana Griffin, III et al	Georgia	Coffee	6.83	outside_boundary_exact	FLAS L5577	31.733333,-82.733333	Georgia, Jeff Davis County	Broxton Rocks Ecological Preserve: Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1380914
1380983	FLAS	Dana Griffin, III	Georgia	Coffee	6.83	outside_boundary_exact	FLAS L5592	31.733333,-82.733333	Georgia, Jeff Davis County	Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1380983
1381084	FLAS	Richard C. Harris	Georgia	Coffee	6.83	outside_boundary_exact	FLAS L4974	31.733333,-82.733333	Georgia, Jeff Davis County	Broxton Rocks Ecological Preserve, Ricketson tract, ca. 10 mi NE of Broxton, ca. 3 mi S of Ocmulgee River	https://lichenportal.org/portal/collections/individual/index.php?occid=1381084
1383803	FLAS	Dana Griffin, III	Georgia	Coffee	6.83	outside_boundary_exact	FLAS L5581	31.733333,-82.733333	Georgia, Jeff Davis County	Broxton Rocks Preserve, Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1383803
1383812	FLAS	Dana Griffin, III	Georgia	Coffee	6.83	outside_boundary_exact	FLAS L5600	31.733333,-82.733333	Georgia, Jeff Davis County	Broxton Rocks Ecological Preserve, Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1383812
1737785	FLAS	Dana Griffin, III	Georgia	Coffee	6.83	outside_boundary_exact	FLAS L3509	31.733333,-82.733333	Georgia, Jeff Davis County	Broxton Rocks Ecological Preserve, Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1737785
1738474	FLAS	Dana Griffin, III	Georgia	Coffee	6.83	outside_boundary_exact	FLAS L5575	31.733333,-82.733333	Georgia, Jeff Davis County	Broxton Rocks Ecological Preserve: Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1738474
1738476	FLAS	Dana Griffin, III	Georgia	Coffee	6.83	outside_boundary_exact	FLAS L5578	31.733333,-82.733333	Georgia, Jeff Davis County	Broxton Rocks Ecological Preserve, Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1738476
1738477	FLAS	Dana Griffin, III et al.	Georgia	Coffee	6.83	outside_boundary_exact	FLAS L5579	31.733333,-82.733333	Georgia, Jeff Davis County	BROXTON ROCKS ECOLOGICAL PRESERVE: Ricketson Tract, ca. 12 mi. NE of Broxton,	https://lichenportal.org/portal/collections/individual/index.php?occid=1738477
1738489	FLAS	Dana Griffin, III	Georgia	Coffee	6.83	outside_boundary_exact	FLAS L5607	31.733333,-82.733333	Georgia, Jeff Davis County	Broxton Rocks Ecological Preserve, Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1738489
1738490	FLAS	Dana Griffin, et al.	Georgia	Coffee	6.83	outside_boundary_exact	FLAS L5610	31.733333,-82.733333	Georgia, Jeff Davis County	Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1738490
1738526	FLAS	Dana Griffin, III	Georgia	Coffee	6.83	outside_boundary_exact	FLAS L5727	31.733333,-82.733333	Georgia, Jeff Davis County	Broxton Rocks Ecological Preserve. Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1738526
1738527	FLAS	Dana Griffin, III	Georgia	Coffee	6.83	outside_boundary_exact	FLAS L5728	31.733333,-82.733333	Georgia, Jeff Davis County	Broxton Rocks Ecological Preserve, Ricketson Tract, ca. 12 mi. NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1738527
1558232	FLAS	Dana Griffin, III	Georgia	Coffee	4.1	outside_boundary_exact	FLAS L11918	31.709444,-82.634444	Georgia, Jeff Davis County	southwest corner of Ricketson tract	https://lichenportal.org/portal/collections/individual/index.php?occid=1558232
1322478	FLAS	C.C. Tu	Georgia	Charlton	3.81	outside_boundary_exact	FLAS L624	30.758879,-82.301438	Georgia, Ware County	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1322478
1322480	FLAS	C.C. Tu	Georgia	Charlton	3.81	outside_boundary_exact	FLAS L626	30.758879,-82.301438	Georgia, Ware County	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1322480
1322483	FLAS	N.H. Can	Georgia	Charlton	3.81	outside_boundary_exact	FLAS L629	30.758879,-82.301438	Georgia, Ware County	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1322483
