occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
2708793	ILLS	J.L. Crane	New Hampshire	Coos	3732.66	outside_boundary_exact	ILLS00097245	44.295705,-23.340909	not_found_in_US	Caps of the Ridge Trail toMt. Jefferson. Thompson & Meserves Purchase.	https://lichenportal.org/portal/collections/individual/index.php?occid=2708793
2708796	ILLS	J.L. Crane	New Hampshire	Coos	3732.66	outside_boundary_exact	ILLS00004935	44.295705,-23.340909	not_found_in_US	Caps of the Ridge Trail toMt. Jefferson. Thompson & Meserves Purchase.	https://lichenportal.org/portal/collections/individual/index.php?occid=2708796
2708797	ILLS	J.L. Crane	New Hampshire	Coos	3732.66	outside_boundary_exact	ILLS00005792	44.295705,-23.340909	not_found_in_US	Caps of the Ridge Trail toMt. Jefferson. Thompson & Meserves Purchase.	https://lichenportal.org/portal/collections/individual/index.php?occid=2708797
2710252	ILLS	J.L. Crane & J.D. Schoknecht	New Hampshire	Coos	1411.62	outside_boundary_exact	ILLS00100042	46.0337,-89.6303	Wisconsin, Vilas County	White Mountain National Forest, Jefferson Notch Road	https://lichenportal.org/portal/collections/individual/index.php?occid=2710252
2703303	ILLS	J.L. Crane & J.D. Schoknecht	New Hampshire	Coos	25.87	outside_boundary_exact	ILLS00089205	44.056846,-71.74564	New Hampshire, Grafton County	White Mountain National Park, Randolph Township, Gordon Falls	https://lichenportal.org/portal/collections/individual/index.php?occid=2703303
2706032	ILLS	J.L. Crane & J.D. Schoknecht	New Hampshire	Coos	25.86	outside_boundary_exact	ILLS00090324	44.057011,-71.745638	New Hampshire, Grafton County	White Mountain National Forest, Gordon Falls, Randolph Township.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706032
2707600	ILLS	J.L. Crane & J.D. Schoknecht	New Hampshire	Coos	25.86	outside_boundary_exact	ILLS00090325	44.057011,-71.745638	New Hampshire, Grafton County	White Mountain National Park, Randolph Township, Gordon Falls	https://lichenportal.org/portal/collections/individual/index.php?occid=2707600
2707732	ILLS	J.L. Crane & J.D. Schoknecht	New Hampshire	Coos	25.86	outside_boundary_exact	ILLS00009520	44.057011,-71.745638	New Hampshire, Grafton County	White Mountain National Park, Randolph Township, Gordon Falls	https://lichenportal.org/portal/collections/individual/index.php?occid=2707732
2707927	ILLS	J.L. Crane	New Hampshire	Coos	18.87	outside_boundary_exact	ILLS00100158	44.1,-71.6722	New Hampshire, Grafton County	White Mountain National Forest, Franconia Notch State Park, The Flume.	https://lichenportal.org/portal/collections/individual/index.php?occid=2707927
2702784	ILLS	J.L. Crane & J.D. Schoknecht	New Hampshire	Coos	4.03	outside_boundary_exact	ILLS00006892	44.151194,-71.416878	New Hampshire, Grafton County	White Mountain National Forest, Base road	https://lichenportal.org/portal/collections/individual/index.php?occid=2702784
2703194	ILLS	J.L. Crane & J.D. Schoknecht	New Hampshire	Coos	4.03	outside_boundary_exact	ILLS00010651	44.151194,-71.416878	New Hampshire, Grafton County	White Mountain National Forest, Madison Hut Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=2703194
2703263	ILLS	J.L. Crane & J.D. Schoknecht	New Hampshire	Coos	4.03	outside_boundary_exact	ILLS00089021	44.151194,-71.416878	New Hampshire, Grafton County	White Mountain National Forest, Madison Hut Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=2703263
2707721	ILLS	J.L. Crane & J.D. Schoknecht	New Hampshire	Coos	4.03	outside_boundary_exact	ILLS00006895	44.151194,-71.416878	New Hampshire, Grafton County	White Mountain National Forest, Forest Park Road	https://lichenportal.org/portal/collections/individual/index.php?occid=2707721
2709543	ILLS	J.L. Crane & J.D. Schoknecht	New Hampshire	Coos	4.03	outside_boundary_exact	ILLS00091245	44.151194,-71.416878	New Hampshire, Grafton County	White Mountain National Forest, Forest Park Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=2709543
2709553	ILLS	J.L. Crane & J.D. Schoknecht	New Hampshire	Coos	4.03	outside_boundary_exact	ILLS00006894	44.151194,-71.416878	New Hampshire, Grafton County	White Mountain National Forest, Forest Park Road	https://lichenportal.org/portal/collections/individual/index.php?occid=2709553
2709595	ILLS	J.L. Crane	New Hampshire	Carroll	2.07	outside_boundary_exact	ILLS00097243	44.26007,-71.2016	New Hampshire, Coos County	Wildcat Ridge Trail (Appalachian Trail). Wildcat Mountain, Jackson. NAD 27, UTM Zone 19, 322409mE, 4902108mN.	https://lichenportal.org/portal/collections/individual/index.php?occid=2709595
2709596	ILLS	J.L. Crane	New Hampshire	Carroll	2.07	outside_boundary_exact	ILLS00004938	44.26007,-71.2016	New Hampshire, Coos County	Wildcat Ridge Trail (Appalachian Trail). Wildcat Mountain, Jackson.	https://lichenportal.org/portal/collections/individual/index.php?occid=2709596
2709523	ILLS	J.L. Crane & J.D. Schoknecht	New Hampshire	Carroll	1.97	outside_boundary_exact	ILLS00092545	44.25906,-71.20101	New Hampshire, Coos County	Wildcat Ridge Trail (Appalachian Trail). Wildcat Mountain, Jackson.	https://lichenportal.org/portal/collections/individual/index.php?occid=2709523
2709620	ILLS	J.L. Crane	New Hampshire	Carroll	1.54	outside_boundary_exact	ILLS00010361	44.2564,-71.2225	New Hampshire, Coos County	Wildcat Ridge Trail (Appalachian Trail). Wildcat Mountain, Jackson. (NAD 27) UTM Zone 19, 322577mE, 4902760mN.	https://lichenportal.org/portal/collections/individual/index.php?occid=2709620
2702906	ILLS	J.L. Crane	New Hampshire	Grafton	1.41	outside_boundary_exact	ILLS00008521	44.207422,-71.39954	New Hampshire, Coos County	White Mountain National Forest, Silver Cascade	https://lichenportal.org/portal/collections/individual/index.php?occid=2702906
