occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
3774491	ILLS	J.L. Crane	North Carolina	Carteret	12398.1	outside_boundary_exact	NA	34.6836,76.6394	not_found_in_US	Lookout National Seashore, Shackleford Banks. Maritime Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=3774491
2712134	ILLS	Loy R. Phillippe	North Carolina	Swain County	209.42	outside_boundary_exact	ILLS00009545	36.178467,-80.927852	North Carolina, Wilkes County	Near Clingman	https://lichenportal.org/portal/collections/individual/index.php?occid=2712134
2712492	ILLS	Loy R. Phillippe	North Carolina	Swain County	209.42	outside_boundary_exact	ILLS00089432	36.178467,-80.927852	North Carolina, Wilkes County	Clingman	https://lichenportal.org/portal/collections/individual/index.php?occid=2712492
2712501	ILLS	Loy R. Phillippe	North Carolina	Swain County	209.42	outside_boundary_exact	ILLS00089433	36.178467,-80.927852	North Carolina, Wilkes County	Clingman	https://lichenportal.org/portal/collections/individual/index.php?occid=2712501
2712690	ILLS	Loy R. Phillippe	North Carolina	Swain County	209.42	outside_boundary_exact	ILLS00090023	36.178467,-80.927852	North Carolina, Wilkes County	Clingman	https://lichenportal.org/portal/collections/individual/index.php?occid=2712690
2712691	ILLS	Loy R. Phillippe	North Carolina	Swain County	209.42	outside_boundary_exact	ILLS00090022	36.178467,-80.927852	North Carolina, Wilkes County	Clingman	https://lichenportal.org/portal/collections/individual/index.php?occid=2712691
2712765	ILLS	Loy R. Phillippe	North Carolina	Swain County	209.42	outside_boundary_exact	ILLS00090591	36.178467,-80.927852	North Carolina, Wilkes County	The Great Smoky Mountains National Park. Clingman	https://lichenportal.org/portal/collections/individual/index.php?occid=2712765
2713105	ILLS	Loy R. Phillippe	North Carolina	Swain County	209.42	outside_boundary_exact	ILLS00092274	36.178467,-80.927852	North Carolina, Wilkes County	Near Clingman	https://lichenportal.org/portal/collections/individual/index.php?occid=2713105
2713870	ILLS	Loy R. Phillippe	North Carolina	Swain County	209.42	outside_boundary_exact	ILLS00095437	36.178467,-80.927852	North Carolina, Wilkes County	The Great Smoky Mountains National Park. Clingman	https://lichenportal.org/portal/collections/individual/index.php?occid=2713870
2714335	ILLS	Loy R. Phillippe	North Carolina	Swain County	209.42	outside_boundary_exact	ILLS00097537	36.178467,-80.927852	North Carolina, Wilkes County	Near Clingman	https://lichenportal.org/portal/collections/individual/index.php?occid=2714335
2718418	ILLS	Steven R. Hill	North Carolina	Yancey County	182.95	outside_boundary_exact	ILLS00089127	37.71636,-82.27623	West Virginia, Mingo County	Blue Ridge Parkway, just east of Mt. Mitchell State Park Entrance. Elev. 5200 ft.	https://lichenportal.org/portal/collections/individual/index.php?occid=2718418
2718420	ILLS	Steven R. Hill	North Carolina	Yancey County	182.95	outside_boundary_exact	ILLS00101019	37.71636,-82.27623	West Virginia, Mingo County	Blue Ridge Parkway, just east of Mt. Mitchell State Park entrance. Elev. 5200 ft.	https://lichenportal.org/portal/collections/individual/index.php?occid=2718420
2714260	ILLS	K. Canayakin	North Carolina	Macon County	180.56	outside_boundary_exact	ILLS00097359	36.010964,-81.458706	North Carolina, Caldwell County	White Mountains. Growing in mixed hardwoods and conifers.	https://lichenportal.org/portal/collections/individual/index.php?occid=2714260
2716525	ILLS	A.C. Skorepa	North Carolina	Haywood County	172.59	outside_boundary_exact	ILLS00006496	36.43263,-81.163421	North Carolina, Alleghany County	Blue Ridge Parkway, mile 420, elevation 5,300 feet.	https://lichenportal.org/portal/collections/individual/index.php?occid=2716525
2716527	ILLS	A.C. Skorepa	North Carolina	Haywood County	172.59	outside_boundary_exact	ILLS00006529	36.43263,-81.163421	North Carolina, Alleghany County	Blue Ridge Parkway, mile 420, elevation 5,300 feet.	https://lichenportal.org/portal/collections/individual/index.php?occid=2716527
2716528	ILLS	A.C. Skorepa	North Carolina	Haywood County	172.59	outside_boundary_exact	ILLS00006530	36.43263,-81.163421	North Carolina, Alleghany County	Blue Ridge Parkway, mile 420, elevation 5,300 feet.	https://lichenportal.org/portal/collections/individual/index.php?occid=2716528
2717380	ILLS	A.C. Skorepa	North Carolina	Haywood County	172.59	outside_boundary_exact	ILLS00093147	36.43263,-81.163421	North Carolina, Alleghany County	Blue Ridge Parkway, mile 420, elevation ca. 5,300 feet.	https://lichenportal.org/portal/collections/individual/index.php?occid=2717380
2717896	ILLS	A.C. Skorepa	North Carolina	Haywood County	172.59	outside_boundary_exact	ILLS00097682	36.43263,-81.163421	North Carolina, Alleghany County	Blue Ridge Parkway, mile 420, elevation ca. 5,300 feet.	https://lichenportal.org/portal/collections/individual/index.php?occid=2717896
2718106	ILLS	A.C. Skorepa	North Carolina	Haywood County	172.59	outside_boundary_exact	ILLS00099415	36.43263,-81.163421	North Carolina, Alleghany County	Blue ridge Parkway, mile 420, elevation 4.500 feet.	https://lichenportal.org/portal/collections/individual/index.php?occid=2718106
2718216	ILLS	A.C. Skorepa	North Carolina	Haywood County	172.59	outside_boundary_exact	ILLS00089902	36.43263,-81.163421	North Carolina, Alleghany County	Blue Ridge Parkway, mile 420, elevation 5,330 feet.	https://lichenportal.org/portal/collections/individual/index.php?occid=2718216
2709422	ILLS	J.L. Crane, S.M. Huhndorf, A.N. Miller, I. Promputtha, M. Greif, T. J. Atkinson, G. K. Mugambi, P. Chaudhary	North Carolina	Haywood	29.43	outside_boundary_exact	ILLS00100384	35.65372,-83.5791	Tennessee, Sevier County	Great Smoky Mountains National Park, Purchase Knob. Cataloochee Divide Trail. Coordinate datum: NAD 83/WGS84.	https://lichenportal.org/portal/collections/individual/index.php?occid=2709422
