occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1472952	LSU	Roger Rosentreter	Florida	Alachua	85.2	outside_boundary_exact	LSU00148220	28.693333,-82.48	Florida, Hernando County	Chuck Debolt's yard in Gainsville.	https://lichenportal.org/portal/collections/individual/index.php?occid=1472952
1415090	LSU	William A. Murrill	Florida	Alachua	56.4	outside_boundary_exact	LSU00141733	29.316921,-81.492571	Florida, Volusia County	Gainseville.	https://lichenportal.org/portal/collections/individual/index.php?occid=1415090
1527138	LSU	Garrie P. Landry; Philip J. Barbour	Florida	Lake	23.87	outside_boundary_exact	LSU00130225	29.180465,-81.886256	Florida, Marion County	Okala National Forest, E of Ash Park via Hwy40. Ocala National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1527138
1528235	LSU	Garrie P. Landry; Philip J. Barbour	Florida	Lake	23.87	outside_boundary_exact	LSU00131308	29.180465,-81.886256	Florida, Marion County	Okala National Forest, E of Ash Park via Hwy 40. Ocala National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1528235
1524642	LSU	Shirley C. Tucker	Florida	Franklin	18.32	outside_boundary_exact	LSU00123614	30.17671,-84.668549	Florida, Wakulla County	Along Ocklockonee river, 0.5 mi. from State Hwy 13, Apalachicola Nat. Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1524642
1470656	LSU	George T. Johnson	Florida	Volusia	16.09	outside_boundary_exact	LSU00147104	29.031159,-81.648686	Florida, Marion County	4.5 mi N of Altoona.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470656
1470650	LSU	George T. Johnson	Florida	Osceola	14.19	outside_boundary_exact	LSU00147098	28.078646,-81.648959	Florida, Polk County	Along U.S. Hwy. Alt. 27, 2 mi S of Haines City.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470650
1470763	LSU	George T. Johnson	Florida	Osceola	14.19	outside_boundary_exact	LSU00147643	28.078646,-81.648959	Florida, Polk County	Along US Alt. Hwy. 27, 2 mi S of Haines City.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470763
1477814	LSU	George T. Johnson	Florida	Osceola	14.19	outside_boundary_exact	LSU00149738	28.078646,-81.648959	Florida, Polk County	Along U.S. Hwy. Alt. 27, 2 mi S of Haines City.	https://lichenportal.org/portal/collections/individual/index.php?occid=1477814
1524565	LSU	Shirley C. Tucker	Florida	Franklin	13.52	outside_boundary_exact	LSU00122723	30.133333,-84.625	Florida, Wakulla County	W side of Bradwell Bay Wilderness Area, entrance of Florida National Scenic trail, W side of Forest Service Rd. 34. ABLS field trip, Site 6. Apalachicola National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1524565
1526852	LSU	Shirley C. Tucker	Florida	Leon	11.35	outside_boundary_exact	LSU00129941	30.2,-84.45	Florida, Wakulla County	Apalachicola National Forest, along Country Rd. 368, 3.6 mi. NW of junction of US 319 at Crawfordville. ABLS Field trip, Site 5.	https://lichenportal.org/portal/collections/individual/index.php?occid=1526852
1374555	LSU	Clifford M. Wetmore	Florida	Polk	5.51	outside_boundary_exact	LSU00140209	27.5967,-81.433654	Florida, Highlands County	Seven miles east of Avon Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1374555
1465016	LSU	Clifford M. Wetmore	Florida	Polk	5.51	outside_boundary_exact	LSU00146181	27.5967,-81.433654	Florida, Highlands County	Seven miles east of Avon Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1465016
1524215	LSU	Clifford M. Wetmore	Florida	Polk	5.51	outside_boundary_exact	LSU00119481	27.5967,-81.433654	Florida, Highlands County	Seven miles east of Avon Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1524215
1527346	LSU	Clifford M. Wetmore	Florida	Polk	5.51	outside_boundary_exact	LSU00130450	27.5967,-81.433654	Florida, Highlands County	Seven miles east of Avon Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1527346
1527621	LSU	Clifford M. Wetmore	Florida	Polk	5.51	outside_boundary_exact	LSU00130692	27.5967,-81.433654	Florida, Highlands County	Seven miles east of Avon Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1527621
1528249	LSU	Clifford M. Wetmore	Florida	Polk	5.51	outside_boundary_exact	LSU00131322	27.5967,-81.433654	Florida, Highlands County	Seven miles east of Avon Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1528249
1424700	LSU	Shirley C. Tucker	Florida	Leon	5.38	outside_boundary_exact	LSU00142306	30.254891,-84.362442	Florida, Wakulla County	0.5 mi. W of Wakulla on State Hwy 319, south of Tallahassee.	https://lichenportal.org/portal/collections/individual/index.php?occid=1424700
1470701	LSU	Shirley C. Tucker	Florida	Leon	5.38	outside_boundary_exact	LSU00147581	30.254891,-84.362442	Florida, Wakulla County	0.5 mi. W of Wakulla on State Hwy 319, south of Tallahassee	https://lichenportal.org/portal/collections/individual/index.php?occid=1470701
1470045	LSU	Alan Herndon	Florida	Collier	4.77	outside_boundary_exact	LSU00146742	25.760213,-81.051922	Florida, Monroe County	1 mile East of SW corner of Loop Road, South of Monroe Station, Big Cypress National Preserve.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470045
1424663	LSU	Shirley C. Tucker	Florida	Liberty	4.74	outside_boundary_exact	LSU00142206	29.958973,-84.976154	Florida, Franklin County	20.5 mi. N of State Hwy 98, on Hwy 65. Apalachicola National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1424663
1462789	LSU	Shirley C. Tucker	Florida	Liberty	4.74	outside_boundary_exact	LSU00145627	29.958973,-84.976154	Florida, Franklin County	20.5 mi. N of State Hwy 98 on Hwy 65. Apalachicola National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1462789
1470482	LSU	Shirley C. Tucker	Florida	Liberty	4.74	outside_boundary_exact	LSU00147332	29.958973,-84.976154	Florida, Franklin County	20.5 mi. N of State Hwy 98, on Hwy 65. Apalachicola National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470482
1470897	LSU	Shirley C. Tucker	Florida	Liberty	4.74	outside_boundary_exact	LSU00147777	29.958973,-84.976154	Florida, Franklin County	20.5 mi. N of State Hwy 98 on Hwy 65. Apalachicola National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470897
1470926	LSU	Shirley C. Tucker	Florida	Liberty	4.74	outside_boundary_exact	LSU00147806	29.958973,-84.976154	Florida, Franklin County	20.5 mi. N of State Hwy 98, on Hwy 65. Apalachicola National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470926
1525173	LSU	Shirley C. Tucker	Florida	Liberty	4.74	outside_boundary_exact	LSU00127413	29.958973,-84.976154	Florida, Franklin County	20.5 mi. N of State Hwy 98, on Hwy 65. Apalachicola National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1525173
1527229	LSU	Mary G. Curry	Florida	Santa Rosa	4.74	outside_boundary_exact	LSU00130311	30.320159,-87.272896	Florida, Escambia County	Fort Pickens, Santa Rosa Island.	https://lichenportal.org/portal/collections/individual/index.php?occid=1527229
2935954	LSU	Shirley C. Tucker	Florida	Liberty	4.71	outside_boundary_exact	LSU00178748	29.959358,-84.976138	Florida, Franklin County	Apalachicola National Forest; 20.5 mi N of State Hwy 98, on Hwy 65.	https://lichenportal.org/portal/collections/individual/index.php?occid=2935954
5692492	LSU	Shirley C. Tucker	Florida	Liberty	4.63	outside_boundary_exact	LSU00166224	29.960989,-84.976091	Florida, Franklin County	ABLS Scouting trip. Day 1 Stop 2; 20.5 mi. N of State Hwy. 98, on Hwy 65. Apalachicola National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=5692492
5692588	LSU	Shirley C. Tucker	Florida	Liberty	4.63	outside_boundary_exact	LSU00166244	29.960989,-84.976091	Florida, Franklin County	ABLS Scouting trip. Day 1 Stop 2; 20.5 mi. N of State Hwy. 98, on Hwy 65. Apalachicola National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=5692588
1524400	LSU	Shirley C. Tucker	Florida	Liberty	4.63	outside_boundary_exact	LSU00119430	29.960989,-84.976091	Florida, Franklin County	Apalachicola National Forest, 20.5 mi. N of State Hwy 98, on Hwy 65. ABLS Scouting trip: Day 1, Stop 2.	https://lichenportal.org/portal/collections/individual/index.php?occid=1524400
1524767	LSU	Shirley C. Tucker	Florida	Liberty	4.63	outside_boundary_exact	LSU00119495	29.960989,-84.976091	Florida, Franklin County	ABLS Scouting trip. Day 1 Stop 2; 20.5 mi. N of State Hwy. 98, on Hwy 65. Apalachicola National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1524767
1525878	LSU	Shirley C. Tucker	Florida	Liberty	3.88	outside_boundary_exact	LSU00128132	30.133333,-84.616667	Florida, Wakulla County	Apalachicola National Forest; W side of Bradwell Bay Wilderness Area, entrance of Florida National Scenic trail, W side of Forest Service Rd. ABLS Field trip, Site 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1525878
1525971	LSU	Shirley C. Tucker	Florida	Liberty	3.88	outside_boundary_exact	LSU00128227	30.133333,-84.616667	Florida, Wakulla County	Apalachicola National Forest, W side of Bradwell Bay Wilderness Area, entrance of Florida National Scenic trail, Forest Service Rd 34.	https://lichenportal.org/portal/collections/individual/index.php?occid=1525971
1527404	LSU	Shirley C. Tucker	Florida	Liberty	3.88	outside_boundary_exact	LSU00130505	30.133333,-84.616667	Florida, Wakulla County	Apalachicola National Forest, W side of Bradwell Bay Wilderness Area, entrance of Florida National Scenic trail, W side of Forest Service Rd. 34. ABLS Field trip, Site 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1527404
1480387	LSU	Dana G. Griffin III	Florida	Bradford	3.23	outside_boundary_exact	LSU00150669	29.825862,-82.013221	Florida, Clay County	Magnolia Lake State Pk. along state hwy. 21 n.e. of Keystone Heights.	https://lichenportal.org/portal/collections/individual/index.php?occid=1480387
1480389	LSU	Dana G. Griffin III	Florida	Bradford	3.23	outside_boundary_exact	LSU00150670	29.825862,-82.013221	Florida, Clay County	Magnolia Lake State Pk. along state hwy. 21 n.e. of Keystone Heights.	https://lichenportal.org/portal/collections/individual/index.php?occid=1480389
1480390	LSU	Dana G. Griffin III	Florida	Bradford	3.23	outside_boundary_exact	LSU00150671	29.825862,-82.013221	Florida, Clay County	Magnolia Lake State Pk. along state hwy. 21 n.e. of Keystone Heights.	https://lichenportal.org/portal/collections/individual/index.php?occid=1480390
1480439	LSU	Dana G. Griffin III	Florida	Bradford	3.23	outside_boundary_exact	LSU00150712	29.825862,-82.013221	Florida, Clay County	Magnolia Lake State Park along state hwy. 21 NE of Keystone Heights.	https://lichenportal.org/portal/collections/individual/index.php?occid=1480439
1525168	LSU	Shirley C. Tucker; ABLS Field Trip	Florida	Liberty	3.18	outside_boundary_exact	LSU00127408	30.1333333,-84.625	Florida, Wakulla County	Apalachicola National Forest, W side of Bradwell Bay Wilderness Area, entrance of Florida National Scenic trail, W side of Forest Service Rd. 34. Site 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1525168
1526145	LSU	Shirley C. Tucker	Florida	Liberty	3.18	outside_boundary_exact	LSU00128444	30.1333333,-84.625	Florida, Wakulla County	Apalachicola National Forest, W side of Bradwell Bay Wilderness Area, entrance of Florida National Scenic trail, W side of Forest Service Rd. 34. ABLS Field trip, Site 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1526145
1465846	LSU	Dana G. Griffin III	Florida	Alachua	2.65	outside_boundary_exact	LSU00146500	29.540569,-82.028287	Florida, Putnam County	Ca. 5 mi. SE of Hawthorne, Florida.	https://lichenportal.org/portal/collections/individual/index.php?occid=1465846
1526476	LSU	Dana Griffin	Florida	Alachua	2.61	outside_boundary_exact	LSU00128835	29.542914,-82.028678	Florida, Putnam County	Alachua Co. ca. 5 mi. SE of Hawthorne, Florida.	https://lichenportal.org/portal/collections/individual/index.php?occid=1526476
1526489	LSU	Dana Griffin	Florida	Alachua	2.61	outside_boundary_exact	LSU00128848	29.542914,-82.028678	Florida, Putnam County	Ca. 5 mi. SE of Hawthorne, Florida.	https://lichenportal.org/portal/collections/individual/index.php?occid=1526489
1470484	LSU	Shirley C. Tucker	Florida	Liberty	1.69	outside_boundary_exact	LSU00147334	29.99852,-84.977376	Florida, Franklin County	1.5 mi. S of Sumatra, on State Hwy 67, Apalachicola National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470484
1512782	LSU	Shirley C. Tucker; Robert R. Haynes	Florida	Liberty	1.69	outside_boundary_exact	LSU00115477	29.99852,-84.977376	Florida, Franklin County	ABLS Scouting trip: Day 1, Stop 6 . 1.5 mi. S of Sumatra, on State Hwy 67, Apalachicola National. Apalachicola National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1512782
