occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
386493	MIN	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	822326	39.13333333,-110.7666667	Utah, Emery County	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=386493
386494	MIN	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	822327	39.13333333,-110.7666667	Utah, Emery County	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=386494
386495	MIN	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	822328	39.13333333,-110.7666667	Utah, Emery County	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=386495
386880	MIN	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	823112	39.13333333,-110.7666667	Utah, Emery County	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=386880
386883	MIN	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	823115	39.13333333,-110.7666667	Utah, Emery County	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=386883
386884	MIN	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	823116	39.13333333,-110.7666667	Utah, Emery County	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=386884
390786	MIN	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	832646	39.13333333,-110.7666667	Utah, Emery County	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=390786
390787	MIN	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	832647	39.13333333,-110.7666667	Utah, Emery County	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=390787
392994	MIN	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	837661	39.13333333,-110.7666667	Utah, Emery County	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=392994
393002	MIN	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	837669	39.13333333,-110.7666667	Utah, Emery County	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=393002
393364	MIN	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	838159	39.13333333,-110.7666667	Utah, Emery County	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=393364
400276	MIN	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	858241	39.13333333,-110.7666667	Utah, Emery County	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=400276
400280	MIN	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	858245	39.13333333,-110.7666667	Utah, Emery County	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=400280
417089	MIN	Hopkins, T.	Texas	Burnet	1434.55	outside_boundary_exact	882365	39.13333333,-110.7666667	Utah, Emery County	10 Mi W of Burnet; Inks Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=417089
308161	MIN	Sierk, H.	Texas	Johnson	35.1	outside_boundary_exact	628389	32.87,-97.56	Texas, Parker County	Cleburne State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=308161
309662	MIN	Wetmore, C.	Texas	Brewster	24.42	outside_boundary_exact	630998	29.18388889,-102.6202778	not_found_in_US	Rio Grande Village; Big Bend National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=309662
309663	MIN	Wetmore, C.	Texas	Brewster	24.42	outside_boundary_exact	630999	29.18388889,-102.6202778	not_found_in_US	Rio Grande Village; Big Bend National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=309663
