occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
5684928	MONTU	Maggie Cross	Montana	Powder River	10377.6	outside_boundary_exact	MONTU000160	45.7395,106.0281	not_found_in_US	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=5684928
5782746	MONTU	Maggie Cross	Montana	Powder River	10377.6	outside_boundary_exact	MONTU00820	45.7395,106.0281	not_found_in_US	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=5782746
5830635	MONTU	Maggie Cross	Montana	Big Horn	10160.38	outside_boundary_exact	MONTU01295	45.35048,108.4479	not_found_in_US	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=5830635
5686041	MONTU	B. McCune	Montana	Mccone	10040.19	outside_boundary_exact	MONTU00198	47.56614,106.21702	not_found_in_US	Nelson Creek Recreation Area, near southeast end of Fort Peck Reservoir	https://lichenportal.org/portal/collections/individual/index.php?occid=5686041
5772531	MONTU	Bruce McCune	Montana	Garfield	9957.94	outside_boundary_exact	MONTU00539	46.98562,107.8443	not_found_in_US	Noncalcareous shale of Carlile Formation, BLM land. Musselshell River breaks east of Mosby, east side of river, just south of Montana Highway 200 on dirt road beyond gate	https://lichenportal.org/portal/collections/individual/index.php?occid=5772531
5780750	MONTU	Bruce McCune	Montana	Garfield	9957.94	outside_boundary_exact	MONTU00665	46.98562,107.8443	not_found_in_US	Musselshell River breaks east of Mosby, east side of river, just south of Montana Highway 200 on dirt road and beyond gate	https://lichenportal.org/portal/collections/individual/index.php?occid=5780750
5782747	MONTU	Maggie Cross	Montana	Garfield	9922.37	outside_boundary_exact	MONTU00821	47.54598,107.7136	not_found_in_US	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=5782747
5829621	MONTU	Maggie Cross	Montana	Sweet Grass	9910.18	outside_boundary_exact	MONTU01162	45.50855,109.9746	not_found_in_US	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=5829621
5658742	MONTU	Bruce McCune	Montana	Gallatin	9887.6	outside_boundary_exact	MONTU00064	45,110	not_found_in_US	9 km W of Bozeman pass on Insterstate-90, 1 km E of Trail Creek Rd. exit, N Side of freeway, S-facing slope.	https://lichenportal.org/portal/collections/individual/index.php?occid=5658742
5785101	MONTU	Maggie Cross	Montana	Park	9817.88	outside_boundary_exact	MONTU00857	46.14213,110.2902	not_found_in_US	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=5785101
5786011	MONTU	Bruce McCune	Montana	Gallatin	9800.72	outside_boundary_exact	MONTU00883	45.4177,110.9571	not_found_in_US	West Fork Middle Creek, Gallatin Range, Hyalite Canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=5786011
5829970	MONTU	Sarah Jovan	Montana	Fergus	9779.28	outside_boundary_exact	MONTU01280	47.33017,108.3568	not_found_in_US	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=5829970
5781875	MONTU	Stephen Hughes	Montana	Blaine	9618.7	outside_boundary_exact	MONTU00800	47.932432,109.0592	not_found_in_US	FIA Plot: 30-5-409	https://lichenportal.org/portal/collections/individual/index.php?occid=5781875
5794425	MONTU	Tim Wheeler	Montana	Lewis and Clark	9416.55	outside_boundary_exact	MONTU02520	46.672756,112.10087	not_found_in_US	Scratchgravel Hills, 6 Miles northwest of Helena	https://lichenportal.org/portal/collections/individual/index.php?occid=5794425
5685461	MONTU	Michael West	Montana	Lewis And Clark	9344.34	outside_boundary_exact	MONTU00191	47.12398,112.7837	not_found_in_US	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=5685461
5830759	MONTU	Michael West	Montana	Lewis and Clark	9344.34	outside_boundary_exact	MONTU01376	47.12398,112.7837	not_found_in_US	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=5830759
5830770	MONTU	Michael West	Montana	Lewis and Clark	9344.34	outside_boundary_exact	MONTU01387	47.12398,112.7837	not_found_in_US	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=5830770
5830886	MONTU	Michael West	Montana	Lewis and Clark	9344.34	outside_boundary_exact	MONTU01399	47.12398,112.7837	not_found_in_US	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=5830886
5787747	MONTU	Bruce McCune	Montana	Missoula	9219.36	outside_boundary_exact	MONTU01016	47.35213,113.73328	not_found_in_US	East shore of Lindbergh Lake, Mission Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=5787747
5831580	MONTU	Bruce McCune	Montana	Lake	9154.11	outside_boundary_exact	MONTU01590	47.71923,113.87614	not_found_in_US	Slope above South Woodward Creek, Mission Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=5831580
5830893	MONTU	Bruce McCune	Montana	Lake	9137.72	outside_boundary_exact	MONTU01403	47.94501,113.88417	not_found_in_US	West shore of Swan Lake. Swan Valley	https://lichenportal.org/portal/collections/individual/index.php?occid=5830893
5830892	MONTU	Stephen Hughes	Montana	Flathead	8995.07	outside_boundary_exact	MONTU01396	48.5832,114.0804	not_found_in_US	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=5830892
5681928	MONTU	Bruce McCune	Montana	Flathead	8990.87	outside_boundary_exact	MONTU000116	48.4353,114.335	not_found_in_US	South of Reservoir Road, east of Lakeshore Drive, 2.4 km north of Whitefish	https://lichenportal.org/portal/collections/individual/index.php?occid=5681928
5786479	MONTU	Bruce McCune	Montana	Sanders	8976.14	outside_boundary_exact	MONTU00935	47.70715,115.08198	not_found_in_US	SW of junction of Thompson River Road and Forest Route 529. High bench above Thompson River	https://lichenportal.org/portal/collections/individual/index.php?occid=5786479
5786529	MONTU	Bruce McCune	Montana	Sanders	8976.14	outside_boundary_exact	MONTU00954	47.70715,115.08198	not_found_in_US	High bench above Thompson River, SW of junction of Thompson River Road and Forest Route 529	https://lichenportal.org/portal/collections/individual/index.php?occid=5786529
5648938	MONTU	Sarah Jovan	Montana	Sanders	8966.84	outside_boundary_exact	MONTU00021	47.79806,115.1326	not_found_in_US	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=5648938
5772532	MONTU	Bruce McCune	Montana	Lincoln	8854.09	outside_boundary_exact	MONTU00540	48.22501,115.63586	not_found_in_US	Along road to Leigh Lake trailhead, above Leigh Creek, Cabinet Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=5772532
5780708	MONTU	Roger Rosentreter	Montana	Lake	2218.59	outside_boundary_exact	MONTU00646	47.330002,-144	not_found_in_US	Mission Falls area, Flathead Indian Reservation. E of St. Ignatius, MT.	https://lichenportal.org/portal/collections/individual/index.php?occid=5780708
5797209	MONTU	Jina Mariani	Montana	Lake	1165.52	outside_boundary_exact	MONTU01050	39.400002,-123.900002	not_found_in_US	Mission Creek, Lower Mission Falls.	https://lichenportal.org/portal/collections/individual/index.php?occid=5797209
