occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
799466	OMA	NA	West Virginia	Tucker	0.04	outside_boundary_exact	10804	39.065278,-79.301111	West Virginia, Grant County	Monongahela National Forest; Dolly Sods Wilderness Area, 16 km SE of Davis	https://lichenportal.org/portal/collections/individual/index.php?occid=799466
799477	OMA	NA	West Virginia	Tucker	0.04	outside_boundary_exact	10805	39.065278,-79.301111	West Virginia, Grant County	Monongahela National Forest; Dolly Sods Wilderness Area, 16 km SE of Davis	https://lichenportal.org/portal/collections/individual/index.php?occid=799477
799479	OMA	NA	West Virginia	Tucker	0.04	outside_boundary_exact	10814	39.065278,-79.301111	West Virginia, Grant County	Monongahela National Forest; Dolly Sods Wilderness Area, 16 km SE of Davis	https://lichenportal.org/portal/collections/individual/index.php?occid=799479
799470	OMA	NA	West Virginia	Tucker	0.04	outside_boundary_exact	10819	39.065278,-79.301111	West Virginia, Grant County	Monongahela National Forest; Dolly Sods Wilderness Area, 16 km SE of Davis	https://lichenportal.org/portal/collections/individual/index.php?occid=799470
799473	OMA	NA	West Virginia	Tucker	0.04	outside_boundary_exact	10820	39.065278,-79.301111	West Virginia, Grant County	Monongahela National Forest; Dolly Sods Wilderness Area, 16 km SE of Davis	https://lichenportal.org/portal/collections/individual/index.php?occid=799473
799471	OMA	NA	West Virginia	Tucker	0.04	outside_boundary_exact	10821	39.065278,-79.301111	West Virginia, Grant County	Monongahela National Forest; Dolly Sods Wilderness Area, 16 km SE of Davis	https://lichenportal.org/portal/collections/individual/index.php?occid=799471
799474	OMA	NA	West Virginia	Tucker	0.04	outside_boundary_exact	10824	39.065278,-79.301111	West Virginia, Grant County	Monongahela National Forest; Dolly Sods Wilderness Area, 16 km SE of Davis	https://lichenportal.org/portal/collections/individual/index.php?occid=799474
799481	OMA	NA	West Virginia	Tucker	0.04	outside_boundary_exact	10845	39.065278,-79.301111	West Virginia, Grant County	Monongahela National Forest; Dolly Sods Wilderness Area, 16 km SE of Davis	https://lichenportal.org/portal/collections/individual/index.php?occid=799481
799483	OMA	NA	West Virginia	Tucker	0.04	outside_boundary_exact	10862	39.065278,-79.301111	West Virginia, Grant County	Monongahela National Forest; Dolly Sods Wilderness Area, 16 km SE of Davis	https://lichenportal.org/portal/collections/individual/index.php?occid=799483
799469	OMA	NA	West Virginia	Tucker	0.04	outside_boundary_exact	10871	39.065278,-79.301111	West Virginia, Grant County	Monongahela National Forest; Dolly Sods Wilderness Area, 16 km SE of Davis	https://lichenportal.org/portal/collections/individual/index.php?occid=799469
