occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
4426886	OSC	Roger Rosentreter	Hawaii	Hawaii	4233.72	outside_boundary_exact	172460	19.666667,-115.4	not_found_in_US	Puu Oo, Saddle Road (Highway 220) between Mauna Kea and Mauna Loa Mts. Island of Hawaii.	https://lichenportal.org/portal/collections/individual/index.php?occid=4426886
4426886	OSC	Roger Rosentreter	Hawaii	Hawaii	4233.72	outside_boundary_exact	172460	19.666667,-115.4	not_found_in_US	Puu Oo, Saddle Road (Highway 220) between Mauna Kea and Mauna Loa Mts. Island of Hawaii.	https://lichenportal.org/portal/collections/individual/index.php?occid=4426886
5380535	OSC	C. Greene	Hawaii	Oahu	NA	county_not_matched_no_match	OSC-M-052757	21.434546,-157.929475	county_not_matched	Pearl City, Hawaii. Ewa Forest Reserve (Waimano Falls).	https://lichenportal.org/portal/collections/individual/index.php?occid=5380535
5380537	OSC	C. Greene	Hawaii	Oahu	NA	county_not_matched_no_match	OSC-M-052759	21.434546,-157.929475	county_not_matched	Pearl City, Hawaii. Ewa Forest Reserve (Waimano Falls).	https://lichenportal.org/portal/collections/individual/index.php?occid=5380537
5380538	OSC	C. Greene	Hawaii	Oahu	NA	county_not_matched_no_match	OSC-M-052760	21.434546,-157.929475	county_not_matched	Pearl City, Hawaii. Ewa Forest Reserve (Waimano Falls).	https://lichenportal.org/portal/collections/individual/index.php?occid=5380538
5380539	OSC	C. Greene	Hawaii	Oahu	NA	county_not_matched_no_match	OSC-M-052761	21.434546,-157.929475	county_not_matched	Pearl City, Hawaii. Ewa Forest Reserve (Waimano Falls).	https://lichenportal.org/portal/collections/individual/index.php?occid=5380539
5380540	OSC	C. Greene	Hawaii	Oahu	NA	county_not_matched_no_match	OSC-M-052762	21.434546,-157.929475	county_not_matched	Pearl City, Hawaii. Ewa Forest Reserve (Waimano Falls).	https://lichenportal.org/portal/collections/individual/index.php?occid=5380540
5380541	OSC	C. Greene	Hawaii	Oahu	NA	county_not_matched_no_match	OSC-M-052763	21.434546,-157.929475	county_not_matched	Pearl City, Hawaii. Ewa Forest Reserve (Waimano Falls).	https://lichenportal.org/portal/collections/individual/index.php?occid=5380541
5380542	OSC	C. Greene	Hawaii	Oahu	NA	county_not_matched_no_match	OSC-M-052764	21.434546,-157.929475	county_not_matched	Pearl City, Hawaii. Ewa Forest Reserve (Waimano Falls).	https://lichenportal.org/portal/collections/individual/index.php?occid=5380542
5380543	OSC	C. Greene	Hawaii	Oahu	NA	county_not_matched_no_match	OSC-M-052765	21.434546,-157.929475	county_not_matched	Pearl City, Hawaii. Ewa Forest Reserve (Waimano Falls).	https://lichenportal.org/portal/collections/individual/index.php?occid=5380543
5380544	OSC	C. Greene	Hawaii	Oahu	NA	county_not_matched_no_match	OSC-M-052766	21.434546,-157.929475	county_not_matched	Pearl City, Hawaii. Ewa Forest Reserve (Waimano Falls).	https://lichenportal.org/portal/collections/individual/index.php?occid=5380544
5380545	OSC	C. Greene	Hawaii	Oahu	NA	county_not_matched_no_match	OSC-M-052767	21.434546,-157.929475	county_not_matched	Pearl City, Hawaii. Ewa Forest Reserve (Waimano Falls).	https://lichenportal.org/portal/collections/individual/index.php?occid=5380545
