occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1203884	SRP	Shirley C (Cotter) Tucker, Ken Tucker	California	Solano	4257.75	outside_boundary_exact	SRP-L-0005426	38.333901,-172.083298	not_found_in_US	Summit of Blue Ridge, Vaca Mountains, Mix Canyon Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=1203884
1203788	SRP	Thomas H Nash III	California	Santa Cruz	1138.88	outside_boundary_exact	SRP-L-0005522	31.700001,-110.845802	Arizona, Santa Cruz County	Santa Rita mountains, Baldy Saddle. 31 42\\'N 110 50\\'45W.	https://lichenportal.org/portal/collections/individual/index.php?occid=1203788
1128773	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0006275	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1128773
1444710	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0008657	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1444710
1212069	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0007413	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1212069
1129085	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0004544	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1129085
1209358	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0006236	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1209358
1130193	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0000720	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1130193
1203943	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0000986	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1203943
1105664	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0003245	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1105664
1201959	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0004896	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1201959
1208978	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0005954	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1208978
1130194	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0000719	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1130194
1128772	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0006276	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1128772
1129117	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0004512	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1129117
1445676	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0001925	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1445676
1128706	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0006344	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1128706
1130029	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0000923	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1130029
1130023	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0000929	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1130023
1125337	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0003655	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1125337
1129091	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0004538	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1129091
1129086	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0004543	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1129086
1446014	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0008985	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1446014
1445761	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0009172	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1445761
1444197	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0008023	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1444197
1134718	SRP	Roger Rosentreter	California	Santa Cruz	1135.79	outside_boundary_exact	SRP-L-0005073	31.7139,-110.874199	Arizona, Santa Cruz County	Lower canyon along the Madera Canyon, Coronado National Forest Santa Rita Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1134718
