occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1112579	TENN	Ken E. Rogers	Mississippi	Wilkinson	242.63	outside_boundary_exact	TENN-L-0006462	33.197072,-89.777305	Mississippi, Holmes County	13 miles west of jet 33 and 24 off highway 24	https://lichenportal.org/portal/collections/individual/index.php?occid=1112579
1112590	TENN	Ken E. Rogers	Mississippi	Wilkinson	242.63	outside_boundary_exact	TENN-L-0006473	33.197072,-89.777305	Mississippi, Holmes County	13 miles west of jet 33 and 24 off highway 24	https://lichenportal.org/portal/collections/individual/index.php?occid=1112590
1112654	TENN	Ken E. Rogers	Mississippi	Wilkinson	242.63	outside_boundary_exact	TENN-L-0006537	33.197072,-89.777305	Mississippi, Holmes County	13 miles west of jet 33 and 24 off highway 24	https://lichenportal.org/portal/collections/individual/index.php?occid=1112654
1067022	TENN	Ken E. Rogers	Mississippi	Wilkinson	242.31	outside_boundary_exact	TENN-L-0005852	33.19,-89.77	Mississippi, Holmes County	13 miles West of of Junction 33 and 24, off highway 24	https://lichenportal.org/portal/collections/individual/index.php?occid=1067022
1112581	TENN	Ken E. Rogers	Mississippi	Jackson	189.73	outside_boundary_exact	TENN-L-0006464	32.364589,-89.474235	Mississippi, Scott County	Ole Miss Forestry lands	https://lichenportal.org/portal/collections/individual/index.php?occid=1112581
1066992	TENN	NA	Mississippi	Jackson	189.12	outside_boundary_exact	TENN-L-0005822	32.36,-89.47	Mississippi, Scott County	Ole Miss Forestry lands	https://lichenportal.org/portal/collections/individual/index.php?occid=1066992
1067044	TENN	Ken E. Rogers	Mississippi	Jackson	189.12	outside_boundary_exact	TENN-L-0005874	32.36,-89.47	Mississippi, Scott County	Ole Miss Forestry lands	https://lichenportal.org/portal/collections/individual/index.php?occid=1067044
1113224	TENN	Ken E. Rogers	Mississippi	Jackson	110.94	outside_boundary_exact	TENN-L-0007108	31.732938,-88.880326	Mississippi, Wayne County	PineGrove Methodist Church	https://lichenportal.org/portal/collections/individual/index.php?occid=1113224
1113227	TENN	Ken E. Rogers	Mississippi	Jackson	110.94	outside_boundary_exact	TENN-L-0007111	31.732938,-88.880326	Mississippi, Wayne County	Pine Grove Methodist Church	https://lichenportal.org/portal/collections/individual/index.php?occid=1113227
1066887	TENN	Ken E. Rogers	Mississippi	Harrison	39.23	outside_boundary_exact	TENN-L-0005717	31.03,-88.99	Mississippi, Perry County	DeSoto National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1066887
1066802	TENN	Ken E. Rogers	Mississippi	Amite	23.78	outside_boundary_exact	TENN-L-0005632	31.16,-91.31	Mississippi, Wilkinson County	Jet. 33 and 563 at Wilkinson Co. line	https://lichenportal.org/portal/collections/individual/index.php?occid=1066802
1066860	TENN	Ken E. Rogers with Louise Rogers	Mississippi	Lamar	17.73	outside_boundary_exact	TENN-L-0005690	31.357207,-89.161247	Mississippi, Forrest County	3 miles east of Petal Senior High School, Petal, Old Rlchton Road, Broom Farm	https://lichenportal.org/portal/collections/individual/index.php?occid=1066860
1067087	TENN	Ken E. Rogers	Mississippi	Lamar	14.01	outside_boundary_exact	TENN-L-0005917	31.34,-89.2	Mississippi, Forrest County	3 miles east of Petal Senior High School, Old Richton Road, Broom Farm	https://lichenportal.org/portal/collections/individual/index.php?occid=1067087
1014749	TENN	Ken E. Rogers with Louise Rogers	Mississippi	Lamar	13.16	outside_boundary_exact	TENN-L-0000733	31.34638,-89.209014	Mississippi, Forrest County	3 mi E of Petal Senior High School, Old Richton Road, Broom Farm	https://lichenportal.org/portal/collections/individual/index.php?occid=1014749
1112825	TENN	Ken E. Rogers	Mississippi	Lamar	13.15	outside_boundary_exact	TENN-L-0006709	31.346553,-89.209074	Mississippi, Forrest County	3 miles East of Petal Senior HI School, Petal, Old Rlchton Boad	https://lichenportal.org/portal/collections/individual/index.php?occid=1112825
1113487	TENN	Ken E. Rogers	Mississippi	Lamar	13.15	outside_boundary_exact	TENN-L-0007371	31.346553,-89.209074	Mississippi, Forrest County	3 miles east of Petal Senior High School, Petal, Old Rlchton Road, Broom Farm	https://lichenportal.org/portal/collections/individual/index.php?occid=1113487
1112130	TENN	Ken E. Rogers	Mississippi	Forrest	11.69	outside_boundary_exact	TENN-L-0006012	31.539056,-89.143391	Mississippi, Jones County	Johnson State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1112130
