occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
2407693	WIS	N.L. Goodyear	Minnesota	Dakota	301.47	outside_boundary_exact	WIS-L-0083163	47.230151,-95.175915	Minnesota, Clearwater County	Professor Chaney Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=2407693
2410786	WIS	N.L. Goodyear	Minnesota	Dakota	301.47	outside_boundary_exact	WIS-L-0084032	47.230151,-95.175915	Minnesota, Clearwater County	Professor Chaney Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=2410786
2416895	WIS	N.L. Goodyear	Minnesota	Dakota	301.47	outside_boundary_exact	WIS-L-0084125	47.230151,-95.175915	Minnesota, Clearwater County	Professor Chaney Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=2416895
2411096	WIS	Clifford M. Wetmore	Minnesota	Lake	238.22	outside_boundary_exact	WIS-L-0083694	44.66667,-91.41583	Wisconsin, Eau Claire County	Superior National Forest. 1.8 miles [2.8 km] east of Inga Creek on Tomahawk Road (23 miles [37 km] southeast of Ely)	https://lichenportal.org/portal/collections/individual/index.php?occid=2411096
2419212	WIS	C.M. Wetmore	Minnesota	St. Louis	208.55	outside_boundary_standardized_exact	WIS-L-0085494	48.45,-95.8833333	Minnesota, Marshall County	Voyageurs National Park, Round Bear Island, in eastern Kabetogama Lake at western end	https://lichenportal.org/portal/collections/individual/index.php?occid=2419212
1089116	WIS	J. W. Thomson	Minnesota	Cook	148.2	outside_boundary_exact	WIS-L-0039317	48,-93	Minnesota, St. Louis County	Horseshoe Island, Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1089116
1089120	WIS	John W. Thomson	Minnesota	Cook	148.2	outside_boundary_exact	WIS-L-0039321	48,-93	Minnesota, St. Louis County	Horseshoe Island, Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1089120
1098266	WIS	John W. Thomson	Minnesota	Cook	148.2	outside_boundary_exact	WIS-L-0042432	48,-93	Minnesota, St. Louis County	Horseshoe Island, Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1098266
1098792	WIS	[collector unspecified]	Minnesota	Cook	148.2	outside_boundary_exact	WIS-L-0042969	48,-93	Minnesota, St. Louis County	on Horseshoe Island, Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1098792
1123900	WIS	John W. Thomson	Minnesota	Cook	148.2	outside_boundary_exact	WIS-L-0049544	48,-93	Minnesota, St. Louis County	shore of Horseshoe Island, Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1123900
1124245	WIS	John W. Thomson	Minnesota	Cook	148.2	outside_boundary_exact	WIS-L-0049889	48,-93	Minnesota, St. Louis County	Horseshoe Island, Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1124245
1124576	WIS	John W. Thomson	Minnesota	Cook	148.2	outside_boundary_exact	WIS-L-0050364	48,-93	Minnesota, St. Louis County	Horseshoe Island, Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1124576
1124577	WIS	John W. Thomson	Minnesota	Cook	148.2	outside_boundary_exact	WIS-L-0050365	48,-93	Minnesota, St. Louis County	on Horseshoe Island. Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1124577
1130949	WIS	John W. Thomson	Minnesota	Cook	148.2	outside_boundary_exact	WIS-L-0052533	48,-93	Minnesota, St. Louis County	on Horseshoe Island, Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1130949
