occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1067224	WIS	N. Nelson	Missouri	Independent city	133.19	outside_boundary_reverse_partial	WIS-L-0033292	38.627273,-90.197889	Missouri, St. Louis County	St. Louis?	https://lichenportal.org/portal/collections/individual/index.php?occid=1067224
1232918	WIS	L. Jones	Missouri	Lawrence	110.85	outside_boundary_exact	WIS-L-0062856	38.00809,-92.744629	Missouri, Camden County	Royal Cottages, Camdenton	https://lichenportal.org/portal/collections/individual/index.php?occid=1232918
1057811	WIS	N.L.T. Nelson	Missouri	Independent city	105.17	outside_boundary_reverse_partial	WIS-L-0030736	38.47194,-90.470105	Missouri, Jefferson County	Sugar Creek, St. Louis	https://lichenportal.org/portal/collections/individual/index.php?occid=1057811
1057812	WIS	N.L.T. Nelson	Missouri	Independent city	105.17	outside_boundary_reverse_partial	WIS-L-0030737	38.47194,-90.470105	Missouri, Jefferson County	Sugar Creek, St. Louis	https://lichenportal.org/portal/collections/individual/index.php?occid=1057812
1301930	WIS	L.J. Gier	Missouri	Clay	91.06	outside_boundary_exact	WIS-L-0070921	40.264047,-94.11354	Missouri, Harrison County	Bethany Falls	https://lichenportal.org/portal/collections/individual/index.php?occid=1301930
1347595	WIS	N.L.T. Nelson	Missouri	Franklin	33.3	outside_boundary_exact	WIS-L-0080571	38.39311,-90.353729	Missouri, Jefferson County	Wickes	https://lichenportal.org/portal/collections/individual/index.php?occid=1347595
1009272	WIS	T.H. Nash III	Missouri	St. Clair	8.91	outside_boundary_standardized_exact	WIS-L-0015624	37.75,-93.6333333	Missouri, Cedar County	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=1009272
1028242	WIS	T.H. Nash III	Missouri	St. Clair	8.91	outside_boundary_standardized_exact	WIS-L-0018833	37.75,-93.6333333	Missouri, Cedar County	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=1028242
1028363	WIS	T.H. Nash III	Missouri	St. Clair	8.91	outside_boundary_standardized_exact	WIS-L-0018783	37.75,-93.6333333	Missouri, Cedar County	Buzzards Bluff above the Sac River, ca. 24 km N of Springfield	https://lichenportal.org/portal/collections/individual/index.php?occid=1028363
1062829	WIS	Sam Shushan	Missouri	Howell	2.23	outside_boundary_exact	WIS-L-0032134	36.95,-92.116667	Missouri, Douglas County	seven miles southwest of Willow Springs, Mark Twain National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1062829
1067221	WIS	Sam Shushan	Missouri	Howell	2.23	outside_boundary_exact	WIS-L-0033289	36.95,-92.116667	Missouri, Douglas County	seven miles southwest of Willow Springs; Mark Twain National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1067221
1068065	WIS	Sam Shushan	Missouri	Howell	2.23	outside_boundary_exact	WIS-L-0034133	36.95,-92.116667	Missouri, Douglas County	seven miles southwest of Willow Springs; Mark Twain National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1068065
1071151	WIS	Sam Shushan	Missouri	Howell	2.23	outside_boundary_exact	WIS-L-0037092	36.95,-92.116667	Missouri, Douglas County	seven miles southwest of Willow Springs; Mark Twain National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1071151
1110775	WIS	Sam Shushan	Missouri	Howell	2.23	outside_boundary_exact	WIS-L-0047966	36.95,-92.116667	Missouri, Douglas County	seven miles southwest of Willow Springs, Mark Twain National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1110775
1124272	WIS	Sam Shushan	Missouri	Howell	2.23	outside_boundary_exact	WIS-L-0049916	36.95,-92.116667	Missouri, Douglas County	seven miles southwest of Willow Springs, Mark Twain National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1124272
1244357	WIS	Sam Shushan	Missouri	Howell	2.23	outside_boundary_exact	WIS-L-0064728	36.95,-92.116667	Missouri, Douglas County	Seven miles southwest of Willow Springs, Mark Twain National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1244357
1286508	WIS	Sam Shushan	Missouri	Howell	2.23	outside_boundary_exact	WIS-L-0067459	36.95,-92.11667	Missouri, Douglas County	seven miles southwest of Willow Springs, Mark Twain National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1286508
1366828	WIS	Sam Shushan	Missouri	Howell	2.23	outside_boundary_exact	WIS-L-0093422	36.95,-92.116667	Missouri, Douglas County	seven miles southwest of Willow Springs; Mark Twain National Forest; 36 deg.	https://lichenportal.org/portal/collections/individual/index.php?occid=1366828
1370930	WIS	Sam Shushan	Missouri	Howell	2.23	outside_boundary_exact	WIS-L-0095538	36.95,-92.116667	Missouri, Douglas County	seven miles southwest of Willow Springs; Mark Twain National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1370930
1321814	WIS	Irwin M. Brodo	Missouri	Christian	2.17	outside_boundary_exact	WIS-L-0075994	37.11382,-93.299617	Missouri, Greene County	7 miles S of Springfield.	https://lichenportal.org/portal/collections/individual/index.php?occid=1321814
1422185	WIS	P.K. Armstrong	Missouri	Douglas	1.69	outside_boundary_exact	WIS-L-0107548	36.789405,-92.675123	Missouri, Ozark County	south of Ava, in the Glades	https://lichenportal.org/portal/collections/individual/index.php?occid=1422185
1422222	WIS	P.K. Armstrong	Missouri	Douglas	1.69	outside_boundary_exact	WIS-L-0107585	36.789405,-92.675123	Missouri, Ozark County	Glades south of Ava. With Grimmia, Nostoc, Dermatocarpon miniatum #1207, D. lachneum #1206.	https://lichenportal.org/portal/collections/individual/index.php?occid=1422222
1422256	WIS	P.K. Armstrong	Missouri	Douglas	1.69	outside_boundary_exact	WIS-L-0107619	36.789405,-92.675123	Missouri, Ozark County	South of Ava, in Glades	https://lichenportal.org/portal/collections/individual/index.php?occid=1422256
1070473	WIS	David Castaner	Missouri	Phelps	1.43	outside_boundary_exact	WIS-L-0036429	37.880411,-92.039314	Missouri, Pulaski County	Slaughter Sink Rim, 0.8 miles north of Clementine	https://lichenportal.org/portal/collections/individual/index.php?occid=1070473
1485394	WIS	Douglas Ladd	Missouri	Laclede	0.12	outside_boundary_exact	WIS-L-0111189	37.720164,-92.856911	Missouri, Dallas County	Bennett Spring State Park. On west facing upper slope of Spring Valley	https://lichenportal.org/portal/collections/individual/index.php?occid=1485394
1071784	WIS	Lucy Adkins Taylor	Missouri	Warren	0.07	outside_boundary_exact	WIS-L-0037724	38.702885,-91.332743	Missouri, Franklin County	Bluff about 6 miles east of highway 19, Mo. R.	https://lichenportal.org/portal/collections/individual/index.php?occid=1071784
