institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
OSC	Massal Advaita	Nebraska	Sherman	569.63	outside_boundary_exact	lookup_error: could not find function "get_us_location"	42.28,-91.94	156903	1mi E of Loup City, roadside on 790th Road. ]. Loup City	https://lichenportal.org/portal/collections/individual/index.php?occid=4427972
OSC	Massal Advaita	Nebraska	Sherman	569.63	outside_boundary_exact	lookup_error: could not find function "get_us_location"	42.28,-91.94	156903	1mi E of Loup City, roadside on 790th Road. ]. Loup City	https://lichenportal.org/portal/collections/individual/index.php?occid=4427972
OSC	M. Advaita	Nebraska	Cedar	333.5	outside_boundary_exact	lookup_error: could not find function "get_us_location"	45.86166667,-97.40433333	153637	ca 1 mi S of Yankton, Green Island Wildlife Management Area	https://lichenportal.org/portal/collections/individual/index.php?occid=4412778
OSC	M. Advaita	Nebraska	Cedar	333.5	outside_boundary_exact	lookup_error: could not find function "get_us_location"	45.86166667,-97.40433333	153658	ca 1 mi S of Yankton, Green Island Wildlife Management Area	https://lichenportal.org/portal/collections/individual/index.php?occid=4412779
OSC	M. Advaita	Nebraska	Cedar	333.5	outside_boundary_exact	lookup_error: could not find function "get_us_location"	45.86166667,-97.40433333	153637	ca 1 mi S of Yankton, Green Island Wildlife Management Area	https://lichenportal.org/portal/collections/individual/index.php?occid=4412778
OSC	M. Advaita	Nebraska	Cedar	333.5	outside_boundary_exact	lookup_error: could not find function "get_us_location"	45.86166667,-97.40433333	153658	ca 1 mi S of Yankton, Green Island Wildlife Management Area	https://lichenportal.org/portal/collections/individual/index.php?occid=4412779
KANU	M K Advaita	Nebraska	Sherman	35.16	outside_boundary_exact	lookup_error: could not find function "get_us_location"	41.278,-98.3238333	409476	Loup City: W	https://lichenportal.org/portal/collections/individual/index.php?occid=3569616
KANU	M K Advaita	Nebraska	Sherman	35.16	outside_boundary_exact	lookup_error: could not find function "get_us_location"	41.278,-98.3238333	385805	Loup City: W	https://lichenportal.org/portal/collections/individual/index.php?occid=1648318
KANU	M K Advaita	Nebraska	Sherman	35.16	outside_boundary_exact	lookup_error: could not find function "get_us_location"	41.278,-98.3238333	385806	Loup City: W	https://lichenportal.org/portal/collections/individual/index.php?occid=1648319
KANU	M K Advaita	Nebraska	Sherman	35.16	outside_boundary_exact	lookup_error: could not find function "get_us_location"	41.278,-98.3238333	409475	Loup City: W	https://lichenportal.org/portal/collections/individual/index.php?occid=3569615
KANU	M K Advaita	Nebraska	Sherman	35.16	outside_boundary_exact	lookup_error: could not find function "get_us_location"	41.278,-98.3238333	409474	Loup City: W	https://lichenportal.org/portal/collections/individual/index.php?occid=3569614
KANU	M K Advaita	Nebraska	Sherman	35.16	outside_boundary_exact	lookup_error: could not find function "get_us_location"	41.278,-98.3238333	409472	Loup City: W	https://lichenportal.org/portal/collections/individual/index.php?occid=3569612
KANU	M K Advaita	Nebraska	Sherman	35.16	outside_boundary_exact	lookup_error: could not find function "get_us_location"	41.278,-98.3238333	409473	Loup City: W	https://lichenportal.org/portal/collections/individual/index.php?occid=3569613
F	M. K. Advaita	Nebraska	Cuming	1.68	outside_boundary_exact	lookup_error: could not find function "get_us_location"	42.0264,-97.04	C2030115F	Pilger State Recreation Area, about 2 miles west and 1.5 miles north of Beemer	https://lichenportal.org/portal/collections/individual/index.php?occid=5813292
MIN	M. K. Advaita	Nebraska	Cuming	1.68	outside_boundary_exact	lookup_error: could not find function "get_us_location"	42.0265,-97.04	970471	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=5639134
NY	M. K. Advaita	Nebraska	Cuming Co.	1.68	outside_boundary_exact	lookup_error: could not find function "get_us_location"	42.0264,-97.04	1219642	ca 2 mi W, 1.5 mi N of Beemer, Pilger State Recreation Area	https://lichenportal.org/portal/collections/individual/index.php?occid=887307
NY	M. K. Advaita	Nebraska	Cuming Co.	1.68	outside_boundary_exact	lookup_error: could not find function "get_us_location"	42.0264,-97.04	1219641	ca 2 mi W, 1.5 mi N of Beemer, Pilger State Recreation Area	https://lichenportal.org/portal/collections/individual/index.php?occid=887306
NY	M. K. Advaita	Nebraska	Cuming Co.	1.68	outside_boundary_exact	lookup_error: could not find function "get_us_location"	42.0264,-97.04	1218179	ca 2 mi W, 1.5 mi N of Beemer, Pilger State Recreation Area	https://lichenportal.org/portal/collections/individual/index.php?occid=884600
NY	M. K. Advaita	Nebraska	Cuming Co.	1.68	outside_boundary_exact	lookup_error: could not find function "get_us_location"	42.0264,-97.04	1218180	ca 2 mi W, 1.5 mi N of Beemer, Pilger State Recreation Area	https://lichenportal.org/portal/collections/individual/index.php?occid=884601
NY	M. K. Advaita	Nebraska	Cuming Co.	1.68	outside_boundary_exact	lookup_error: could not find function "get_us_location"	42.0264,-97.04	2793901	ca 2 mi W, 1.5 mi N of Beemer, Pilger State Recreation Area	https://lichenportal.org/portal/collections/individual/index.php?occid=3254965
