institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
NY	W. R. Buck	Alabama	Jackson Co.	31.29	outside_boundary_exact	Alabama, Madison County	34.77,-86.7	1516604	Flat Rock, along AL 117 just NW of AL 71	https://lichenportal.org/portal/collections/individual/index.php?occid=970860
NY	W. R. Buck	Alabama	Jackson Co.	31.29	outside_boundary_exact	Alabama, Madison County	34.77,-86.7	1399655	Flat Rock, along AL 117 just NW of AL 71	https://lichenportal.org/portal/collections/individual/index.php?occid=955103
NY	W. R. Buck	Alabama	Jackson Co.	31.29	outside_boundary_exact	Alabama, Madison County	34.77,-86.7	1614866	Flat Rock, along AL 117 just NW of AL 71	https://lichenportal.org/portal/collections/individual/index.php?occid=1237066
NY	W. R. Buck	Alabama	Jackson Co.	31.29	outside_boundary_exact	Alabama, Madison County	34.77,-86.7	1600656	Flat Rock, along AL 117 just NW of AL 71	https://lichenportal.org/portal/collections/individual/index.php?occid=1292237
NY	W. R. Buck	Alabama	Jackson Co.	31.29	outside_boundary_exact	Alabama, Madison County	34.77,-86.7	1221242	Flat Rock, along AL 117 just NW of AL 71	https://lichenportal.org/portal/collections/individual/index.php?occid=889016
NY	W. R. Buck	Alabama	Jackson Co.	31.29	outside_boundary_exact	Alabama, Madison County	34.77,-86.7	1547717	Flat Rock, along AL 117 just NW of AL 71	https://lichenportal.org/portal/collections/individual/index.php?occid=1051873
NY	W. R. Buck	Alabama	Jackson Co.	31.29	outside_boundary_exact	Alabama, Madison County	34.77,-86.7	1010908	Flat Rock, along AL 117 just NW of AL 71	https://lichenportal.org/portal/collections/individual/index.php?occid=857501
NY	W. R. Buck	Alabama	Jackson Co.	31.29	outside_boundary_exact	Alabama, Madison County	34.77,-86.7	1542850	Flat Rock, along AL 117 just NW of AL 71	https://lichenportal.org/portal/collections/individual/index.php?occid=1038905
NY	W. R. Buck	Alabama	Jackson Co.	31.29	outside_boundary_exact	Alabama, Madison County	34.77,-86.7	1010909	Flat Rock, along AL 117 just NW of AL 71	https://lichenportal.org/portal/collections/individual/index.php?occid=857502
NY	W. R. Buck	Alabama	Jackson Co.	31.29	outside_boundary_exact	Alabama, Madison County	34.77,-86.7	1010910	Flat Rock, along AL 117 just NW of AL 71	https://lichenportal.org/portal/collections/individual/index.php?occid=863403
NY	W. R. Buck	Alabama	Jackson Co.	31.29	outside_boundary_exact	Alabama, Madison County	34.77,-86.7	873640	Flat Rock, along AL 117 just NW of AL 71	https://lichenportal.org/portal/collections/individual/index.php?occid=846996
NY	W. R. Buck	Alabama	Jackson Co.	31.29	outside_boundary_exact	Alabama, Madison County	34.77,-86.7	01187234	Flat Rock, along AL 117 just NW of AL 71	https://lichenportal.org/portal/collections/individual/index.php?occid=894549
NY	W. R. Buck	Alabama	Jackson Co.	31.29	outside_boundary_exact	Alabama, Madison County	34.77,-86.7	1518763	Flat Rock, along AL 117 just NW of AL 71	https://lichenportal.org/portal/collections/individual/index.php?occid=1008119
NY	W. R. Buck	Alabama	Jackson Co.	31.29	outside_boundary_exact	Alabama, Madison County	34.77,-86.7	01187233	Flat Rock, along AL 117 just NW of AL 71	https://lichenportal.org/portal/collections/individual/index.php?occid=894548
