institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
NY	W. R. Buck	Georgia	Coffee Co.	241.92	outside_boundary_exact	Georgia, Clarke County	33.93,-83.42	1655862	East Athens, Rock and Shoals granitic outcrop on Barnett Shoals Road	https://lichenportal.org/portal/collections/individual/index.php?occid=1238637
NY	William R. Buck	Georgia	Putnam	104.81	outside_boundary_exact	Georgia, Pulaski County	32.233333,-83.466667	1703777	Oconee National Forest, end of Forest Service Road 1108, at rapids along Murder Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=1294236
NY	W. R. Buck	Georgia	Coffee	6.85	outside_boundary_exact	Georgia, Jeff Davis County	31.733333,-82.75	1708320	Broxton Rocks Ecological Preserve, 9 mi NE of Broxton, 3 mi S of Ocmulgee River	https://lichenportal.org/portal/collections/individual/index.php?occid=1353837
NY	William R. Buck	Georgia	Coffee	6.83	outside_boundary_exact	Georgia, Jeff Davis County	31.733333,-82.733333	1706983	Broxton Rocks Ecological Preserve, Ricketson Tract, ca. 10 mi NE of Broxton, ca. 3 mi S of Ocmulgee River, ca. 70 m; extensive, dissected sandstone outcrop.	https://lichenportal.org/portal/collections/individual/index.php?occid=1352620
NY	William R. Buck	Georgia	Coffee	6.83	outside_boundary_exact	Georgia, Jeff Davis County	31.733333,-82.733333	1706985	Broxton Rocks Ecological Preserve, Ricketson Tract, ca. 10 mi NE of Broxton, ca. 3 mi S of Ocmulgee River, ca. 70 m; extensive, dissected sandstone outcrop.	https://lichenportal.org/portal/collections/individual/index.php?occid=1352622
NY	W. R. Buck	Georgia	Coffee Co.	6.47	outside_boundary_exact	Georgia, Jeff Davis County	31.73,-82.75	1545533	Broxton Rocks Ecological Preserve, vicinity of 'Baskin Point' ('High Point'), 9 mi NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1050293
NY	W. R. Buck	Georgia	Coffee Co.	6.47	outside_boundary_exact	Georgia, Jeff Davis County	31.73,-82.75	1365447	Broxton Rocks Ecological Preserve, vicinity of 'Baskin Point' ('High Point'), 9 mi NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=896616
NY	W. R. Buck	Georgia	Coffee Co.	6.47	outside_boundary_exact	Georgia, Jeff Davis County	31.73,-82.75	1010888	Broxton Rocks Ecological Preserve, vicinity of Rock Falls along Rocky Creek, 9 mi NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=866344
NY	W. R. Buck	Georgia	Coffee Co.	6.47	outside_boundary_exact	Georgia, Jeff Davis County	31.73,-82.75	1520105	Broxton Rocks Ecological Preserve, vicinity of Rock Falls along Rocky Creek, 9 mi NE of Broxton	https://lichenportal.org/portal/collections/individual/index.php?occid=1011158
NY	W. R. Buck	Georgia	Coffee Co.	6.47	outside_boundary_exact	Georgia, Jeff Davis County	31.73,-82.75	1394194	Broxton Rocks Ecological Preserve, 9 mi NE of Broxton, 3 mi S of Ocumulgee River.	https://lichenportal.org/portal/collections/individual/index.php?occid=964173
