institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
NY	W. R. Buck	Kentucky	Rowan	64.98	outside_boundary_exact	West Virginia, Wayne County	38.05,-82.466667	1707048	Daniel Boone National Forest, bluffs at SE end of Cave Run Lake at Claylick Boat Ramp	https://lichenportal.org/portal/collections/individual/index.php?occid=1352684
NY	W. R. Buck	Kentucky	Bath Co.	0.32	outside_boundary_exact	Kentucky, Menifee County	38.05,-83.53	1519375	Daniel Boone National Forest, Tater Knob, off Forest Service Road 918	https://lichenportal.org/portal/collections/individual/index.php?occid=1008728
NY	W. R. Buck	Kentucky	Bath Co.	0.32	outside_boundary_exact	Kentucky, Menifee County	38.05,-83.53	1705271	Daniel Boone National Forest, Tater Knob, off Forest Service Road 918	https://lichenportal.org/portal/collections/individual/index.php?occid=1300682
NY	W. R. Buck	Kentucky	Bath Co.	0.32	outside_boundary_exact	Kentucky, Menifee County	38.05,-83.53	1704856	Daniel Boone National Forest, Tater Knob, off Forest Service Road 918	https://lichenportal.org/portal/collections/individual/index.php?occid=1300273
NY	W. R. Buck	Kentucky	Bath Co.	0.32	outside_boundary_exact	Kentucky, Menifee County	38.05,-83.53	1358994	Daniel Boone National Forest, Tater Knob, off Forest Service Road 918	https://lichenportal.org/portal/collections/individual/index.php?occid=958287
NY	W. R. Buck	Kentucky	Bath Co.	0.32	outside_boundary_exact	Kentucky, Menifee County	38.05,-83.53	1518786	Daniel Boone National Forest, Tater Knob, off Forest Service Road 918	https://lichenportal.org/portal/collections/individual/index.php?occid=1008142
NY	W. R. Buck	Kentucky	Bath Co.	0.32	outside_boundary_exact	Kentucky, Menifee County	38.05,-83.53	1398506	Daniel Boone National Forest, Tater Knob, off Forest Service Road 918	https://lichenportal.org/portal/collections/individual/index.php?occid=954641
NY	W. R. Buck	Kentucky	Bath Co.	0.32	outside_boundary_exact	Kentucky, Menifee County	38.05,-83.53	1221243	Daniel Boone National Forest, Tater Knob, off Forest Service Road 918	https://lichenportal.org/portal/collections/individual/index.php?occid=889017
NY	W. R. Buck	Kentucky	Bath Co.	0.32	outside_boundary_exact	Kentucky, Menifee County	38.05,-83.53	1544686	Daniel Boone National Forest, Tater Knob, off Forest Service Road 918	https://lichenportal.org/portal/collections/individual/index.php?occid=1040730
NY	W. R. Buck	Kentucky	Bath Co.	0.32	outside_boundary_exact	Kentucky, Menifee County	38.05,-83.53	1398908	Daniel Boone National Forest, Tater Knob, off Forest Service Road 918	https://lichenportal.org/portal/collections/individual/index.php?occid=959806
NY	W. R. Buck	Kentucky	Bath Co.	0.32	outside_boundary_exact	Kentucky, Menifee County	38.05,-83.53	1566289	Daniel Boone National Forest, Tater Knob, off Forest Service Road 918	https://lichenportal.org/portal/collections/individual/index.php?occid=1084313
NY	W. R. Buck	Kentucky	Bath Co.	0.08	outside_boundary_exact	Kentucky, Rowan County	38.12,-83.53	1547166	Daniel Boone National Forest, Stoney Cove Recreation Area on Cave Run Lake, Shetowee Trace	https://lichenportal.org/portal/collections/individual/index.php?occid=1051325
NY	W. R. Buck	Kentucky	Bath Co.	0.08	outside_boundary_exact	Kentucky, Rowan County	38.12,-83.53	1396810	Daniel Boone National Forest, Stoney Cove Recreation Area on Cave Run Lake, Shetowee Trace	https://lichenportal.org/portal/collections/individual/index.php?occid=953850
NY	W. R. Buck	Kentucky	Bath Co.	0.08	outside_boundary_exact	Kentucky, Rowan County	38.12,-83.53	1398686	Daniel Boone National Forest, Stoney Cove Recreation Area on Cave Run Lake, Shetowee Trace	https://lichenportal.org/portal/collections/individual/index.php?occid=959591
NY	W. R. Buck	Kentucky	Bath Co.	0.08	outside_boundary_exact	Kentucky, Rowan County	38.12,-83.53	1548272	Daniel Boone National Forest, Stoney Cove Recreation Area on Cave Run Lake, Shetowee Trace	https://lichenportal.org/portal/collections/individual/index.php?occid=1052417
NY	W. R. Buck	Kentucky	Bath Co.	0.08	outside_boundary_exact	Kentucky, Rowan County	38.12,-83.53	1399387	Daniel Boone National Forest, Stoney Cove Recreation Area on Cave Run Lake, Shetowee Trace	https://lichenportal.org/portal/collections/individual/index.php?occid=954838
NY	W. R. Buck	Kentucky	Bath Co.	0.08	outside_boundary_exact	Kentucky, Rowan County	38.12,-83.53	1546060	Daniel Boone National Forest, Stoney Cove Recreation Area on Cave Run Lake, Sheltowee Trace.	https://lichenportal.org/portal/collections/individual/index.php?occid=1050819
NY	W. R. Buck	Kentucky	Bath Co.	0.08	outside_boundary_exact	Kentucky, Rowan County	38.12,-83.53	1399356	Daniel Boone National Forest, Stoney Cove Recreation Area on Cave Run Lake, Shetowee Trace	https://lichenportal.org/portal/collections/individual/index.php?occid=954807
NY	W. R. Buck	Kentucky	Bath Co.	0.08	outside_boundary_exact	Kentucky, Rowan County	38.12,-83.53	1364299	Daniel Boone National Forest, Stoney Cove Recreation Area on Cave Run Lake, Shetowee Trace	https://lichenportal.org/portal/collections/individual/index.php?occid=937109
NY	W. R. Buck	Kentucky	Bath Co.	0.08	outside_boundary_exact	Kentucky, Rowan County	38.12,-83.53	03721044	Daniel Boone National Forest, Stoney Cove Recreation Area on Cave Run Lake, Shetowee Trace	https://lichenportal.org/portal/collections/individual/index.php?occid=3524411
NY	W. R. Buck	Kentucky	Bath Co.	0.08	outside_boundary_exact	Kentucky, Rowan County	38.12,-83.53	1656213	Daniel Boone National Forest, Stoney Cove Recreation Area on Cave Run Lake, Shetowee Trace	https://lichenportal.org/portal/collections/individual/index.php?occid=1238986
NY	W. R. Buck	Kentucky	Bath Co.	0.08	outside_boundary_exact	Kentucky, Rowan County	38.12,-83.53	1220700	Daniel Boone National Forest, Stoney Cove Recreation Area on Cave Run Lake, Sheltowee Trace.	https://lichenportal.org/portal/collections/individual/index.php?occid=3222316
NY	W. R. Buck	Kentucky	Bath Co.	0.08	outside_boundary_exact	Kentucky, Rowan County	38.12,-83.53	1542991	Daniel Boone National Forest, Stoney Cove Recreation Area on Cave Run Lake, Sheltowee Trace.	https://lichenportal.org/portal/collections/individual/index.php?occid=1039046
NY	W. R. Buck	Kentucky	Bath Co.	0.08	outside_boundary_exact	Kentucky, Rowan County	38.12,-83.53	02730329	Daniel Boone National Forest, Stoney Cove Recreation Area on Cave Run Lake, Shetowee Trace	https://lichenportal.org/portal/collections/individual/index.php?occid=3251101
