institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
DUKE	Culberson, William, L.; Culberson, Chicita, F.	Florida	Charlotte Co.	14.24	outside_boundary_exact	Florida, Lee County	26.64063,-81.87231	315468	Fort Myers	https://lichenportal.org/portal/collections/individual/index.php?occid=1856240
DUKE	Culberson, William, L.; Culberson, Chicita, F.	Florida	Charlotte Co.	14.24	outside_boundary_exact	Florida, Lee County	26.64063,-81.87231	316152	Fort Myers	https://lichenportal.org/portal/collections/individual/index.php?occid=1872465
DUKE	Culberson, William, L.; Culberson, Chicita, F.	Florida	Hernando Co.	11.81	outside_boundary_exact	Florida, Sumter County	28.67402,-82.11611	185187	3 mi SW of the Hernando-Sumter County line, along Route 50	https://lichenportal.org/portal/collections/individual/index.php?occid=1859593
DUKE	Culberson, William, L.; Culberson, Chicita, F.	Florida	Hernando Co.	10.8	outside_boundary_exact	Florida, Sumter County	28.66683,-82.12431	39691	3.7 mi SW of the Hernando-Sumter County line on Route 576	https://lichenportal.org/portal/collections/individual/index.php?occid=1851897
DUKE	Culberson, William, L.; Culberson, Chicita, F.	Florida	Hernando Co.	10.8	outside_boundary_exact	Florida, Sumter County	28.66683,-82.12431	39694	3.7 mi SW of the Hernando-Sumter County line on Route 576	https://lichenportal.org/portal/collections/individual/index.php?occid=1840853
DUKE	Culberson, William, L.; Culberson, Chicita, F.	Florida	Hernando Co.	10.8	outside_boundary_exact	Florida, Sumter County	28.66683,-82.12431	185185	3.7 mi SW of the Hernando-Sumter County line on Route 576	https://lichenportal.org/portal/collections/individual/index.php?occid=1844642
DUKE	Culberson, William, L.; Culberson, Chicita, F.	Florida	Hernando Co.	10.8	outside_boundary_exact	Florida, Sumter County	28.66683,-82.12431	185189	3.7 mi SW of the Hernando-Sumter County line on Route 576	https://lichenportal.org/portal/collections/individual/index.php?occid=1882967
DUKE	Culberson, William, L.; Culberson, Chicita, F.	Florida	Hernando Co.	10.8	outside_boundary_exact	Florida, Sumter County	28.66683,-82.12431	30665	3.7 mi SW of the Hernando-Sumter County line on Route 50	https://lichenportal.org/portal/collections/individual/index.php?occid=1846954
DUKE	Culberson, William, L.; Culberson, Chicita, F.	Florida	Hernando Co.	10.8	outside_boundary_exact	Florida, Sumter County	28.66683,-82.12431	30424	3.7 mi SW of the Hernando-Sumter County line on Route 50	https://lichenportal.org/portal/collections/individual/index.php?occid=1865933
DUKE	Culberson, William, L.; Culberson, Chicita, F.	Florida	Hernando Co.	10.8	outside_boundary_exact	Florida, Sumter County	28.66683,-82.12431	45245	3.7 mi SW of the Hernando-Sumter County line on Route 50	https://lichenportal.org/portal/collections/individual/index.php?occid=1863599
