institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
WIS	William Louis Culberson	Kentucky	Fleming	90.01	outside_boundary_exact	Kentucky, Floyd County	37.684128,-82.78994	WIS-L-0070219	7 miles N of Allen on Route 23	https://lichenportal.org/portal/collections/individual/index.php?occid=1301228
WIS	William Louis Culberson	Kentucky	Greenup	23.78	outside_boundary_exact	Kentucky, Boyd County	38.251382,-82.593299	WIS-L-0070217	0.5 mile NE of Boyd-Greenup County Line on route 23	https://lichenportal.org/portal/collections/individual/index.php?occid=1301226
WIS	William Louis Culberson	Kentucky	Greenup	23.78	outside_boundary_exact	Kentucky, Boyd County	38.251382,-82.593299	WIS-L-0070218	0.5 mile NE of the Boyd-Greenup County Line on route 23	https://lichenportal.org/portal/collections/individual/index.php?occid=1301227
WIS	William Louis Culberson	Kentucky	Pendleton	21.35	outside_boundary_exact	Kentucky, Harrison County	38.385143,-84.244935	WIS-L-0056937	.25 mi S of Caddo on Ky Route 10.	https://lichenportal.org/portal/collections/individual/index.php?occid=1211564
WIS	William Louis Culberson	Kentucky	Pendleton	21.35	outside_boundary_exact	Kentucky, Harrison County	38.385143,-84.244935	WIS-L-0070462	1/4 mile south of Caddo on Ky. State Route 10.	https://lichenportal.org/portal/collections/individual/index.php?occid=1301471
WIS	William Louis Culberson	Kentucky	Pendleton	21.35	outside_boundary_exact	Kentucky, Harrison County	38.385143,-84.244935	WIS-L-0093710	1/4 miles S of Caddo on Ky route 10	https://lichenportal.org/portal/collections/individual/index.php?occid=1367116
WIS	W. L. Culberson	Kentucky	Knott	10.53	outside_boundary_exact	Kentucky, Perry County	37.266112,-83.247086	WIS-L-0051996	10 miles southeast of the Perry-Knott County Line. On Ky. Route 80	https://lichenportal.org/portal/collections/individual/index.php?occid=1128027
WIS	William Louis Culberson	Kentucky	Knott	10.53	outside_boundary_exact	Kentucky, Perry County	37.266112,-83.247086	WIS-L-0074689	10 miles southeast of the Perry-Knott County Line. On Ky. Route 80.	https://lichenportal.org/portal/collections/individual/index.php?occid=1321890
CINC	Culberson, William Louis	Kentucky	Knott	5.58	outside_boundary_exact	Kentucky, Perry County	37.294791,-83.186062	CINC-L-0004325	10 miles southeast of the Perry County - Knott County line, on KY Route 80, Knott County	https://lichenportal.org/portal/collections/individual/index.php?occid=1812339
CINC	Culberson, William Louis	Kentucky	Knott	5.58	outside_boundary_exact	Kentucky, Perry County	37.294791,-83.186062	CINC-L-0005523	10 miles southeast of the Perry County - Knott County line, on KY Route 80, Knott County	https://lichenportal.org/portal/collections/individual/index.php?occid=1814332
CINC	Culberson, William Louis	Kentucky	Knott	5.58	outside_boundary_exact	Kentucky, Perry County	37.294791,-83.186062	CINC-L-0005797	10 miles southeast of the Perry County - Knott County line, on KY Route 80, Knott County	https://lichenportal.org/portal/collections/individual/index.php?occid=1814393
CINC	Culberson, William Louis	Kentucky	Knott	5.58	outside_boundary_exact	Kentucky, Perry County	37.294791,-83.186062	CINC-L-0005519	10 miles southeast of the Perry County - Knott County line, on KY Route 80, Knott County	https://lichenportal.org/portal/collections/individual/index.php?occid=1814470
WIS	William Louis Culberson	Kentucky	Rowan	3.89	outside_boundary_exact	Kentucky, Elliott County	38.145334,-83.165694	WIS-L-0068278	4 miles E of the Rowan-Elliott County line on Ky. Route 32	https://lichenportal.org/portal/collections/individual/index.php?occid=1288122
DUKE	Culberson, William, L.	Kentucky	Fleming Co.	0.02	outside_boundary_exact	Kentucky, Bath County	38.28847,-83.75964	152245	4 mi S of Tilton on KY 11	https://lichenportal.org/portal/collections/individual/index.php?occid=1841995
DUKE	Culberson, William, L.	Kentucky	Fleming Co.	0.02	outside_boundary_exact	Kentucky, Bath County	38.28847,-83.75964	305226	4 mi S of Tilton on KY 11	https://lichenportal.org/portal/collections/individual/index.php?occid=1880622
DUKE	Culberson, William, L.	Kentucky	Fleming Co.	0.02	outside_boundary_exact	Kentucky, Bath County	38.28847,-83.75964	305227	4 mi S of Tilton on KY 11	https://lichenportal.org/portal/collections/individual/index.php?occid=1851491
DUKE	Culberson, William, L.	Kentucky	Fleming Co.	0.02	outside_boundary_exact	Kentucky, Bath County	38.28847,-83.75964	317102	4 mi S of Tilton on KY 11	https://lichenportal.org/portal/collections/individual/index.php?occid=1843669
