institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
OSC	Curtis Bjork	Washington	Douglas	296.54	outside_boundary_exact	Oregon, Wheeler County	44.55,-120.1167	163973	Badger Mountain, near the ski area 44° 33' N 120° 07' W	https://lichenportal.org/portal/collections/individual/index.php?occid=4416284
OSC	Curtis Bjork	Washington	Douglas	296.54	outside_boundary_exact	Oregon, Wheeler County	44.55,-120.1167	163973	Badger Mountain, near the ski area 44° 33' N 120° 07' W	https://lichenportal.org/portal/collections/individual/index.php?occid=4416284
WTU	Curtis R. Bjork	Washington	Douglas	296.54	outside_boundary_exact	Oregon, Wheeler County	44.55,-120.116667	WTU-L-027590	Badger Mountain, near the ski area.	https://lichenportal.org/portal/collections/individual/index.php?occid=4804676
CMN	Björk, Curtis R.	Washington	Skamania Co.	54.58	outside_boundary_exact	Washington, Klickitat County	45.715,-120.82	CANL 123232	Pullout across the lagoon from the Columbia River Gorge Center	https://lichenportal.org/portal/collections/individual/index.php?occid=3325104
WS	Curtis R. Bjork	Washington	Asotin	0.03	outside_boundary_exact	Idaho, Nez Perce County	46.08028,-116.97861	361252	Lime Hill, northern extreme of Hell's Canyon; about 1.3 air miles eastsoutheast of the mouth of the Grande Ronde River; at the northeast base of Lime Hill, about 100 feet above the Snake River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338934
WS	Curtis R. Bjork	Washington	Asotin	0.03	outside_boundary_exact	Idaho, Nez Perce County	46.08028,-116.97861	361253	Lime Hill, northern extreme of Hell's Canyon; about 1.3 air miles eastsoutheast of the mouth of the Grande Ronde River; at the northeast base of Lime Hill, about 100 feet above the Snake River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338935
WS	Curtis R. Bjork	Washington	Asotin	0.03	outside_boundary_exact	Idaho, Nez Perce County	46.08028,-116.97861	361254	Lime Hill, northern extreme of Hell's Canyon; about 1.3 air miles eastsoutheast of the mouth of the Grande Ronde River; at the northeast base of Lime Hill, about 100 feet above the Snake River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338936
WS	Curtis R. Bjork	Washington	Asotin	0.03	outside_boundary_exact	Idaho, Nez Perce County	46.08028,-116.97861	361255	Lime Hill, northern extreme of Hell's Canyon; about 1.3 air miles eastsoutheast of the mouth of the Grande Ronde River; at the northeast base of Lime Hill, about 100 feet above the Snake River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338937
WS	Curtis R. Bjork	Washington	Asotin	0.03	outside_boundary_exact	Idaho, Nez Perce County	46.08028,-116.97861	361256	Lime Hill, northern extreme of Hell's Canyon; about 1.0 air miles eastsoutheast of the mouth of the Grande Ronde River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338938
WS	Curtis R. Bjork	Washington	Asotin	0.03	outside_boundary_exact	Idaho, Nez Perce County	46.08028,-116.97861	361257	Lime Hill, northern extreme of Hell's Canyon; about 1.3 air miles eastsoutheast of the mouth of the Grande Ronde River; at the northeast base of Lime Hill, about 100 feet above the Snake River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338939
WS	Curtis R. Bjork	Washington	Asotin	0.03	outside_boundary_exact	Idaho, Nez Perce County	46.08028,-116.97861	361258	Lime Hill, northern extreme of Hell's Canyon; about 1.3 air miles eastsoutheast of the mouth of the Grande Ronde River; at the northeast base of Lime Hill, about 100 feet above the Snake River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338940
WS	Curtis R. Bjork	Washington	Asotin	0.03	outside_boundary_exact	Idaho, Nez Perce County	46.08028,-116.97861	361259	Lime Hill, northern extreme of Hell's Canyon; about 1.3 air miles eastsoutheast of the mouth of the Grande Ronde River; at the northeast base of Lime Hill, about 100 feet above the Snake River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338941
WS	Curtis R. Bjork	Washington	Asotin	0.03	outside_boundary_exact	Idaho, Nez Perce County	46.08028,-116.97861	361260	Lime Hill, northern extreme of Hell's Canyon; about 1.0 air miles eastsoutheast of the mouth of the Grande Ronde River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338942
WS	Curtis R. Bjork	Washington	Asotin	0.03	outside_boundary_exact	Idaho, Nez Perce County	46.08028,-116.97861	361261	Lime Hill, northern extreme of Hell's Canyon; about 1.3 air miles eastsoutheast of the mouth of the Grande Ronde River; at the northeast base of Lime Hill, about 100 feet above the Snake River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338943
WS	Curtis R. Bjork	Washington	Asotin	0.03	outside_boundary_exact	Idaho, Nez Perce County	46.08028,-116.97861	361262	Lime Hill, northern extreme of Hell's Canyon; about 1.3 air miles eastsoutheast of the mouth of the Grande Ronde River; at the northeast base of Lime Hill, about 100 feet above the Snake River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338944
