institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
DUKE	Dey, Jonathan, P.	North Carolina	Surry Co.	140.69	outside_boundary_exact	Tennessee, Unicoi County	36.13,-82.51	192344	Surry County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1841556
DUKE	Dey, Jonathan, P.	North Carolina	Carteret Co.	60.85	outside_boundary_exact	North Carolina, Pender County	34.6988889,-77.8288889	336478	Bogue Banks, Theodore Roosevelt Natural Area, SW of North Carolina Aquarium, S of Nature Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=2420877
NY	J. P. Dey	North Carolina	Carteret Co.	60.85	outside_boundary_exact	North Carolina, Pender County	34.6989,-77.8289	1684172	Theodore Roosevelt Natural Area on Bogue Banks, SW of N.C. Aquarium, S of Nature Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3186571
NY	J. P. Dey	North Carolina	Carteret Co.	60.85	outside_boundary_exact	North Carolina, Pender County	34.6989,-77.8289	1684177	Theodore Roosevelt Natural Area on Bogue Banks, SW of N.C. Aquarium, S of Nature Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3186572
NY	J. P. Dey	North Carolina	Carteret Co.	60.85	outside_boundary_exact	North Carolina, Pender County	34.6989,-77.8289	1684181	Theodore Roosevelt Natural Area on Bogue Banks, SW of N.C. Aquarium, S of Nature Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3215370
NY	J. P. Dey	North Carolina	Carteret Co.	60.85	outside_boundary_exact	North Carolina, Pender County	34.6989,-77.8289	1684152	Theodore Roosevelt Natural Area on Bogue Banks, SW of N.C. Aquarium, S of Nature Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3249093
NY	J. P. Dey	North Carolina	Carteret Co.	60.85	outside_boundary_exact	North Carolina, Pender County	34.6989,-77.8289	1684176	Theodore Roosevelt Natural Area on Bogue Banks, SW of N.C. Aquarium, S of Nature Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3215369
NY	J. P. Dey	North Carolina	Carteret Co.	60.85	outside_boundary_exact	North Carolina, Pender County	34.6989,-77.8289	1684178	Theodore Roosevelt Natural Area on Bogue Banks, SW of N.C. Aquarium, S of Nature Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3186573
NY	J. P. Dey	North Carolina	Carteret Co.	60.85	outside_boundary_exact	North Carolina, Pender County	34.6989,-77.8289	1684151	Theodore Roosevelt Natural Area on Bogue Banks, SW of N.C. Aquarium, S of Nature Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3186542
NY	J. P. Dey	North Carolina	Carteret Co.	60.85	outside_boundary_exact	North Carolina, Pender County	34.6989,-77.8289	1684179	Theodore Roosevelt Natural Area on Bogue Banks, SW of N.C. Aquarium, S of Nature Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3212950
NY	J. P. Dey	North Carolina	Carteret Co.	60.85	outside_boundary_exact	North Carolina, Pender County	34.6989,-77.8289	1684174	Theodore Roosevelt Natural Area on Bogue Banks, SW of N.C. Aquarium, S of Nature Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3207919
NY	J. P. Dey	North Carolina	Carteret Co.	60.85	outside_boundary_exact	North Carolina, Pender County	34.6989,-77.8289	1684182	Theodore Roosevelt Natural Area on Bogue Banks, SW of N.C. Aquarium, S of Nature Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3186575
NY	J. P. Dey	North Carolina	Carteret Co.	60.85	outside_boundary_exact	North Carolina, Pender County	34.6989,-77.8289	1684171	Theodore Roosevelt Natural Area on Bogue Banks, SW of N.C. Aquarium, S of Nature Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3186561
NY	J. P. Dey	North Carolina	Carteret Co.	60.85	outside_boundary_exact	North Carolina, Pender County	34.6989,-77.8289	1684173	Theodore Roosevelt Natural Area on Bogue Banks, SW of N.C. Aquarium, S of Nature Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3208638
NY	J. P. Dey	North Carolina	Carteret Co.	60.85	outside_boundary_exact	North Carolina, Pender County	34.6989,-77.8289	1684170	Theodore Roosevelt Natural Area on Bogue Banks, SW of N.C. Aquarium, S of Nature Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3186553
NY	J. P. Dey	North Carolina	Carteret Co.	60.85	outside_boundary_exact	North Carolina, Pender County	34.6989,-77.8289	1684175	Theodore Roosevelt Natural Area on Bogue Banks, SW of N.C. Aquarium, S of Nature Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3227171
NY	J. P. Dey	North Carolina	Carteret Co.	60.85	outside_boundary_exact	North Carolina, Pender County	34.6989,-77.8289	1684180	Theodore Roosevelt Natural Area on Bogue Banks, SW of N.C. Aquarium, S of Nature Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3186574
COLO	J. P. Dey	North Carolina	Carteret	60.85	outside_boundary_exact	North Carolina, Pender County	34.6989,-77.8289	COLO-L-0052455	Theodore Roosevelt Natural Area on Bogue Banks, SW of N.C. Aquarium, S of Nature Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3171966
DUKE	Dey, Jonathan, P.	North Carolina	Swain Co.	48.71	outside_boundary_exact	North Carolina, Transylvania County	35.18011,-82.83319	140661	Southern Appalachian Mountains. Double Springs Gap in the Great Smoky Mountains National Park. Along the Appalachian Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=1852617
DUKE	Dey, Jonathan, P.	North Carolina	Swain Co.	48.71	outside_boundary_exact	North Carolina, Transylvania County	35.18011,-82.83319	185789	Southern Appalachian Mountains. Double Springs Gap in the Great Smoky Mountains National Park. Along the Appalachian Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=1865382
NY	J. P. Dey	North Carolina	Buncombe Co.	44.06	outside_boundary_exact	Tennessee, Sevier County	35.7033,-83.3778	1226025	Craggy Pinnacle in the Great Craggy Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=897144
NY	J. P. Dey	North Carolina	Buncombe Co.	44.06	outside_boundary_exact	Tennessee, Sevier County	35.7033,-83.3778	1593375	Craggy Pinnacle in the Great Craggy Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=3216671
NY	J. P. Dey	North Carolina	Buncombe Co.	44.06	outside_boundary_exact	Tennessee, Sevier County	35.7033,-83.3778	1230374	Craggy Pinnacle in the Great Craggy Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=3233447
NY	J. P. Dey	North Carolina	Buncombe Co.	44.06	outside_boundary_exact	Tennessee, Sevier County	35.7033,-83.3778	1229307	Craggy Pinnacle in the Great Craggy Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=901087
NY	J. P. Dey	North Carolina	Buncombe Co.	44.06	outside_boundary_exact	Tennessee, Sevier County	35.7033,-83.3778	1231343	Craggy Pinnacle in the Great Craggy Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=3216387
NY	J. P. Dey	North Carolina	Buncombe Co.	44.06	outside_boundary_exact	Tennessee, Sevier County	35.7033,-83.3778	03032622	Craggy Pinnacle in the Great Craggy Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=3249872
NY	J. P. Dey	North Carolina	Buncombe Co.	44.06	outside_boundary_exact	Tennessee, Sevier County	35.7033,-83.3778	2794219	Craggy Pinnacle in the Great Craggy Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=3240774
