institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
OSC	Linda Geiser	Washington	Whatcom	190.63	outside_boundary_exact	not_found_in_US	48.91,-125.89	OSC-M-293185	Mt Baker-Snoqualmie National Forest: Mt Baker: Pasayten Wilderness. FIA Site # 77662 53 73	https://lichenportal.org/portal/collections/individual/index.php?occid=4496928
OSC	Linda Geiser	Washington	Whatcom	190.63	outside_boundary_exact	not_found_in_US	48.91,-125.89	OSC-M-293186	Mt Baker-Snoqualmie National Forest: Mt Baker: Pasayten Wilderness. FIA Site # 77662 53 73	https://lichenportal.org/portal/collections/individual/index.php?occid=4496929
OSC	Linda Geiser	Washington	Whatcom	190.63	outside_boundary_exact	not_found_in_US	48.91,-125.89	OSC-M-293187	Mt Baker-Snoqualmie National Forest: Mt Baker: Pasayten Wilderness. FIA Site # 77662 53 73	https://lichenportal.org/portal/collections/individual/index.php?occid=4496930
OSC	Linda Geiser	Washington	Whatcom	190.63	outside_boundary_exact	not_found_in_US	48.91,-125.89	OSC-M-293188	Mt Baker-Snoqualmie National Forest: Mt Baker: Pasayten Wilderness. FIA Site # 77662 53 73	https://lichenportal.org/portal/collections/individual/index.php?occid=4496931
OSC	Linda Geiser	Washington	Whatcom	190.63	outside_boundary_exact	not_found_in_US	48.91,-125.89	OSC-M-293189	Mt Baker-Snoqualmie National Forest: Mt Baker: Pasayten Wilderness. FIA Site # 77662 53 73	https://lichenportal.org/portal/collections/individual/index.php?occid=4496932
OSC	Linda Geiser	Washington	Whatcom	190.63	outside_boundary_exact	not_found_in_US	48.91,-125.89	OSC-M-293190	Mt Baker-Snoqualmie National Forest: Mt Baker: Pasayten Wilderness. FIA Site # 77662 53 73	https://lichenportal.org/portal/collections/individual/index.php?occid=4496933
OSC	Linda Geiser	Washington	Whatcom	190.63	outside_boundary_exact	not_found_in_US	48.91,-125.89	OSC-M-293191	Mt Baker-Snoqualmie National Forest: Mt Baker: Pasayten Wilderness. FIA Site # 77662 53 73	https://lichenportal.org/portal/collections/individual/index.php?occid=4496934
OSC	Linda Geiser	Washington	Whatcom	190.63	outside_boundary_exact	not_found_in_US	48.91,-125.89	OSC-M-293192	Mt Baker-Snoqualmie National Forest: Mt Baker: Pasayten Wilderness. FIA Site # 77662 53 73	https://lichenportal.org/portal/collections/individual/index.php?occid=4496935
OSC	Linda Geiser	Washington	Whatcom	190.63	outside_boundary_exact	not_found_in_US	48.91,-125.89	OSC-M-293193	Mt Baker-Snoqualmie National Forest: Mt Baker: Pasayten Wilderness. FIA Site # 77662 53 73	https://lichenportal.org/portal/collections/individual/index.php?occid=4496936
OSC	Linda Geiser	Washington	Whatcom	190.63	outside_boundary_exact	not_found_in_US	48.91,-125.89	OSC-M-293194	Mt Baker-Snoqualmie National Forest: Mt Baker: Pasayten Wilderness. FIA Site # 77662 53 73	https://lichenportal.org/portal/collections/individual/index.php?occid=4496937
