institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
OSC	Amanda Hardman	Oregon	Deschutes	31.2	outside_boundary_exact	Oregon, Klamath County	43.335959,-121.820236	OSC-M-309589	Deschutes National Forest: Crescent Ranger District: Easy drive then short hike on the 180 rd. Plot center close to the road. FIA Site # 68706 41 35	https://lichenportal.org/portal/collections/individual/index.php?occid=4512263
OSC	Amanda Hardman	Oregon	Deschutes	31.2	outside_boundary_exact	Oregon, Klamath County	43.335959,-121.820236	OSC-M-309590	Deschutes National Forest: Crescent Ranger District: Easy drive then short hike on the 180 rd. Plot center close to the road. FIA Site # 68706 41 35	https://lichenportal.org/portal/collections/individual/index.php?occid=4512264
OSC	Amanda Hardman	Oregon	Deschutes	31.2	outside_boundary_exact	Oregon, Klamath County	43.335959,-121.820236	OSC-M-309591	Deschutes National Forest: Crescent Ranger District: Easy drive then short hike on the 180 rd. Plot center close to the road. FIA Site # 68706 41 35	https://lichenportal.org/portal/collections/individual/index.php?occid=4512265
OSC	Amanda Hardman	Oregon	Deschutes	31.2	outside_boundary_exact	Oregon, Klamath County	43.335959,-121.820236	OSC-M-309592	Deschutes National Forest: Crescent Ranger District: Easy drive then short hike on the 180 rd. Plot center close to the road. FIA Site # 68706 41 35	https://lichenportal.org/portal/collections/individual/index.php?occid=4512266
OSC	Amanda Hardman	Oregon	Deschutes	31.2	outside_boundary_exact	Oregon, Klamath County	43.335959,-121.820236	OSC-M-309593	Deschutes National Forest: Crescent Ranger District: Easy drive then short hike on the 180 rd. Plot center close to the road. FIA Site # 68706 41 35	https://lichenportal.org/portal/collections/individual/index.php?occid=4512267
OSC	Amanda Hardman	Oregon	Deschutes	31.2	outside_boundary_exact	Oregon, Klamath County	43.335959,-121.820236	OSC-M-309594	Deschutes National Forest: Crescent Ranger District: Easy drive then short hike on the 180 rd. Plot center close to the road. FIA Site # 68706 41 35	https://lichenportal.org/portal/collections/individual/index.php?occid=4512268
OSC	Amanda Hardman	Oregon	Deschutes	31.2	outside_boundary_exact	Oregon, Klamath County	43.335959,-121.820236	OSC-M-309589	Deschutes National Forest: Crescent Ranger District: Easy drive then short hike on the 180 rd. Plot center close to the road. FIA Site # 68706 41 35	https://lichenportal.org/portal/collections/individual/index.php?occid=4512263
OSC	Amanda Hardman	Oregon	Deschutes	31.2	outside_boundary_exact	Oregon, Klamath County	43.335959,-121.820236	OSC-M-309590	Deschutes National Forest: Crescent Ranger District: Easy drive then short hike on the 180 rd. Plot center close to the road. FIA Site # 68706 41 35	https://lichenportal.org/portal/collections/individual/index.php?occid=4512264
OSC	Amanda Hardman	Oregon	Deschutes	31.2	outside_boundary_exact	Oregon, Klamath County	43.335959,-121.820236	OSC-M-309591	Deschutes National Forest: Crescent Ranger District: Easy drive then short hike on the 180 rd. Plot center close to the road. FIA Site # 68706 41 35	https://lichenportal.org/portal/collections/individual/index.php?occid=4512265
OSC	Amanda Hardman	Oregon	Deschutes	31.2	outside_boundary_exact	Oregon, Klamath County	43.335959,-121.820236	OSC-M-309592	Deschutes National Forest: Crescent Ranger District: Easy drive then short hike on the 180 rd. Plot center close to the road. FIA Site # 68706 41 35	https://lichenportal.org/portal/collections/individual/index.php?occid=4512266
