institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
NY	R. C. Harris	Illinois	Jackson Co.	47.6	outside_boundary_exact	Illinois, Pope County	37.5,-88.625	873645	Shawnee National Forest, Hayes Creek, off St. Hwy 145, NE of Glendale	https://lichenportal.org/portal/collections/individual/index.php?occid=853376
NY	R. C. Harris	Illinois	Jackson Co.	47.6	outside_boundary_exact	Illinois, Pope County	37.5,-88.625	666119	Shawnee National Forest, Hayes Creek, off St. Hwy 145, NE of Glendale	https://lichenportal.org/portal/collections/individual/index.php?occid=851984
NY	R. C. Harris	Illinois	Jackson Co.	47.6	outside_boundary_exact	Illinois, Pope County	37.5,-88.625	765178	Shawnee National Forest, Hayes Creek, off St. Hwy 145, NE of Glendale	https://lichenportal.org/portal/collections/individual/index.php?occid=851819
NY	R. C. Harris	Illinois	Jackson Co.	47.6	outside_boundary_exact	Illinois, Pope County	37.5,-88.625	1227690	Shawnee National Forest, Hayes Creek, off St. Hwy 145, NE of Glendale	https://lichenportal.org/portal/collections/individual/index.php?occid=3186922
NY	R. C. Harris	Illinois	Jackson Co.	47.6	outside_boundary_exact	Illinois, Pope County	37.5,-88.625	1537056	Shawnee National Forest, Hayes Creek, off St. Hwy 145, NE of Glendale	https://lichenportal.org/portal/collections/individual/index.php?occid=1026214
NY	R. C. Harris	Illinois	Jackson Co.	47.6	outside_boundary_exact	Illinois, Pope County	37.5,-88.625	652862	Shawnee National Forest, Hayes Creek, off St. Hwy 145, NE of Glendale	https://lichenportal.org/portal/collections/individual/index.php?occid=851126
NY	R. C. Harris	Illinois	Jackson Co.	47.6	outside_boundary_exact	Illinois, Pope County	37.5,-88.625	638296	Shawnee National Forest, Hayes Creek, off St. Hwy 145, NE of Glendale	https://lichenportal.org/portal/collections/individual/index.php?occid=851841
NY	R. C. Harris	Illinois	Jackson Co.	47.6	outside_boundary_exact	Illinois, Pope County	37.5,-88.625	1537055	Shawnee National Forest, Hayes Creek, off St. Hwy 145, NE of Glendale	https://lichenportal.org/portal/collections/individual/index.php?occid=1026213
NY	R. C. Harris	Illinois	Jackson Co.	47.6	outside_boundary_exact	Illinois, Pope County	37.5,-88.625	668992	Shawnee National Forest, Hayes Creek, off St. Hwy 145, NE of Glendale	https://lichenportal.org/portal/collections/individual/index.php?occid=853095
NY	R. C. Harris	Illinois	Jackson Co.	47.6	outside_boundary_exact	Illinois, Pope County	37.5,-88.625	652818	Shawnee National Forest, Hayes Creek, off St. Hwy 145, NE of Glendale	https://lichenportal.org/portal/collections/individual/index.php?occid=853480
NY	R. C. Harris	Illinois	Jackson Co.	47.6	outside_boundary_exact	Illinois, Pope County	37.5,-88.625	771368	Shawnee National Forest, Hayes Creek, off St. Hwy 145, NE of Glendale	https://lichenportal.org/portal/collections/individual/index.php?occid=853571
NY	R. C. Harris	Illinois	Jackson Co.	47.6	outside_boundary_exact	Illinois, Pope County	37.5,-88.625	652820	Shawnee National Forest, Hayes Creek, off St. Hwy 145, NE of Glendale	https://lichenportal.org/portal/collections/individual/index.php?occid=852318
NY	R. C. Harris	Illinois	Jackson Co.	47.6	outside_boundary_exact	Illinois, Pope County	37.5,-88.625	761765	Shawnee National Forest, Hayes Creek, off St. Hwy 145, NE of Glendale	https://lichenportal.org/portal/collections/individual/index.php?occid=851985
NY	R. C. Harris	Illinois	Jackson Co.	47.6	outside_boundary_exact	Illinois, Pope County	37.5,-88.625	649485	Shawnee National Forest, Hayes Creek, off St. Hwy 145, NE of Glendale	https://lichenportal.org/portal/collections/individual/index.php?occid=855296
NY	R. C. Harris	Illinois	Jackson Co.	47.6	outside_boundary_exact	Illinois, Pope County	37.5,-88.625	666121	Shawnee National Forest, Hayes Creek, off St. Hwy 145, NE of Glendale	https://lichenportal.org/portal/collections/individual/index.php?occid=852703
NY	R. C. Harris	Illinois	Jackson Co.	47.6	outside_boundary_exact	Illinois, Pope County	37.5,-88.625	652819	Shawnee National Forest, Hayes Creek, off St. Hwy 145, NE of Glendale	https://lichenportal.org/portal/collections/individual/index.php?occid=853708
NY	R. C. Harris	Illinois	Jackson Co.	47.6	outside_boundary_exact	Illinois, Pope County	37.5,-88.625	1537054	Shawnee National Forest, Hayes Creek, off St. Hwy 145, NE of Glendale	https://lichenportal.org/portal/collections/individual/index.php?occid=1026212
NY	R. C. Harris	Illinois	Jackson Co.	47.6	outside_boundary_exact	Illinois, Pope County	37.5,-88.625	771208	Shawnee National Forest, Hayes Creek, off St. Hwy 145, NE of Glendale	https://lichenportal.org/portal/collections/individual/index.php?occid=854510
NY	R. C. Harris	Illinois	Jackson Co.	47.6	outside_boundary_exact	Illinois, Pope County	37.5,-88.625	625119	Shawnee National Forest, Hayes Creek, off St. Hwy 145, NE of Glendale	https://lichenportal.org/portal/collections/individual/index.php?occid=852705
FTU	Elizabeth M. Harris	Illinois	Hardin	0.64	outside_boundary_exact	Illinois, Saline County	37.604855,-88.384339	FTU L104	Shawnee National Forest, Garden of Gods picnic area	https://lichenportal.org/portal/collections/individual/index.php?occid=1558551
FTU	Elizabeth M. Harris	Illinois	Hardin	0.64	outside_boundary_exact	Illinois, Saline County	37.604855,-88.384339	FTU L174	Shawnee National Forest, Garden of the Gods picnic area	https://lichenportal.org/portal/collections/individual/index.php?occid=1558621
FTU	Elizabeth M. Harris	Illinois	Hardin	0.64	outside_boundary_exact	Illinois, Saline County	37.604855,-88.384339	FTU L318	Shawnee National Forest, Garden of the Gods picnic area. R7E T10S	https://lichenportal.org/portal/collections/individual/index.php?occid=1558768
FTU	Elizabeth M. Harris	Illinois	Hardin	0.59	outside_boundary_exact	Illinois, Saline County	37.604448,-88.384404	FTU L683	Shawnee National Park, Garden of the Gods picnic area. R7E T10S	https://lichenportal.org/portal/collections/individual/index.php?occid=1558374
FTU	Elizabeth M. Harris	Illinois	Hardin	0.46	outside_boundary_exact	Illinois, Saline County	37.603295,-88.383429	FTU L151	Shawnee National Forest. Garden of the Gods picnic area	https://lichenportal.org/portal/collections/individual/index.php?occid=1558598
