institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MIN	Harris, R.	West Virginia	Pendleton	474.09	outside_boundary_exact	not_found_in_US	38.65027778,-73.55527778	881842	Fanny Bennett Hemlock Grove; Monongahela National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=416713
MIN	Harris, R.	West Virginia	Pendleton	474.09	outside_boundary_exact	not_found_in_US	38.65027778,-73.55527778	881844	Fanny Bennett Hemlock Grove; Monongahela National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=416715
MIN	Harris, R.	West Virginia	Tucker	0.42	outside_boundary_exact	West Virginia, Randolph County	38.96295,-79.363979	666578	Petersburg, 11 Mi Wnw of; Dolly Sods Wilderness Area	https://lichenportal.org/portal/collections/individual/index.php?occid=321407
LSU	R. C. Harris	West Virginia	Tucker	0.42	outside_boundary_exact	West Virginia, Randolph County	38.96295,-79.363979	LSU00130477	Dolly Sods Wilderness Area c. 11 mi WNW of Petersburg.	https://lichenportal.org/portal/collections/individual/index.php?occid=1527376
LSU	Shirley C. Tucker; R. C. Harris	West Virginia	Tucker	0.42	outside_boundary_exact	West Virginia, Randolph County	38.96295,-79.363979	LSU00130478	Dolly Sods Wilderness Area c. 11 mi. W-NW of Petersburg.	https://lichenportal.org/portal/collections/individual/index.php?occid=1527377
NY	Richard C. Harris	West Virginia	Tucker	0.38	outside_boundary_exact	West Virginia, Grant County	39.075,-79.294444	1705377	Monongahela National Forest, Dolly Sods National Scenic Area, vicinity of Bear Rocks, ca. 1220 m	https://lichenportal.org/portal/collections/individual/index.php?occid=1303045
NY	R. C. Harris	West Virginia	Tucker Co.	0.38	outside_boundary_exact	West Virginia, Grant County	39.075,-79.2944	1046907	Monongahela National Forest, Dolly Sods National Scenic Area, vicinity of Bear Rocks	https://lichenportal.org/portal/collections/individual/index.php?occid=863943
NY	R. C. Harris	West Virginia	Tucker Co.	0.38	outside_boundary_exact	West Virginia, Grant County	39.075,-79.2944	1705200	Monongahela National Forest, Dolly Sods National Scenic Area, vicinity of Bear Rocks	https://lichenportal.org/portal/collections/individual/index.php?occid=1300611
NY	R. C. Harris	West Virginia	Tucker Co.	0.38	outside_boundary_exact	West Virginia, Grant County	39.075,-79.2944	1399600	Monongahela National Forest, Dolly Sods National Scenic Area, vicinity of Bear Rocks	https://lichenportal.org/portal/collections/individual/index.php?occid=955048
NY	R. C. Harris	West Virginia	Tucker Co.	0.38	outside_boundary_exact	West Virginia, Grant County	39.075,-79.2944	1517605	Monongahela National Forest, Dolly Sods National Scenic Area, vicinity of Bear Rocks	https://lichenportal.org/portal/collections/individual/index.php?occid=1005648
MSC	Harris, Richard C	West Virginia	Randolph	0.13	outside_boundary_exact	West Virginia, Randolph County	38.62678,-79.845062	MSC0121613	Monogahela National Forest, Gaudineer Scenic Area	https://lichenportal.org/portal/collections/individual/index.php?occid=189877
MSC	Harris, Richard	West Virginia	Randolph	0.13	outside_boundary_exact	West Virginia, Randolph County	38.62678,-79.845062	MSC0048339	Monogahela National Forest, Gaudineer Scenic Area	https://lichenportal.org/portal/collections/individual/index.php?occid=242793
MSC	Harris, Richard	West Virginia	Randolph	0.13	outside_boundary_exact	West Virginia, Randolph County	38.62678,-79.845062	MSC0048340	Monogahela National Forest, Gaudineer Scenic Area	https://lichenportal.org/portal/collections/individual/index.php?occid=242795
MSC	Harris, Richard C	West Virginia	Randolph	0.13	outside_boundary_exact	West Virginia, Randolph County	38.62678,-79.845062	MSC0055921	Monogahela National Forest, Gaudineer Scenic Area	https://lichenportal.org/portal/collections/individual/index.php?occid=250478
NY	R. C. Harris	West Virginia	Randolph Co.	0.1	outside_boundary_exact	West Virginia, Randolph County	38.628858,-79.843344	1363195	Monongahela National Forest, Gaudineer Scenic Area	https://lichenportal.org/portal/collections/individual/index.php?occid=905712
NY	R. C. Harris	West Virginia	Randolph Co.	0.1	outside_boundary_exact	West Virginia, Randolph County	38.628858,-79.843344	1394847	Gaudineer Scenic Area	https://lichenportal.org/portal/collections/individual/index.php?occid=962618
NY	R. C. Harris	West Virginia	Hardy Co.	0	outside_boundary_exact	Virginia, Shenandoah County	38.92,-78.6925	1180808	George Washington National Forest, along trail from Wolf Gap campground to Tibett Knob	https://lichenportal.org/portal/collections/individual/index.php?occid=884050
