institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
NY	J. Hollinger	California	Inyo Co.	1102.49	outside_boundary_exact	not_found_in_US	25.86,-118.0072	04274775	Inyo/Tulare Co. Nine Mile Canyon Road, ridge to south at top of the big grade.	https://lichenportal.org/portal/collections/individual/index.php?occid=4985074
NY	J. Hollinger	California	Inyo Co.	1102.49	outside_boundary_exact	not_found_in_US	25.86,-118.0072	04274776	Inyo/Tulare Co. Nine Mile Canyon Road, ridge to south at top of the big grade.	https://lichenportal.org/portal/collections/individual/index.php?occid=4985073
NY	J. Hollinger	California	Inyo Co.	1102.49	outside_boundary_exact	not_found_in_US	25.86,-118.0072	04274777	Inyo/Tulare Co. Nine Mile Canyon Road, ridge to south at top of the big grade.	https://lichenportal.org/portal/collections/individual/index.php?occid=4985072
UCSC	K.M. Kellman & J. Hollinger	California	San Luis Obispo Co.	57.5	outside_boundary_exact	California, San Benito County	36.30523,-120.81562	7241.00	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=3394814
NCU	Hollinger, Jason P.	California	Trinity	53.08	outside_boundary_exact	California, Tehama County	40.346944,-122.14	NCU-L-0001884	Trinity Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=762292
NCU	Hollinger, Jason P.	California	Trinity	53.08	outside_boundary_exact	California, Tehama County	40.346944,-122.14	NCU-L-0001885	Trinity Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=762373
NY	J. Hollinger	California	Inyo Co.	33.83	outside_boundary_exact	California, Kern County	35.5669,-118.2639	03817011	Mount Whitney, along Lone Pine Creek ca. 7 km from Whitney Portal trailhead.	https://lichenportal.org/portal/collections/individual/index.php?occid=3523390
NY	J. Hollinger	California	Inyo Co.	33.83	outside_boundary_exact	California, Kern County	35.5669,-118.2639	03817010	Mount Whitney, along Lone Pine Creek ca. 7 km from Whitney Portal trailhead.	https://lichenportal.org/portal/collections/individual/index.php?occid=3523391
NCU	Hollinger, Jason P.	California	Santa Barbara	4.17	outside_boundary_exact	California, Ventura County	34.695833,-119.396944	NCU-L-0002934	near Hwy 33, Los Padres National Forest W of Lockwood Valley	https://lichenportal.org/portal/collections/individual/index.php?occid=762170
NCU	Hollinger, Jason P.	California	Santa Barbara	4.17	outside_boundary_exact	California, Ventura County	34.695833,-119.396944	NCU-L-0001878	Along Rancho Nuevo Creek, W of hwy 33, Los Padres National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=762289
NCU	Hollinger, Jason P.	California	Trinity	4.01	outside_boundary_exact	California, Shasta County	40.346944,-122.983889	NCU-L-0001680	Trinity Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=762263
NCU	Hollinger, Jason P.	California	Trinity	4.01	outside_boundary_exact	California, Shasta County	40.346944,-122.983889	NCU-L-0001756	Trinity National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=762407
NCU	Hollinger, Jason P.	California	Trinity	4.01	outside_boundary_exact	California, Shasta County	40.346944,-122.983889	NCU-L-0001679	Trinity Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=762607
NCU	Hollinger, Jason P.	California	Trinity	3.85	outside_boundary_exact	California, Shasta County	40.35,-122.983333	NCU-L-0002223	coast range	https://lichenportal.org/portal/collections/individual/index.php?occid=762424
NY	J. Hollinger	California	Inyo Co.	1.86	outside_boundary_exact	California, Tulare County	36.5078,-118.2603	03817290	Mount Whitney, on granite benches to S of trail ca 6.5 km from Whitney Portal trailhead shortly before it reaches Mirror Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=3523672
NY	J. Hollinger	California	Inyo Co.	1.86	outside_boundary_exact	California, Tulare County	36.5078,-118.2603	03817020	Mount Whitney, on granite benches to S of trail ca 6.5 km from Whitney Portal trailhead shortly before it reaches Mirror Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=3523405
