institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
OSC	Jenifer Hutchinson	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304815	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507384
OSC	Jenifer Hutchinson	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304816	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507385
OSC	Jenifer Hutchinson	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304817	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507386
OSC	Jenifer Hutchinson	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304818	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507387
OSC	Jenifer Hutchinson	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304819	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507388
OSC	Jenifer Hutchinson	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304820	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507389
OSC	Jenifer Hutchinson	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304821	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507390
OSC	Jenifer Hutchinson	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304822	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507391
OSC	Jenifer Hutchinson	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304823	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507392
OSC	Jenifer Hutchinson	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304824	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507393
OSC	Jenifer Hutchinson	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304825	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507394
OSC	Jenifer Hutchinson	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304826	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507395
OSC	Jenifer Hutchinson	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304827	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507396
OSC	Jenifer Hutchinson	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304828	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507397
OSC	Jenifer Hutchinson	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304829	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507398
OSC	Jenifer Hutchinson, C. Gagen	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304830	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507399
OSC	Jenifer Hutchinson, C. Gagen	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304831	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507400
OSC	Jenifer Hutchinson, C. Gagen	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304832	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507401
OSC	Jenifer Hutchinson, C. Gagen	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304833	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507402
OSC	Jenifer Hutchinson, C. Gagen	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304834	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507403
OSC	Jenifer Hutchinson, C. Gagen	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304835	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507404
OSC	Jenifer Hutchinson, C. Gagen	Oregon	Jefferson	7.67	outside_boundary_exact	Oregon, Deschutes County	44.32385,-121.805124	OSC-M-304836	Deschutes National Forest: Sisters Ranger District: Mount Jefferson Wilderness. FIA Site # 88412 41 17	https://lichenportal.org/portal/collections/individual/index.php?occid=4507405
