institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MSC	Imshaug, Henry A	Idaho	Bingham	462.37	outside_boundary_exact	Idaho, Shoshone County	47.128392,-115.879586	MSC0102438	Benewah county: Washington State College Ski Slope St. Joe National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=180089
MSC	Imshaug, Henry A	Idaho	Latah	338.7	outside_boundary_exact	Idaho, Lemhi County	44.59964,-113.088354	MSC0075359	At summit of Baldy Mt.	https://lichenportal.org/portal/collections/individual/index.php?occid=270362
MSC	Imshaug, Henry A	Idaho	Latah	338.7	outside_boundary_exact	Idaho, Lemhi County	44.59964,-113.088354	MSC0076381	At summit of Baldy Mt.	https://lichenportal.org/portal/collections/individual/index.php?occid=271492
MSC	Imshaug, Henry A	Idaho	Latah	338.7	outside_boundary_exact	Idaho, Lemhi County	44.59964,-113.088354	MSC0076386	At summit of Baldy Mt.	https://lichenportal.org/portal/collections/individual/index.php?occid=271497
MSC	Imshaug, Henry A	Idaho	Benewah	133.2	outside_boundary_exact	Idaho, Idaho County	46.051894,-115.307239	MSC0058329	On north side of Selway RIver near Selway Falls	https://lichenportal.org/portal/collections/individual/index.php?occid=252488
ASU	H.A. Imshaug	Idaho	Benewah	1.97	outside_boundary_exact	Idaho, Shoshone County	47.300084,-116.303503	ASUL005411	St. Joe National Forest; Washington State College Ski Slope, T43N, R2W, Sec. 18	https://lichenportal.org/portal/collections/individual/index.php?occid=71724
MIN	Imshaug, H.	Idaho	Benewah	1.97	outside_boundary_exact	Idaho, Shoshone County	47.300084,-116.303503	838187	Washington State College Ski Slope; Saint Joe National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=393392
MSC	Imshaug, Henry A	Idaho	Benewah	1.97	outside_boundary_exact	Idaho, Shoshone County	47.300084,-116.303503	MSC0058324	Washington State College Ski Slope, St. Joe National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=252483
MSC	Imshaug, Henry A	Idaho	Custer	0.06	outside_boundary_exact	Idaho, Blaine County	43.671294,-113.912812	MSC0107019	Alpine Lichens of Western America; Bench in basin below Hyndman Pass, Pioneer Mts.	https://lichenportal.org/portal/collections/individual/index.php?occid=181788
MSC	Imshaug, Henry A	Idaho	Custer	0.06	outside_boundary_exact	Idaho, Blaine County	43.671294,-113.912812	MSC0107074	Alpine Lichens of Western America; Hyndamn Pass, Pioneer Mts.	https://lichenportal.org/portal/collections/individual/index.php?occid=181823
MSC	Imshaug, Henry A	Idaho	Boundary	0.04	outside_boundary_exact	Idaho, Bonner County	48.500201,-116.751313	MSC0074744	At summit of Fischer Peak, Selkirk Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=269685
MSC	Imshaug, Henry A	Idaho	Boundary	0.04	outside_boundary_exact	Idaho, Bonner County	48.500201,-116.751313	MSC0075501	At summit of Fischer Peak, Selkirk Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=270521
