institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
UCR(temp)	James Lendemer	Arkansas	Pope	156.35	outside_boundary_exact	Arkansas, Ouachita County	33.719167,-93.058056	SBBG012097L	Ozark National Forest, Kings Bluff, south of AR #16, 6 mi. E of AR #7, between Sand Gap and Ben Hur.	https://lichenportal.org/portal/collections/individual/index.php?occid=2593938
WIS	James C Lendemer	Arkansas	Stone	79.13	outside_boundary_exact	Arkansas, Lonoke County	35,-92	WIS-L-0009323	Hell Creek Natural Area, 3.5 miles N/NE of Mountain View	https://lichenportal.org/portal/collections/individual/index.php?occid=2407154
NY	J. C. Lendemer	Arkansas	Perry Co.	2.2	outside_boundary_exact	Arkansas, Yell County	34.87,-93.33	1218332	Ouachita National Forest, vicinity of Goat Bluff along north side of South Fourche LaFave River, E of AR 7, ca. 1.2 miles southeast of Hollis	https://lichenportal.org/portal/collections/individual/index.php?occid=884912
NY	J. C. Lendemer	Arkansas	Perry Co.	2.2	outside_boundary_exact	Arkansas, Yell County	34.87,-93.33	1218308	Ouachita National Forest, vicinity of Goat Bluff along north side of South Fourche LaFave River, E of AR 7, ca. 1.2 miles southeast of Hollis	https://lichenportal.org/portal/collections/individual/index.php?occid=884980
NY	J. C. Lendemer	Arkansas	Perry Co.	2.2	outside_boundary_exact	Arkansas, Yell County	34.87,-93.33	1218336	Ouachita National Forest, vicinity of Goat Bluff along north side of South Fourche LaFave River, E of AR 7, ca. 1.2 miles southeast of Hollis	https://lichenportal.org/portal/collections/individual/index.php?occid=885029
NY	J. C. Lendemer	Arkansas	Perry Co.	2.2	outside_boundary_exact	Arkansas, Yell County	34.87,-93.33	1218367	Ouachita National Forest, vicinity of Goat Bluff along north side of South Fourche LaFave River, E of AR 7, ca. 1.2 miles southeast of Hollis	https://lichenportal.org/portal/collections/individual/index.php?occid=885051
NY	J. C. Lendemer	Arkansas	Perry Co.	2.2	outside_boundary_exact	Arkansas, Yell County	34.87,-93.33	1218357	Ouachita National Forest, vicinity of Goat Bluff along north side of South Fourche LaFave River, E of AR 7, ca. 1.2 miles southeast of Hollis	https://lichenportal.org/portal/collections/individual/index.php?occid=885044
NY	J. C. Lendemer	Arkansas	Perry Co.	2.2	outside_boundary_exact	Arkansas, Yell County	34.87,-93.33	1218335	Ouachita National Forest, vicinity of Goat Bluff along north side of South Fourche LaFave River, E of AR 7, ca. 1.2 miles southeast of Hollis	https://lichenportal.org/portal/collections/individual/index.php?occid=885028
NY	J. C. Lendemer	Arkansas	Perry Co.	2.2	outside_boundary_exact	Arkansas, Yell County	34.87,-93.33	1218360	Ouachita National Forest, vicinity of Goat Bluff along north side of South Fourche LaFave River, E of AR 7, ca. 1.2 miles southeast of Hollis	https://lichenportal.org/portal/collections/individual/index.php?occid=885046
NY	J. C. Lendemer	Arkansas	Perry Co.	2.2	outside_boundary_exact	Arkansas, Yell County	34.87,-93.33	1218312	Ouachita National Forest, vicinity of Goat Bluff along north side of South Fourche LaFave River, E of AR 7, ca. 1.2 miles southeast of Hollis	https://lichenportal.org/portal/collections/individual/index.php?occid=884991
