institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
PH	James C. Lendemer	Georgia	Early	3149.92	outside_boundary_exact	not_found_in_US	1.02278,-85.08139	PH00106573	Williams Bluff Preserve, ~3 miles west of Cedar Springs, along tributary to the Chattahoochee River, Gordon Quad	https://lichenportal.org/portal/collections/individual/index.php?occid=1777022
SBBG	J. Lendemer	Georgia	Camden	772.12	outside_boundary_exact	North Carolina, Currituck County	36.5375,-76.291667	NA	Dismal Swamp St Park; East side of South Martha Washington Ditch, 0.25 miles north intersedction with Kim Saunders Ditch.	https://lichenportal.org/portal/collections/individual/index.php?occid=1315644
SBBG	James C. Lendemer	Georgia	Emanuel	259.94	outside_boundary_exact	Alabama, Lee County	32.602778,-85.429167	SBBG009466L	Ohoopee Dunes Natural Alrea; McLeod Bridge Tract, old upaved road 0.5 miles west of intersection of McLeod Bridge Rd. and Old McLeod Bridge Rd.. east shore of Ohoopee River.	https://lichenportal.org/portal/collections/individual/index.php?occid=1315633
DUKE	Lendemer, James, Colin	Georgia	Tattnall Co.	71.2	outside_boundary_exact	Georgia, Chatham County	31.8666667,-81.0361111	156239	Big Hammock Natural Area, ca. 1 mi E of junction of CR 441 and GA 121/144/169	https://lichenportal.org/portal/collections/individual/index.php?occid=1859631
NY	J. C. Lendemer	Georgia	Fannin Co.	35.48	outside_boundary_exact	Georgia, Cherokee County	34.29831,-84.29831	04181524	Chattahoochee National Forest, S slopes of Green Mountain just E of Deep Gap and Aska Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3586394
NY	J. C. Lendemer	Georgia	Fannin Co.	35.48	outside_boundary_exact	Georgia, Cherokee County	34.29831,-84.29831	04181515	Chattahoochee National Forest, S slopes of Green Mountain just E of Deep Gap and Aska Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3586385
NY	J. C. Lendemer	Georgia	Fannin Co.	35.48	outside_boundary_exact	Georgia, Cherokee County	34.29831,-84.29831	04181555	Chattahoochee National Forest, S slopes of Green Mountain just E of Deep Gap and Aska Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3586425
NY	J. C. Lendemer	Georgia	Fannin Co.	35.48	outside_boundary_exact	Georgia, Cherokee County	34.29831,-84.29831	04181493	Chattahoochee National Forest, S slopes of Green Mountain just E of Deep Gap and Aska Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3586363
NY	J. C. Lendemer	Georgia	Fannin Co.	35.48	outside_boundary_exact	Georgia, Cherokee County	34.29831,-84.29831	04181495	Chattahoochee National Forest, S slopes of Green Mountain just E of Deep Gap and Aska Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3586365
NY	J. C. Lendemer	Georgia	Fannin Co.	35.48	outside_boundary_exact	Georgia, Cherokee County	34.29831,-84.29831	04181491	Chattahoochee National Forest, S slopes of Green Mountain just E of Deep Gap and Aska Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3586361
NY	J. C. Lendemer	Georgia	Fannin Co.	35.48	outside_boundary_exact	Georgia, Cherokee County	34.29831,-84.29831	04181517	Chattahoochee National Forest, S slopes of Green Mountain just E of Deep Gap and Aska Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3586387
