institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
SRP	B. McCune	California	Lake	1077.51	outside_boundary_exact	not_found_in_US	49.266667,-122.6	SRP-L-0001898	Elk Mountain area, Coast Range	https://lichenportal.org/portal/collections/individual/index.php?occid=1445651
SRP	B. McCune	California	Lake	1077.51	outside_boundary_exact	not_found_in_US	49.266667,-122.6	SRP-L-0004133	Sled Ridge, Elk Mountain area, Coast Range	https://lichenportal.org/portal/collections/individual/index.php?occid=1129488
SRP	B. McCune	California	Lake	1077.51	outside_boundary_exact	not_found_in_US	49.266667,-122.6	SRP-L-0004992	Elk Mountain, Coast Range; 11 km N of Upper Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=1134645
OSC	Bruce McCune	California	Siskiyou	315.49	outside_boundary_exact	Oregon, Marion County	44.83333333,-122.6333333	71307	Tree of Heaven Campground on Klamath River	https://lichenportal.org/portal/collections/individual/index.php?occid=2230902
SRP	B. McCune	California	Siskiyou	315.49	outside_boundary_exact	Oregon, Marion County	44.833333,-122.633333	SRP-L-0003025	above Tree of Heaven Campground on Klamath River	https://lichenportal.org/portal/collections/individual/index.php?occid=1105853
OSC	Bruce McCune	California	Siskiyou	315.49	outside_boundary_exact	Oregon, Marion County	44.83333333,-122.6333333	71307	Tree of Heaven Campground on Klamath River	https://lichenportal.org/portal/collections/individual/index.php?occid=2230902
OSC	Bruce McCune	California	Siskiyou	97.05	outside_boundary_exact	Oregon, Douglas County	42.86666667,-123.6011111	144520	Private Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=2227330
OSC	Bruce McCune	California	Siskiyou	97.05	outside_boundary_exact	Oregon, Douglas County	42.86666667,-123.6011111	144520	Private Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=2227330
OSC	Bruce McCune	California	Siskiyou	4.9	outside_boundary_exact	Oregon, Jackson County	42.04973,-122.6025	OSC-M-051214	Near Siskiyou Summit along Old Highway 99S	https://lichenportal.org/portal/collections/individual/index.php?occid=4938930
OSC	Bruce McCune	California	Siskiyou	4.9	outside_boundary_exact	Oregon, Jackson County	42.04973,-122.6025	OSC-M-051214	Near Siskiyou Summit along Old Highway 99S	https://lichenportal.org/portal/collections/individual/index.php?occid=4938930
