institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
OSC	Bruce McCune	Colorado	Jefferson	1434.6	outside_boundary_exact	Oregon, Jefferson County	44.4,-121.8	169550	Above Link Lake, east slope of Cascade Range	https://lichenportal.org/portal/collections/individual/index.php?occid=4420249
OSC	Bruce McCune	Colorado	Jefferson	1434.6	outside_boundary_exact	Oregon, Jefferson County	44.4,-121.8	169563	Above Link Lake, east slope of Cascade Range	https://lichenportal.org/portal/collections/individual/index.php?occid=4420262
OSC	Bruce McCune	Colorado	Jefferson	1434.6	outside_boundary_exact	Oregon, Jefferson County	44.4,-121.8	169550	Above Link Lake, east slope of Cascade Range	https://lichenportal.org/portal/collections/individual/index.php?occid=4420249
OSC	Bruce McCune	Colorado	Jefferson	1434.6	outside_boundary_exact	Oregon, Jefferson County	44.4,-121.8	169563	Above Link Lake, east slope of Cascade Range	https://lichenportal.org/portal/collections/individual/index.php?occid=4420262
OSC	Bruce McCune	Colorado	Jackson	1331.92	outside_boundary_exact	Oregon, Jackson County	42.4686,-122.8916	OSC-M-050648	Top of Upper Table Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=4788120
OSC	Bruce McCune	Colorado	Jackson	1331.92	outside_boundary_exact	Oregon, Jackson County	42.4686,-122.8916	OSC-M-050648	Top of Upper Table Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=4788120
OSC	Ann DeBolt; Bruce McCune, Roger Rosentreter	Colorado	Grand	628.14	outside_boundary_exact	Montana, Rosebud County	46.1,-106.4166667	134949	6 km NW of Kremmling on Highway 40.	https://lichenportal.org/portal/collections/individual/index.php?occid=4413551
OSC	Ann DeBolt; Bruce McCune, Roger Rosentreter	Colorado	Grand	628.14	outside_boundary_exact	Montana, Rosebud County	46.1,-106.4166667	134949	6 km NW of Kremmling on Highway 40.	https://lichenportal.org/portal/collections/individual/index.php?occid=4413551
OSC	Ann DeBolt; Bruce McCune, Roger Rosentreter	Colorado	Routt	14.42	outside_boundary_exact	Colorado, Grand County	40.3182,-106.4612	136842	Buffalo Pass Road	https://lichenportal.org/portal/collections/individual/index.php?occid=4412733
OSC	Ann DeBolt; Bruce McCune, Roger Rosentreter	Colorado	Routt	14.42	outside_boundary_exact	Colorado, Grand County	40.3182,-106.4612	136842	Buffalo Pass Road	https://lichenportal.org/portal/collections/individual/index.php?occid=4412733
OSC	Ann DeBolt; Bruce McCune, Roger Rosentreter	Colorado	Jefferson	1.57	outside_boundary_exact	Colorado, Douglas County	39.416,-105.1222	137596	Matthews/Winters Park	https://lichenportal.org/portal/collections/individual/index.php?occid=4413949
OSC	Ann DeBolt; Bruce McCune, Roger Rosentreter	Colorado	Jefferson	1.57	outside_boundary_exact	Colorado, Douglas County	39.416,-105.1222	137596	Matthews/Winters Park	https://lichenportal.org/portal/collections/individual/index.php?occid=4413949
OSC	Bruce McCune	Colorado	Clear Creek	0.05	outside_boundary_exact	Colorado, Clear Creek County	39.79544,-105.764	162926	near summit of Colorado Mines Peak above Berthoud Pass	https://lichenportal.org/portal/collections/individual/index.php?occid=4416857
OSC	Bruce McCune	Colorado	Clear Creek	0.05	outside_boundary_exact	Colorado, Clear Creek County	39.79544,-105.764	162926	near summit of Colorado Mines Peak above Berthoud Pass	https://lichenportal.org/portal/collections/individual/index.php?occid=4416857
