institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
OSC	Bruce McCune	Idaho	Owyhee	9466.08	outside_boundary_exact	not_found_in_US	42.59002,116.99007	OSC-M-048018	North Fork Owyhee River on Juniper Mountain Road, waypoint 270	https://lichenportal.org/portal/collections/individual/index.php?occid=5829109
OSC	Bruce McCune	Idaho	Owyhee	9466.08	outside_boundary_exact	not_found_in_US	42.59002,116.99007	OSC-M-048018	North Fork Owyhee River on Juniper Mountain Road, waypoint 270	https://lichenportal.org/portal/collections/individual/index.php?occid=5829109
MONTU	Bruce McCune	Idaho	Kootenai	8862.96	outside_boundary_exact	not_found_in_US	47.5776,116.4342	MONTU00882	East Canyon Road next to I90 Fourth of July Canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=5786012
DUKE	McCune, Bruce	Idaho	Nez Perce Co.	201.27	outside_boundary_exact	Idaho, Bonner County	48.4466667,-116.8416667	225247	N side of Clearwater River opposite N Lapwai, 15 km E of Lewiston	https://lichenportal.org/portal/collections/individual/index.php?occid=1864632
WSCO	B. McCune	Idaho	Nez Perce Co.	201.27	outside_boundary_exact	Idaho, Bonner County	48.4466667,-116.8416667	WSCO013128	N side of Clearwater River opposite N Lapwai, 15 km E of Lewiston	https://lichenportal.org/portal/collections/individual/index.php?occid=5648125
SRP	B. McCune	Idaho	Idaho	201.11	outside_boundary_exact	Idaho, Camas County	43.3926,-114.7393	SRP-L-0006708	above campsite near Upper Wind Lake, southwest of Grave Park, Bitterroot Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1128352
ASU	B. McCune	Idaho	Latah	179.78	outside_boundary_exact	Idaho, Adams County	44.925,-116.65	ASUL017689	low benches along Palouse River in and near Laird Park Campground, 6 km NE of Harvard	https://lichenportal.org/portal/collections/individual/index.php?occid=81733
ASU	B. McCune	Idaho	Latah	177.92	outside_boundary_exact	Idaho, Adams County	44.9416667,-116.65	NA	along Palouse River in and near Laird Park Campground 6 km NE of Harvard	https://lichenportal.org/portal/collections/individual/index.php?occid=68607
DUKE	McCune, Bruce; NW Lichen Guild	Idaho	Latah Co.	177.92	outside_boundary_exact	Idaho, Adams County	44.9416667,-116.65	13842	Low benches along Palouse River in and near Laird Park Campground, 6 km NE of Harvard	https://lichenportal.org/portal/collections/individual/index.php?occid=1838598
OSC	Bruce McCune	Idaho	Latah	177.92	outside_boundary_exact	Idaho, Adams County	44.94167,-116.65	OSC-M-051468	Laird Park Campground, 6 km NE of Harvard, near Palouse River	https://lichenportal.org/portal/collections/individual/index.php?occid=5368784
OSC	Bruce McCune	Idaho	Latah	177.92	outside_boundary_exact	Idaho, Adams County	44.94167,-116.65	OSC-M-051469	Laird Park Campground, 6 km NE of Harvard, near Palouse River	https://lichenportal.org/portal/collections/individual/index.php?occid=5368785
OSC	Bruce McCune	Idaho	Latah	177.92	outside_boundary_exact	Idaho, Adams County	44.941667,-116.65	OSC-M-049484	Along Palouse River in and near Laird Park Campground, 6 km NE of Harvard.	https://lichenportal.org/portal/collections/individual/index.php?occid=5774379
OSC	Bruce McCune	Idaho	Latah	177.92	outside_boundary_exact	Idaho, Adams County	44.94167,-116.65	169717	Laird Park Campground, 6 km NE of Harvard, near Palouse River	https://lichenportal.org/portal/collections/individual/index.php?occid=4420373
OSC	Bruce McCune	Idaho	Latah	177.92	outside_boundary_exact	Idaho, Adams County	44.94166667,-116.65	134981	Laird Park Campground	https://lichenportal.org/portal/collections/individual/index.php?occid=2218792
OSC	Bruce McCune	Idaho	Latah	177.92	outside_boundary_exact	Idaho, Adams County	44.94166667,-116.65	136769	Laird Park Campground, 6 km NE of Harvard.	https://lichenportal.org/portal/collections/individual/index.php?occid=2223454
OSC	Bruce McCune	Idaho	Latah	177.92	outside_boundary_exact	Idaho, Adams County	44.94166667,-116.65	92944	Palouse River in and near Laird Park Campground, 6 km NE of Harvard	https://lichenportal.org/portal/collections/individual/index.php?occid=2229252
OSC	Bruce McCune	Idaho	Latah	177.92	outside_boundary_exact	Idaho, Adams County	44.94166667,-116.65	139386	Palouse River in and near Laird Park Campground, 6 km NE of Harvard	https://lichenportal.org/portal/collections/individual/index.php?occid=2229970
OSC	Bruce McCune	Idaho	Latah	177.92	outside_boundary_exact	Idaho, Adams County	44.94167,-116.65	OSC-M-051468	Laird Park Campground, 6 km NE of Harvard, near Palouse River	https://lichenportal.org/portal/collections/individual/index.php?occid=5368784
OSC	Bruce McCune	Idaho	Latah	177.92	outside_boundary_exact	Idaho, Adams County	44.94167,-116.65	OSC-M-051469	Laird Park Campground, 6 km NE of Harvard, near Palouse River	https://lichenportal.org/portal/collections/individual/index.php?occid=5368785
OSC	Bruce McCune	Idaho	Latah	177.92	outside_boundary_exact	Idaho, Adams County	44.941667,-116.65	OSC-M-049484	Along Palouse River in and near Laird Park Campground, 6 km NE of Harvard.	https://lichenportal.org/portal/collections/individual/index.php?occid=5774379
OSC	Bruce McCune	Idaho	Latah	177.92	outside_boundary_exact	Idaho, Adams County	44.94167,-116.65	169717	Laird Park Campground, 6 km NE of Harvard, near Palouse River	https://lichenportal.org/portal/collections/individual/index.php?occid=4420373
OSC	Bruce McCune	Idaho	Latah	177.92	outside_boundary_exact	Idaho, Adams County	44.94166667,-116.65	134981	Laird Park Campground	https://lichenportal.org/portal/collections/individual/index.php?occid=2218792
OSC	Bruce McCune	Idaho	Latah	177.92	outside_boundary_exact	Idaho, Adams County	44.94166667,-116.65	136769	Laird Park Campground, 6 km NE of Harvard.	https://lichenportal.org/portal/collections/individual/index.php?occid=2223454
OSC	Bruce McCune	Idaho	Latah	177.92	outside_boundary_exact	Idaho, Adams County	44.94166667,-116.65	92944	Palouse River in and near Laird Park Campground, 6 km NE of Harvard	https://lichenportal.org/portal/collections/individual/index.php?occid=2229252
OSC	Bruce McCune	Idaho	Latah	177.92	outside_boundary_exact	Idaho, Adams County	44.94166667,-116.65	139386	Palouse River in and near Laird Park Campground, 6 km NE of Harvard	https://lichenportal.org/portal/collections/individual/index.php?occid=2229970
