institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MONTU	B. McCune	Montana	Mccone	10040.19	outside_boundary_exact	not_found_in_US	47.56614,106.21702	MONTU00198	Nelson Creek Recreation Area, near southeast end of Fort Peck Reservoir	https://lichenportal.org/portal/collections/individual/index.php?occid=5686041
MONTU	Bruce McCune	Montana	Garfield	9957.94	outside_boundary_exact	not_found_in_US	46.98562,107.8443	MONTU00539	Noncalcareous shale of Carlile Formation, BLM land. Musselshell River breaks east of Mosby, east side of river, just south of Montana Highway 200 on dirt road beyond gate	https://lichenportal.org/portal/collections/individual/index.php?occid=5772531
MONTU	Bruce McCune	Montana	Garfield	9957.94	outside_boundary_exact	not_found_in_US	46.98562,107.8443	MONTU00665	Musselshell River breaks east of Mosby, east side of river, just south of Montana Highway 200 on dirt road and beyond gate	https://lichenportal.org/portal/collections/individual/index.php?occid=5780750
MONTU	Bruce McCune	Montana	Gallatin	9887.6	outside_boundary_exact	not_found_in_US	45,110	MONTU00064	9 km W of Bozeman pass on Insterstate-90, 1 km E of Trail Creek Rd. exit, N Side of freeway, S-facing slope.	https://lichenportal.org/portal/collections/individual/index.php?occid=5658742
MONTU	Bruce McCune	Montana	Gallatin	9800.72	outside_boundary_exact	not_found_in_US	45.4177,110.9571	MONTU00883	West Fork Middle Creek, Gallatin Range, Hyalite Canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=5786011
OSC	Bruce McCune	Montana	Ravalli	9355.88	outside_boundary_exact	not_found_in_US	46.3,113.8733	143963	Summit of Palisade Mountain, Sapphire Range.	https://lichenportal.org/portal/collections/individual/index.php?occid=2227068
OSC	Bruce McCune	Montana	Ravalli	9355.88	outside_boundary_exact	not_found_in_US	46.3,113.8733	143963	Summit of Palisade Mountain, Sapphire Range.	https://lichenportal.org/portal/collections/individual/index.php?occid=2227068
OSC	Bruce McCune	Montana	Missoula	9219.36	outside_boundary_exact	not_found_in_US	47.35213,113.73328	OSC-M-048030	East shore of Lindbergh Lake, Mission Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=5829126
OSC	Bruce McCune	Montana	Missoula	9219.36	outside_boundary_exact	not_found_in_US	47.35213,113.73328	OSC-M-048030	East shore of Lindbergh Lake, Mission Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=5829126
MONTU	Bruce McCune	Montana	Missoula	9219.36	outside_boundary_exact	not_found_in_US	47.35213,113.73328	MONTU01016	East shore of Lindbergh Lake, Mission Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=5787747
