institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MONTU	Bruce McCune	Oregon	Jackson	8793.79	outside_boundary_exact	not_found_in_US	42.0417,122.549	MONTU00997	Pilot Rock Road, near Cascade Crest Trail, Eastern Siskiyou Mountains, Cascacde-Siskiyou National Monument	https://lichenportal.org/portal/collections/individual/index.php?occid=5786643
OSC	Bruce McCune	Oregon	Jackson	8791.59	outside_boundary_exact	not_found_in_US	42.01157,122.6101	OSC-M-048015	Cathedral Cliffs, Soda Mountain Wilderness, near California border	https://lichenportal.org/portal/collections/individual/index.php?occid=5829106
OSC	Bruce McCune	Oregon	Jackson	8791.59	outside_boundary_exact	not_found_in_US	42.01157,122.6101	OSC-M-048015	Cathedral Cliffs, Soda Mountain Wilderness, near California border	https://lichenportal.org/portal/collections/individual/index.php?occid=5829106
MONTU	Bruce McCune	Oregon	Linn	8549.08	outside_boundary_exact	not_found_in_US	44.40051,122.12952	MONTU00983	Cone Peak Trail, Cascade Range	https://lichenportal.org/portal/collections/individual/index.php?occid=5786611
OSC	Bruce McCune	Oregon	Linn	8485.17	outside_boundary_exact	not_found_in_US	44.78,122.74157	OSC-M-048031	Kingston Prairie	https://lichenportal.org/portal/collections/individual/index.php?occid=5829127
OSC	Bruce McCune	Oregon	Linn	8485.17	outside_boundary_exact	not_found_in_US	44.78,122.74157	OSC-M-048031	Kingston Prairie	https://lichenportal.org/portal/collections/individual/index.php?occid=5829127
OSC	Bruce McCune	Oregon	Douglas	8367.28	outside_boundary_exact	not_found_in_US	43.083333,-12.55	OSC-M-049632	The Dell. 3 km S of town of Tenmile	https://lichenportal.org/portal/collections/individual/index.php?occid=5825317
OSC	Bruce McCune	Oregon	Douglas	8367.28	outside_boundary_exact	not_found_in_US	43.083333,-12.55	OSC-M-049632	The Dell. 3 km S of town of Tenmile	https://lichenportal.org/portal/collections/individual/index.php?occid=5825317
MONTU	Bruce McCune	Oregon	Polk	8362.79	outside_boundary_exact	not_found_in_US	44.8752,123.6315	MONTU00863	Fanno Meadows, TNC Meadow #2	https://lichenportal.org/portal/collections/individual/index.php?occid=5785108
MONTU	Bruce McCune	Oregon	Polk	8362.55	outside_boundary_exact	not_found_in_US	44.8794,123.6312	MONTU00955	Fanno Meadows, TNC Meadow #1	https://lichenportal.org/portal/collections/individual/index.php?occid=5786530
MONTU	Bruce McCune	Oregon	Lincoln	8336.68	outside_boundary_exact	not_found_in_US	44.5574,123.9916	MONTU00873	North side of Pooles Slough Extending South of Yaquina Bay southeast of Newport	https://lichenportal.org/portal/collections/individual/index.php?occid=5785997
PH	Bruce McCune	Oregon	Douglas	1568.56	outside_boundary_exact	South Dakota, Oglala Lakota County	43.08333,-102.55	PH00095392	The Dell, 3 km south of town of Tenmile	https://lichenportal.org/portal/collections/individual/index.php?occid=1741691
