institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
BRY	Thomas H. Nash	Alaska	Aleutians West	6273.64	outside_boundary_exact	not_found_in_US	70.25,-57.333333	BRY-L-0010202	St Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1218723
USU	T.H. Nash III	Alaska	Anchorage	4023.49	outside_boundary_exact	Arizona, Gila County	34.245833,-110.8	UTC00277134	80 km ESE of Anchorage, valley bottom near Portage Glacier, W of Portage	https://lichenportal.org/portal/collections/individual/index.php?occid=2939785
US	T. H. Nash	Alaska	Petersburg C. A.	195.92	outside_boundary_reverse_partial	Alaska, Skagway County	59.42,-135.33	NA	Tongass Nat. Forest, 3 km SSW of Skagway, Lower Dewey Lake Trail, near Stargill's Landing	https://lichenportal.org/portal/collections/individual/index.php?occid=5542321
F	T. H. Nash, III	Alaska	Petersburg	67.36	outside_boundary_exact	Alaska, Wrangell County	56.011111,-132.0125	C0305534F	Tongass National Forest, ca. 15 km S of Petersburg	https://lichenportal.org/portal/collections/individual/index.php?occid=2938165
SRP	T. H. Nash III	Alaska	PPetersburg	67.36	outside_boundary_reverse_partial	Alaska, Wrangell County	56.011111,-132.0125	NA	Tongass National Forest, ca. 15 km S of Petersburg, Mitkof Island.	https://lichenportal.org/portal/collections/individual/index.php?occid=3353079
SBBG	T. H. Nash	Alaska	Petersburg Borough	67.36	outside_boundary_exact	Alaska, Wrangell County	56.011111,-132.0125	SBBG021476L	ca. 15 km S of Petersburg, Mitkof Island, Tongass Nat Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=150439
USU	T.H. Nash III	Alaska	Petersburg	67.36	outside_boundary_exact	Alaska, Wrangell County	56.011111,-132.0125	UTC00277123	Tongass National Forest, ca 15 km S of Petersburg, Mitkof Island	https://lichenportal.org/portal/collections/individual/index.php?occid=2939809
COLO	Thomas H. Nash III	Alaska	Petersburg	67.36	outside_boundary_exact	Alaska, Wrangell County	56.0111111,-132.0125	COLO-L-0022237	Tongass National Forest, ca 15 km S of Petersburg, Mitkof Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1661466
WIS	T.H. Nash III	Alaska	Petersburg	67.36	outside_boundary_exact	Alaska, Wrangell County	56.0111111,-132.0125	WIS-L-0050174	S of Petersburg, Mitkof Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1123818
WIS	T.H. Nash III	Alaska	Petersburg Borough	67.36	outside_boundary_exact	Alaska, Wrangell County	56.011111,-132.0125	WIS-L-0067947	Petersburg Borough, Tongass National Forest, c. 15 km S of Petersburg,  Mitkof Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1287802
ASU	T.H. Nash III	Alaska	Wrangell Petersburg	34.36	outside_boundary_first_word_match	not_found_in_US	56.9708333,-132.9166667	NA	Tongass National Forest; 5 km N of Petersburg, Sukoi Inlets	https://lichenportal.org/portal/collections/individual/index.php?occid=104501
WS	T.H. Nash III	Alaska	Wrangell Petersburg	34.36	outside_boundary_first_word_match	not_found_in_US	56.970833,-132.916667	398657	Tongass National Forest, 5 km N of Petersburg, Sukoi Inlets	https://lichenportal.org/portal/collections/individual/index.php?occid=5343171
ASU	T.H. Nash III	Alaska	Wrangell Petersburg	34.14	outside_boundary_first_word_match	not_found_in_US	56.9680556,-132.9166667	NA	Tongass National Forest; Sukoi Islets, ca. 5 km N of Petersburg	https://lichenportal.org/portal/collections/individual/index.php?occid=104945
DUKE	Nash III, Thomas H.	Alaska	Yukon Koyukuk	11.52	outside_boundary_similarity_0.6	Alaska, North Slope County	68.133333,-151.75	299148	Anaktuvuk Pass in the Endicott Mountains of the Brooks Range	https://lichenportal.org/portal/collections/individual/index.php?occid=1348385
DUKE	Nash III, Thomas H.	Alaska	Yukon Koyukuk	11.52	outside_boundary_similarity_0.6	Alaska, North Slope County	68.133333,-151.75	302349	Anaktuvuk Pass in the Endicott Mountains of the Brooks Range	https://lichenportal.org/portal/collections/individual/index.php?occid=1352273
DUKE	Nash III, Thomas, H.	Alaska	Yukon Koyukuk Co.	11.52	outside_boundary_similarity_0.6	Alaska, North Slope County	68.133333,-151.75	218751	Anaktuvuk Pass in the Endicott Mountains of the Brooks Range	https://lichenportal.org/portal/collections/individual/index.php?occid=1072074
DUKE	Nash III, Thomas, H.	Alaska	Yukon Koyukuk Co.	11.52	outside_boundary_similarity_0.6	Alaska, North Slope County	68.133333,-151.75	297088	Anaktuvuk Pass in the Endicott Mountains of the Brooks Range	https://lichenportal.org/portal/collections/individual/index.php?occid=1347336
ASU	T.H. Nash III	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.3333333,-170.25	NA	St. Paul Island in the Pribloff Islands, on hillside behind town of St. Paul	https://lichenportal.org/portal/collections/individual/index.php?occid=2687580
ASU	T.H. Nash III	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.3333333,-170.25	NA	St. Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=2689199
ASU	T.H. Nash III	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.3333333,-170.25	ASUL030370	St. Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=46447
ASU	T.H. Nash III	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.3333333,-170.25	NA	St. Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=46449
ASU	T.H. Nash III	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.3333333,-170.25	NA	St. Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=46450
ASU	T.H. Nash III	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.3333333,-170.25	NA	St. Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=46451
ASU	T.H. Nash III	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.3333333,-170.25	NA	St. Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=46452
ASU	T.H. Nash III	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.3333333,-170.25	NA	St. Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=46453
ASU	T.H. Nash III	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.3333333,-170.25	NA	St. Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=46454
ASU	T.H. Nash III	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.3333333,-170.25	NA	St. Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=46455
ASU	T.H. Nash III	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.3333333,-170.25	NA	St. Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=46457
ASU	T.H. Nash III	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.3333333,-170.25	NA	St. Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=46458
ASU	T.H. Nash III	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.3333333,-170.25	NA	St. Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=46459
ASU	T.H. Nash III	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.3333333,-170.25	NA	St. Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=46460
ASU	T.H. Nash III	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.3333333,-170.25	NA	St. Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=46461
ASU	T.H. Nash III	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.3333333,-170.25	ASUL035626	St. Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=46462
ASU	T.H. Nash III	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.3333333,-170.25	ASUL017962	St. Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=46463
ASU	T.H. Nash III	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.3333333,-170.25	ASUL017743	St. Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=46464
ASU	T.H. Nash III	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.3333333,-170.25	ASUL003995	St. Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=46466
ASU	T.H. Nash III	Alaska	Aleutians West	5.23	outside_boundary_exact	not_found_in_US	57.3333333,-170.25	NA	St. Paul Island	https://lichenportal.org/portal/collections/individual/index.php?occid=46468
