institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
ASU	T.H. Nash III	Louisiana	Natchitoches	284.43	outside_boundary_exact	Louisiana, St. Tammany County	30.4583333,-90	ASUL013145	Kisatchie National Forest, Bayou Cypre Overlook (1.6 km S of Longleaf Trail Vista) ca. 55 km WNW of Alexandria	https://lichenportal.org/portal/collections/individual/index.php?occid=121310
ASU	T.H. Nash III	Louisiana	Natchitoches	284.43	outside_boundary_exact	Louisiana, St. Tammany County	30.4583333,-90	ASUL013499	Kisatchie National Forest, Bayou Cypre Overlook (1.6 km S of Longleaf Trail Vista) ca. 55 km WNW of Alexandria	https://lichenportal.org/portal/collections/individual/index.php?occid=121311
ASU	T.H. Nash III	Louisiana	Natchitoches	284.43	outside_boundary_exact	Louisiana, St. Tammany County	30.4583333,-90	NA	Kisatchie National Forest, Bayou Cypre Overlook (1.6 km S of Longleaf Trail Vista) ca. 55 km WNW of Alexandria	https://lichenportal.org/portal/collections/individual/index.php?occid=121313
ASU	T.H. Nash III	Louisiana	Natchitoches	284.43	outside_boundary_exact	Louisiana, St. Tammany County	30.4583333,-90	NA	Kisatchie National Forest, Bayou Cypre Overlook (1.6 km S of Longleaf Trail Vista) ca. 55 km WNW of Alexandria	https://lichenportal.org/portal/collections/individual/index.php?occid=121314
ASU	T.H. Nash III	Louisiana	Natchitoches	284.43	outside_boundary_exact	Louisiana, St. Tammany County	30.4583333,-90	NA	Kisatchie National Forest, Bayou Cypre Overlook (1.6 km S of Longleaf Trail Vista) ca. 55 km WNW of Alexandria	https://lichenportal.org/portal/collections/individual/index.php?occid=121315
ASU	T.H. Nash III	Louisiana	Natchitoches	284.43	outside_boundary_exact	Louisiana, St. Tammany County	30.4583333,-90	NA	Kisatchie National Forest, Bayou Cypre Overlook (1.6 km S of Longleaf Trail Vista) ca. 55 km WNW of Alexandria	https://lichenportal.org/portal/collections/individual/index.php?occid=121316
ASU	T.H. Nash III	Louisiana	Natchitoches	284.43	outside_boundary_exact	Louisiana, St. Tammany County	30.4583333,-90	NA	Kisatchie National Forest, Bayou Cypre Overlook (1.6 km S of Longleaf Trail Vista) ca. 55 km WNW of Alexandria	https://lichenportal.org/portal/collections/individual/index.php?occid=121317
ASU	T.H. Nash III	Louisiana	Natchitoches	284.43	outside_boundary_exact	Louisiana, St. Tammany County	30.4583333,-90	NA	Kisatchie National Forest, Bayou Cypre Overlook (1.6 km S of Longleaf Trail Vista) ca. 55 km WNW of Alexandria	https://lichenportal.org/portal/collections/individual/index.php?occid=121318
ASU	T.H. Nash III	Louisiana	Natchitoches	284.43	outside_boundary_exact	Louisiana, St. Tammany County	30.4583333,-90	NA	Kisatchie National Forest, Bayou Cypre Overlook (1.6 km S of Longleaf Trail Vista) ca. 55 km WNW of Alexandria	https://lichenportal.org/portal/collections/individual/index.php?occid=121319
ASU	T.H. Nash III	Louisiana	Natchitoches	284.43	outside_boundary_exact	Louisiana, St. Tammany County	30.4583333,-90	NA	Kisatchie National Forest, Bayou Cypre Overlook (1.6 km S of Longleaf Trail Vista) ca. 55 km WNW of Alexandria	https://lichenportal.org/portal/collections/individual/index.php?occid=121320
ASU	T.H. Nash III	Louisiana	Natchitoches	284.43	outside_boundary_exact	Louisiana, St. Tammany County	30.4583333,-90	NA	Kisatchie National Forest, Bayou Cypre Overlook (1.6 km S of Longleaf Trail Vista) ca. 55 km WNW of Alexandria	https://lichenportal.org/portal/collections/individual/index.php?occid=121321
ASU	T.H. Nash III	Louisiana	Natchitoches	284.43	outside_boundary_exact	Louisiana, St. Tammany County	30.4583333,-90	NA	Kisatchie National Forest, Bayou Cypre Overlook (1.6 km S of Longleaf Trail Vista) ca. 55 km WNW of Alexandria	https://lichenportal.org/portal/collections/individual/index.php?occid=121322
ASU	T.H. Nash III	Louisiana	Natchitoches	284.43	outside_boundary_exact	Louisiana, St. Tammany County	30.4583333,-90	NA	Kisatchie National Forest, Bayou Cypre Overlook (1.6 km S of Longleaf Trail Vista) ca. 55 km WNW of Alexandria	https://lichenportal.org/portal/collections/individual/index.php?occid=121324
ASU	T.H. Nash III	Louisiana	Natchitoches	284.43	outside_boundary_exact	Louisiana, St. Tammany County	30.4583333,-90	ASUL011310	Kisatchie National Forest, Bayou Cypre Overlook (1.6 km S of Longleaf Trail Vista) ca. 55 km WNW of Alexandria	https://lichenportal.org/portal/collections/individual/index.php?occid=121325
ASU	T.H. Nash III	Louisiana	Natchitoches	284.43	outside_boundary_exact	Louisiana, St. Tammany County	30.4583333,-90	ASUL019496	Kisatchie National Forest, Bayou Cypre Overlook (1.6 km S of Longleaf Trail Vista) ca. 55 km WNW of Alexandria	https://lichenportal.org/portal/collections/individual/index.php?occid=121326
USU	T.H. Nash III	Louisiana	Natchitoches	284.43	outside_boundary_exact	Louisiana, St. Tammany County	30.458333,-90	UTC00277276	Kisatchie National Forest, Bayou Cypre Overlook (1.6 km S of Longleaf Trail Vista) ca. 55 km WNW of Alexandria	https://lichenportal.org/portal/collections/individual/index.php?occid=2940061
WS	T.H. Nash III	Louisiana	Natchitoches	284.43	outside_boundary_exact	Louisiana, St. Tammany County	30.458333,-90	398647	Kisatchie National Forest, Bayou Cypre Overlook (1.6 km S of Longleaf Trail Vista) ca. 55 km WNW of Alexandria	https://lichenportal.org/portal/collections/individual/index.php?occid=5348530
