institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
ASU	T.H. Nash III	Michigan	Keweenaw	41.91	outside_boundary_exact	Michigan, Houghton County	46.95,-88.7666667	ASUL048825	Mount Franklin, at the center of Isle Royale	https://lichenportal.org/portal/collections/individual/index.php?occid=5679187
ASU	T.H. Nash III	Michigan	Keweenaw	41.91	outside_boundary_exact	Michigan, Houghton County	46.95,-88.7666667	ASUL011618	top of Mount Franklin, N facing cliff-side	https://lichenportal.org/portal/collections/individual/index.php?occid=75757
ASU	T.H. Nash III	Michigan	Keweenaw	41.91	outside_boundary_exact	Michigan, Houghton County	46.95,-88.7666667	ASUL011620	top of Mount Franklin, N facing cliff-side	https://lichenportal.org/portal/collections/individual/index.php?occid=75758
ASU	T.H. Nash III	Michigan	Keweenaw	41.91	outside_boundary_exact	Michigan, Houghton County	46.95,-88.7666667	ASUL034298	Mount Franklin, north-facing cliff	https://lichenportal.org/portal/collections/individual/index.php?occid=76790
ASU	T.H. Nash III	Michigan	Keweenaw	41.91	outside_boundary_exact	Michigan, Houghton County	46.95,-88.7666667	ASUL034299	Mount Franklin, north-facing cliff	https://lichenportal.org/portal/collections/individual/index.php?occid=76791
ASU	T.H. Nash III	Michigan	Keweenaw	41.91	outside_boundary_exact	Michigan, Houghton County	46.95,-88.7666667	ASUL034301	Mount Franklin, north-facing cliff	https://lichenportal.org/portal/collections/individual/index.php?occid=76792
ASU	T.H. Nash III	Michigan	Keweenaw	41.91	outside_boundary_exact	Michigan, Houghton County	46.95,-88.7666667	ASUL034305	swamp on trail to Mount Franklin	https://lichenportal.org/portal/collections/individual/index.php?occid=76794
ASU	T.H. Nash III	Michigan	Keweenaw	41.91	outside_boundary_exact	Michigan, Houghton County	46.95,-88.7666667	NA	top of Mount Franklin, at the center of Isle Royale	https://lichenportal.org/portal/collections/individual/index.php?occid=81385
ASU	T.H. Nash III	Michigan	Keweenaw	41.91	outside_boundary_exact	Michigan, Houghton County	46.95,-88.7666667	NA	Mount Franklin, at the center of Isle Royale	https://lichenportal.org/portal/collections/individual/index.php?occid=90491
ASU	T.H. Nash III	Michigan	Keweenaw	41.91	outside_boundary_exact	Michigan, Houghton County	46.95,-88.7666667	NA	swamp on trail to Mount Franklin	https://lichenportal.org/portal/collections/individual/index.php?occid=96940
