institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
ASU	T.H. Nash III	Minnesota	Clearwater	13.69	outside_boundary_exact	Minnesota, Hubbard County	47.20044,-94.98968	NA	Lake George	https://lichenportal.org/portal/collections/individual/index.php?occid=62196
ASU	T.H. Nash III	Minnesota	Clearwater	12.59	outside_boundary_exact	Minnesota, Hubbard County	47.200511,-95.00421	NA	.8 km W of Lake George	https://lichenportal.org/portal/collections/individual/index.php?occid=101324
ASU	T.H. Nash III	Minnesota	Clearwater	0.94	outside_boundary_exact	Minnesota, Hubbard County	47.234081,-95.156989	ASUL034395	LaSalle Bog, Itasca State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=35566
ASU	T.H. Nash III	Minnesota	Clearwater	0.94	outside_boundary_exact	Minnesota, Hubbard County	47.234081,-95.156989	NA	LaSalle Bog, Itasca State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=35568
ASU	T.H. Nash III	Minnesota	Clearwater	0.94	outside_boundary_exact	Minnesota, Hubbard County	47.234081,-95.156989	ASUL015198	LaSalle Bog, Itasca State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=35569
ASU	T.H. Nash III	Minnesota	Clearwater	0.94	outside_boundary_exact	Minnesota, Hubbard County	47.234081,-95.156989	ASUL024630	LaSalle Bog, Itasca State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=35570
ASU	T.H. Nash III	Minnesota	Clearwater	0.94	outside_boundary_exact	Minnesota, Hubbard County	47.234081,-95.156989	NA	LaSalle Bog, Itasca State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=35571
ASU	T.H. Nash III	Minnesota	Clearwater	0.94	outside_boundary_exact	Minnesota, Hubbard County	47.234081,-95.156989	ASUL046304	LaSalle Bog, Itasca State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=49932
ASU	T.H. Nash III	Minnesota	Clearwater	0.94	outside_boundary_exact	Minnesota, Hubbard County	47.234081,-95.156989	NA	LaSalle Bog, Itasca State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=62689
ASU	T.H. Nash III	Minnesota	Clearwater	0.94	outside_boundary_exact	Minnesota, Hubbard County	47.234081,-95.156989	NA	LaSalle Bog, Itasca State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=62789
ASU	T.H. Nash III	Minnesota	Clearwater	0.94	outside_boundary_exact	Minnesota, Hubbard County	47.234081,-95.156989	NA	LaSalle Bog, Itasca State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=62981
ASU	T.H. Nash III	Minnesota	Clearwater	0.94	outside_boundary_exact	Minnesota, Hubbard County	47.234081,-95.156989	ASUL033931	LaSalle Bog, Itasca State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=63077
ASU	T.H. Nash III	Minnesota	Clearwater	0.61	outside_boundary_exact	Minnesota, Hubbard County	47.243675,-95.161452	ASUL011699	LaSalle Bog, 0.8 km N of Itasca State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=49952
ASU	T.H. Nash III	Minnesota	Clearwater	0.61	outside_boundary_exact	Minnesota, Hubbard County	47.243675,-95.161452	ASUL001267	LaSalle Bog, 0.8 km N of Itasca State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=49954
