institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MIN	Nash, T.	New Mexico	San Juan	217.54	outside_boundary_exact	New Mexico, San Miguel County	35.6,-105.25	720016	Las Vegas, 1 Mi W of	https://lichenportal.org/portal/collections/individual/index.php?occid=342515
ASU	T.H. Nash III	New Mexico	Valencia	46.17	outside_boundary_exact	New Mexico, Cibola County	35.05,-107.7	ASUL030558	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41855
ASU	T.H. Nash III	New Mexico	Valencia	46.17	outside_boundary_exact	New Mexico, Cibola County	35.05,-107.7	ASUL001597	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41856
ASU	T.H. Nash III	New Mexico	Valencia	46.17	outside_boundary_exact	New Mexico, Cibola County	35.05,-107.7	ASUL030246	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41857
ASU	T.H. Nash III	New Mexico	Valencia	46.17	outside_boundary_exact	New Mexico, Cibola County	35.05,-107.7	NA	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41858
ASU	T.H. Nash III	New Mexico	Valencia	46.17	outside_boundary_exact	New Mexico, Cibola County	35.05,-107.7	NA	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41860
ASU	T.H. Nash III	New Mexico	Valencia	46.17	outside_boundary_exact	New Mexico, Cibola County	35.05,-107.7	NA	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41861
ASU	T.H. Nash III	New Mexico	Valencia	46.17	outside_boundary_exact	New Mexico, Cibola County	35.05,-107.7	ASUL008615	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41862
ASU	T.H. Nash III	New Mexico	Valencia	46.17	outside_boundary_exact	New Mexico, Cibola County	35.05,-107.7	ASUL002711	Acoma Indian Reservation, rest area along I-40, ca. 16 km [10 mi] SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41863
ASU	T.H. Nash III	New Mexico	Valencia	46.17	outside_boundary_exact	New Mexico, Cibola County	35.05,-107.7	ASUL002904	Acoma Indian Reservation, rest area along I-40, ca. 16 km SE of Grants	https://lichenportal.org/portal/collections/individual/index.php?occid=41864
