institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
ASU	T.H. Nash III	Pennsylvania	Carbon	16.26	outside_boundary_exact	Pennsylvania, Schuylkill County	40.6666667,-75.95	ASUL009818	Dan's Pulpit along Blue Mountain Ridge, 32 km W of Palmerton	https://lichenportal.org/portal/collections/individual/index.php?occid=49801
ASU	T.H. Nash III	Pennsylvania	Schuylkill	7.56	outside_boundary_exact	Pennsylvania, Lehigh County	40.6666667,-75.7333333	NA	14 km E of Dan's Pulpit	https://lichenportal.org/portal/collections/individual/index.php?occid=49808
ASU	T.H. Nash III	Pennsylvania	Monroe	2.12	outside_boundary_exact	New Jersey, Warren County	41.021667,-75.018611	ASUL000584	Delaware Water Gap, N slope	https://lichenportal.org/portal/collections/individual/index.php?occid=94058
ASU	T.H. Nash III	Pennsylvania	Schuylkill	2.08	outside_boundary_exact	Pennsylvania, Lehigh County	40.6666667,-75.8666667	NA	8 km E of Dan's Pulpit, N-side	https://lichenportal.org/portal/collections/individual/index.php?occid=49793
ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	Pennsylvania, Forest County	41.6166667,-79.1666667	ASUL013467	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52226
ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	Pennsylvania, Forest County	41.6166667,-79.1666667	NA	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52227
ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	Pennsylvania, Forest County	41.6166667,-79.1666667	NA	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52228
ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	Pennsylvania, Forest County	41.6166667,-79.1666667	ASUL015188	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52229
ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	Pennsylvania, Forest County	41.6166667,-79.1666667	NA	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52230
ASU	T.H. Nash III	Pennsylvania	Warren	1.12	outside_boundary_exact	Pennsylvania, Forest County	41.6166667,-79.1666667	NA	Border of Warren and Forest Counties, Minister Creek Campground, 10 km west of Lynch along state route 666	https://lichenportal.org/portal/collections/individual/index.php?occid=52231
