institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
WTU	Aven Nelson, Ruth A. Nelson	Alaska	Haines	878.52	outside_boundary_exact	Alaska, Matanuska-Susitna County	62.614722,-150.011944	WTU-L-010243	Fourth Judicial Division, Curry.	https://lichenportal.org/portal/collections/individual/index.php?occid=1258044
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162279	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415718
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162294	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby	https://lichenportal.org/portal/collections/individual/index.php?occid=4415730
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162466	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415784
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162510	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415828
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162619	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415925
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162672	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415978
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162673	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415979
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162279	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415718
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162294	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby	https://lichenportal.org/portal/collections/individual/index.php?occid=4415730
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162466	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415784
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162510	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415828
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162619	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415925
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162672	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415978
OSC	Peter R. Nelson	Alaska	North Slope	102.81	outside_boundary_exact	Alaska, Northwest Arctic County	66.84723718,-155.6470366	162673	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra, shrubs and occasional spruce trees	https://lichenportal.org/portal/collections/individual/index.php?occid=4415979
OSC	Peter R. Nelson	Alaska	North Slope	101.91	outside_boundary_exact	Alaska, Northwest Arctic County	66.85852138,-155.6564498	162295	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra	https://lichenportal.org/portal/collections/individual/index.php?occid=4415731
OSC	Peter R. Nelson	Alaska	North Slope	101.91	outside_boundary_exact	Alaska, Northwest Arctic County	66.85852138,-155.6564498	162525	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby	https://lichenportal.org/portal/collections/individual/index.php?occid=4415843
OSC	Peter R. Nelson	Alaska	North Slope	101.91	outside_boundary_exact	Alaska, Northwest Arctic County	66.85852138,-155.6564498	162596	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra	https://lichenportal.org/portal/collections/individual/index.php?occid=4415912
OSC	Peter R. Nelson	Alaska	North Slope	101.91	outside_boundary_exact	Alaska, Northwest Arctic County	66.85852138,-155.6564498	162629	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra	https://lichenportal.org/portal/collections/individual/index.php?occid=4415935
OSC	Peter R. Nelson	Alaska	North Slope	101.91	outside_boundary_exact	Alaska, Northwest Arctic County	66.85852138,-155.6564498	162701	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra	https://lichenportal.org/portal/collections/individual/index.php?occid=4416008
OSC	Peter R. Nelson	Alaska	North Slope	101.91	outside_boundary_exact	Alaska, Northwest Arctic County	66.85852138,-155.6564498	162724	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra	https://lichenportal.org/portal/collections/individual/index.php?occid=4416032
OSC	Peter R. Nelson	Alaska	North Slope	101.91	outside_boundary_exact	Alaska, Northwest Arctic County	66.85852138,-155.6564498	162295	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra	https://lichenportal.org/portal/collections/individual/index.php?occid=4415731
OSC	Peter R. Nelson	Alaska	North Slope	101.91	outside_boundary_exact	Alaska, Northwest Arctic County	66.85852138,-155.6564498	162525	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby	https://lichenportal.org/portal/collections/individual/index.php?occid=4415843
OSC	Peter R. Nelson	Alaska	North Slope	101.91	outside_boundary_exact	Alaska, Northwest Arctic County	66.85852138,-155.6564498	162596	Gates of the Arctic National Park and Preserve, Southeast corner of Lake Selby; tussock tundra	https://lichenportal.org/portal/collections/individual/index.php?occid=4415912
