institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
NY	C. F. Reed	Georgia	Oconee Co.	214.4	outside_boundary_exact	Tennessee, Sevier County	35.8819,-83.5911	1570162	just E of Rt. 78, Apalachee River, 14 mi W of Athens	https://lichenportal.org/portal/collections/individual/index.php?occid=1087255
NY	C. F. Reed	Georgia	Murray Co.	9.19	outside_boundary_exact	Georgia, Whitfield County	34.7725,-85.0031	1079937	Fort Mountain State Park, Rt. 76	https://lichenportal.org/portal/collections/individual/index.php?occid=870808
NY	C. F. Reed	Georgia	Murray Co.	9.19	outside_boundary_exact	Georgia, Whitfield County	34.7725,-85.0031	1079938	Fort Mountain State Park, Rt. 76	https://lichenportal.org/portal/collections/individual/index.php?occid=870791
NY	C. F. Reed	Georgia	Murray Co.	9.19	outside_boundary_exact	Georgia, Whitfield County	34.7725,-85.0031	1079942	Fort Mountain State Park, Rt. 76	https://lichenportal.org/portal/collections/individual/index.php?occid=870747
NY	C. F. Reed	Georgia	Murray Co.	9.19	outside_boundary_exact	Georgia, Whitfield County	34.7725,-85.0031	1079941	Fort Mountain State Park, Rt. 76	https://lichenportal.org/portal/collections/individual/index.php?occid=869864
NY	C. F. Reed	Georgia	Murray Co.	9.19	outside_boundary_exact	Georgia, Whitfield County	34.7725,-85.0031	1079950	Fort Mountain State Park, Rt. 76	https://lichenportal.org/portal/collections/individual/index.php?occid=870939
NY	C. F. Reed	Georgia	Murray Co.	9.19	outside_boundary_exact	Georgia, Whitfield County	34.7725,-85.0031	1079943	Fort Mountain State Park, Rt. 76	https://lichenportal.org/portal/collections/individual/index.php?occid=869522
NY	C. F. Reed	Georgia	Murray Co.	9.19	outside_boundary_exact	Georgia, Whitfield County	34.7725,-85.0031	1079946	Fort Mountain State Park, Rt. 76	https://lichenportal.org/portal/collections/individual/index.php?occid=869894
NY	C. F. Reed	Georgia	Murray Co.	9.19	outside_boundary_exact	Georgia, Whitfield County	34.7725,-85.0031	1079939	Fort Mountain State Park, Rt. 76	https://lichenportal.org/portal/collections/individual/index.php?occid=869817
NY	C. F. Reed	Georgia	Murray Co.	9.19	outside_boundary_exact	Georgia, Whitfield County	34.7725,-85.0031	1079949	Fort Mountain State Park, Rt. 76	https://lichenportal.org/portal/collections/individual/index.php?occid=870748
NY	C. F. Reed	Georgia	Murray Co.	9.19	outside_boundary_exact	Georgia, Whitfield County	34.7725,-85.0031	1079903	Fort Mountain State Park, Rt. 76	https://lichenportal.org/portal/collections/individual/index.php?occid=869872
NY	C. F. Reed	Georgia	Murray Co.	9.19	outside_boundary_exact	Georgia, Whitfield County	34.7725,-85.0031	1079948	Fort Mountain State Park, Rt. 76	https://lichenportal.org/portal/collections/individual/index.php?occid=870059
NY	C. F. Reed	Georgia	Murray Co.	9.19	outside_boundary_exact	Georgia, Whitfield County	34.7725,-85.0031	1079944	Fort Mountain State Park, Rt. 76	https://lichenportal.org/portal/collections/individual/index.php?occid=869731
NY	C. F. Reed	Georgia	Murray Co.	9.19	outside_boundary_exact	Georgia, Whitfield County	34.7725,-85.0031	1079940	Fort Mountain State Park, Rt. 76	https://lichenportal.org/portal/collections/individual/index.php?occid=870746
NY	C. F. Reed	Georgia	Murray Co.	9.19	outside_boundary_exact	Georgia, Whitfield County	34.7725,-85.0031	1079947	Fort Mountain State Park, Rt. 76	https://lichenportal.org/portal/collections/individual/index.php?occid=870697
NY	C. F. Reed	Georgia	Burke Co.	8.53	outside_boundary_exact	Georgia, Richmond County	33.3214,-82.0597	1570166	Rt. 25, S of Augusta	https://lichenportal.org/portal/collections/individual/index.php?occid=1087259
NY	C. F. Reed	Georgia	Gwinnett Co.	2.01	outside_boundary_exact	Georgia, DeKalb County	33.8228,-84.1533	1570172	Rt. 78, E of Stone Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1087265
DUKE	Reed, Clyde, F.	Georgia	Union Co.	0	outside_boundary_exact	Georgia, Lumpkin County	34.73481,-83.91797	154543	Neel's Gap, on the Lumpkins County line, Appalachian Trail at Route 129	https://lichenportal.org/portal/collections/individual/index.php?occid=1872002
