institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
NY	C. F. Reed	Maryland	Wicomico Co.	228.42	outside_boundary_exact	Virginia, Rockingham County	38.4219,-78.5725	1655996	Leonard's Mill Park, Rt. 13	https://lichenportal.org/portal/collections/individual/index.php?occid=1238770
NY	C. F. Reed	Maryland	Garrett Co.	215.11	outside_boundary_exact	Maryland, Harford County	39.4942,-76.4181	1627046	Snaggy Mt. Rd., SW of Swallow Falls State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1237868
NY	C. F. Reed	Maryland	Garrett Co.	215.11	outside_boundary_exact	Maryland, Harford County	39.4942,-76.4181	1651756	Snaggy Mt. Rd., SW of Swallow Falls State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3215090
NY	C. F. Reed	Maryland	Garrett Co.	215.11	outside_boundary_exact	Maryland, Harford County	39.4942,-76.4181	1527196	Snaggy Mt. Rd., SW of Swallow Falls State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1021935
NY	C. F. Reed	Maryland	Garrett Co.	215.11	outside_boundary_exact	Maryland, Harford County	39.4942,-76.4181	1568628	Snaggy Mt. Rd., SW of Swallow Falls State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1085782
NY	C. F. Reed	Maryland	Garrett Co.	215.11	outside_boundary_exact	Maryland, Harford County	39.4942,-76.4181	1565204	Snaggy Mt. Rd., SW of Swallow Falls State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1062018
NY	C. F. Reed	Maryland	Garrett Co.	215.11	outside_boundary_exact	Maryland, Harford County	39.4942,-76.4181	1598458	Snaggy Mt. Rd., SW of Swallow Falls State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3191544
NY	C. F. Reed	Maryland	Garrett Co.	215.11	outside_boundary_exact	Maryland, Harford County	39.4942,-76.4181	1489022	Snaggy Mt. Rd., SW of Swallow Falls State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=965647
NY	C. F. Reed	Maryland	Cecil Co.	106	outside_boundary_exact	Maryland, Montgomery County	39.200192,-77.290889	1573436	near top of Black Hill, along Black Hill Rd., Elk Neck	https://lichenportal.org/portal/collections/individual/index.php?occid=1109851
NY	C. F. Reed	Maryland	Cecil Co.	98.55	outside_boundary_exact	Maryland, Calvert County	38.6142,-76.6119	1527197	Ponds Woods Rd., off Rt. 4, S of Huntingtown	https://lichenportal.org/portal/collections/individual/index.php?occid=1021936
NY	C. F. Reed	Maryland	Cecil Co.	98.55	outside_boundary_exact	Maryland, Calvert County	38.6142,-76.6119	1357050	Ponds Woods Rd., off Rt. 4, S of Huntingtown	https://lichenportal.org/portal/collections/individual/index.php?occid=1302439
NY	C. F. Reed	Maryland	Baltimore Co.	66.11	outside_boundary_exact	Maryland, Calvert County	38.610872,-76.633514	1600064	Blue Mount Quarry	https://lichenportal.org/portal/collections/individual/index.php?occid=1291650
NY	C. F. Reed	Maryland	Baltimore Co.	66.11	outside_boundary_exact	Maryland, Calvert County	38.610872,-76.633514	1568633	Blue Mount Quarry	https://lichenportal.org/portal/collections/individual/index.php?occid=1085787
NY	C. F. Reed	Maryland	Baltimore Co.	53.99	outside_boundary_exact	Maryland, Cecil County	39.6978,-76.0628	1600031	Towson	https://lichenportal.org/portal/collections/individual/index.php?occid=1291617
NY	C. F. Reed	Maryland	Baltimore Co.	53.99	outside_boundary_exact	Maryland, Cecil County	39.6978,-76.0628	1407105	Towson	https://lichenportal.org/portal/collections/individual/index.php?occid=961281
NY	C. F. Reed	Maryland	Anne Arundel Co.	43.99	outside_boundary_exact	Maryland, Queen Anne's County	39.1,-75.84	1541363	end of Myer Station Rd, S of Conway Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=1035780
NY	C. F. Reed	Maryland	Anne Arundel Co.	43.99	outside_boundary_exact	Maryland, Queen Anne's County	39.1,-75.84	1103974	end of Myer Station Rd, S of Conway Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=881846
NY	C. F. Reed	Maryland	Anne Arundel Co.	43.99	outside_boundary_exact	Maryland, Queen Anne's County	39.1,-75.84	1357102	end of Myer Station Rd, S of Conway Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=1302490
NY	C. F. Reed	Maryland	Anne Arundel Co.	43.99	outside_boundary_exact	Maryland, Queen Anne's County	39.1,-75.84	1526028	end of Myer Station Rd, S of Conway Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=1020768
NY	C. F. Reed	Maryland	Anne Arundel Co.	43.99	outside_boundary_exact	Maryland, Queen Anne's County	39.1,-75.84	1705546	end of Myer Station Rd, S of Conway Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=1303213
NY	C. F. Reed	Maryland	Anne Arundel Co.	43.99	outside_boundary_exact	Maryland, Queen Anne's County	39.1,-75.84	1526038	end of Myer Station Rd, S of Conway Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=1020778
NY	C. F. Reed	Maryland	Anne Arundel Co.	43.99	outside_boundary_exact	Maryland, Queen Anne's County	39.1,-75.84	1538362	end of Myer Station Rd, S of Conway Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=1027517
NY	C. F. Reed	Maryland	Anne Arundel Co.	43.99	outside_boundary_exact	Maryland, Queen Anne's County	39.1,-75.84	1705545	end of Myer Station Rd, S of Conway Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=1303212
NY	C. F. Reed	Maryland	Baltimore Co.	34.88	outside_boundary_exact	Maryland, Baltimore County	39.6833,-76.6931	04181672	along Gores Mill Rd., 1 1/2 mi W of Freeland	https://lichenportal.org/portal/collections/individual/index.php?occid=3785113
NY	C. F. Reed	Maryland	Baltimore Co.	34.88	outside_boundary_exact	Maryland, Baltimore County	39.6833,-76.6931	1359734	along Gores Mill Rd., 1 1/2 mi W of Freeland	https://lichenportal.org/portal/collections/individual/index.php?occid=959019
NY	C. F. Reed	Maryland	Baltimore Co.	34.8	outside_boundary_exact	Maryland, Baltimore County	39.682619,-76.705856	1612121	Gore Mill Rd. 1.5 mi W of Freeland	https://lichenportal.org/portal/collections/individual/index.php?occid=1234345
NY	C. F. Reed	Maryland	Baltimore Co.	34.07	outside_boundary_exact	Maryland, Baltimore County	39.6761,-76.7058	1357045	along Gore's Mill Rd., 1 1/2 mi W of Freeland	https://lichenportal.org/portal/collections/individual/index.php?occid=1302434
NY	C. F. Reed	Maryland	Baltimore Co.	34.07	outside_boundary_exact	Maryland, Baltimore County	39.6761,-76.7058	4680995	along Gore's Mill Rd., 1 1/2 mi W of Freeland	https://lichenportal.org/portal/collections/individual/index.php?occid=4988399
NY	C. F. Reed	Maryland	Baltimore Co.	34.07	outside_boundary_exact	Maryland, Baltimore County	39.6761,-76.7058	1600035	along Gore's Mill Rd., 1 1/2 mi W of Freeland	https://lichenportal.org/portal/collections/individual/index.php?occid=1291621
NY	C. F. Reed	Maryland	Baltimore Co.	34.07	outside_boundary_exact	Maryland, Baltimore County	39.6761,-76.7058	1573469	along Gore's Mill Rd., 1 1/2 mi W of Freeland	https://lichenportal.org/portal/collections/individual/index.php?occid=1109884
