institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
NY	C. F. Reed	Virginia	Augusta Co.	8546.97	outside_boundary_exact	not_found_in_US	-78.952864,-78.969349	1359892	10 mi S of Afton, on Blue Ridge Pkwy., Ravens Roost	https://lichenportal.org/portal/collections/individual/index.php?occid=959176
DUKE	Reed, Clyde, F.	Virginia	Franklin Co.	256.93	outside_boundary_exact	Virginia, Franklin County	36.89208,-79.86531	138974	Near Sydnorsville	https://lichenportal.org/portal/collections/individual/index.php?occid=1846505
NY	C. F. Reed	Virginia	Franklin Co.	256.93	outside_boundary_exact	Virginia, Franklin County	36.8917,-79.8653	1540174	near Sydnorsville	https://lichenportal.org/portal/collections/individual/index.php?occid=1034594
NY	C. F. Reed	Virginia	Franklin Co.	256.93	outside_boundary_exact	Virginia, Franklin County	36.8917,-79.8653	1535877	near Sydnorsville	https://lichenportal.org/portal/collections/individual/index.php?occid=1025193
NY	C. F. Reed	Virginia	Franklin Co.	256.93	outside_boundary_exact	Virginia, Franklin County	36.8917,-79.8653	1535319	near Sydnorsville	https://lichenportal.org/portal/collections/individual/index.php?occid=1024786
NY	C. F. Reed	Virginia	Franklin Co.	256.93	outside_boundary_exact	Virginia, Franklin County	36.8917,-79.8653	1570355	near Sydnorsville	https://lichenportal.org/portal/collections/individual/index.php?occid=1087444
NY	C. F. Reed	Virginia	Franklin Co.	256.93	outside_boundary_exact	Virginia, Franklin County	36.8917,-79.8653	1407234	near Sydnorsville	https://lichenportal.org/portal/collections/individual/index.php?occid=964848
NY	C. F. Reed	Virginia	Franklin Co.	256.93	outside_boundary_exact	Virginia, Franklin County	36.8917,-79.8653	1569952	near Sydnorsville	https://lichenportal.org/portal/collections/individual/index.php?occid=1087047
NY	C. F. Reed	Virginia	Franklin Co.	256.93	outside_boundary_exact	Virginia, Franklin County	36.8917,-79.8653	1570370	near Sydnorsville	https://lichenportal.org/portal/collections/individual/index.php?occid=1087459
NY	C. F. Reed	Virginia	Franklin Co.	256.93	outside_boundary_exact	Virginia, Franklin County	36.8917,-79.8653	1534257	near Sydnorsville	https://lichenportal.org/portal/collections/individual/index.php?occid=1022096
NY	C. F. Reed	Virginia	Franklin Co.	256.93	outside_boundary_exact	Virginia, Franklin County	36.8917,-79.8653	1569953	near Sydnorsville	https://lichenportal.org/portal/collections/individual/index.php?occid=1087048
NY	C. F. Reed	Virginia	Franklin Co.	256.93	outside_boundary_exact	Virginia, Franklin County	36.8917,-79.8653	2357116	near Sydnorsville	https://lichenportal.org/portal/collections/individual/index.php?occid=3245739
NY	C. F. Reed	Virginia	Franklin Co.	256.93	outside_boundary_exact	Virginia, Franklin County	36.8917,-79.8653	1413380	near Sydnorsville	https://lichenportal.org/portal/collections/individual/index.php?occid=1302811
NY	C. F. Reed	Virginia	Franklin Co.	256.93	outside_boundary_exact	Virginia, Franklin County	36.8917,-79.8653	04181698	near Sydnorsville	https://lichenportal.org/portal/collections/individual/index.php?occid=3785139
NY	C. F. Reed	Virginia	Franklin Co.	256.93	outside_boundary_exact	Virginia, Franklin County	36.8917,-79.8653	1567908	near Sydnorsville	https://lichenportal.org/portal/collections/individual/index.php?occid=1085074
NY	C. F. Reed	Virginia	Franklin Co.	256.93	outside_boundary_exact	Virginia, Franklin County	36.8917,-79.8653	1526585	near Sydnorsville	https://lichenportal.org/portal/collections/individual/index.php?occid=1021325
NY	C. F. Reed	Virginia	Franklin Co.	256.9	outside_boundary_exact	Virginia, Franklin County	36.8914,-79.865	1562153	near Syndorsville	https://lichenportal.org/portal/collections/individual/index.php?occid=1054828
NY	C. F. Reed	Virginia	Franklin Co.	256.65	outside_boundary_exact	Virginia, Franklin County	37.0528,-79.8406	1538435	Rt. 122, 3 mi N of Rocky Mount	https://lichenportal.org/portal/collections/individual/index.php?occid=1027589
NY	C. F. Reed	Virginia	Franklin Co.	256.65	outside_boundary_exact	Virginia, Franklin County	37.0528,-79.8406	1571031	Rt. 122, 3 mi N of Rocky Mount	https://lichenportal.org/portal/collections/individual/index.php?occid=1088112
NY	C. F. Reed	Virginia	Franklin Co.	256.65	outside_boundary_exact	Virginia, Franklin County	37.0528,-79.8406	1562152	Rt. 122, 3 mi N of Rocky Mount	https://lichenportal.org/portal/collections/individual/index.php?occid=1054827
NY	C. F. Reed	Virginia	Franklin Co.	256.65	outside_boundary_exact	Virginia, Franklin County	37.0528,-79.8406	1571647	Rt. 122, 3 mi N of Rocky Mount	https://lichenportal.org/portal/collections/individual/index.php?occid=1108073
NY	C. F. Reed	Virginia	Franklin Co.	256.65	outside_boundary_exact	Virginia, Franklin County	37.0528,-79.8406	1572328	Rt. 122, 3 mi N of Rocky Mount	https://lichenportal.org/portal/collections/individual/index.php?occid=1108752
NY	C. F. Reed	Virginia	Franklin Co.	256.65	outside_boundary_exact	Virginia, Franklin County	37.0528,-79.8406	1565922	Rt. 122, 3 mi N of Rocky Mount	https://lichenportal.org/portal/collections/individual/index.php?occid=1083949
