institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
SRP	Roger Rosentreter	Colorado	Park	703.56	outside_boundary_exact	Wyoming, Park County	44.9034,-110.378388	SRP-L-0005766	Yellowstone Canyon of the Yellowstone River, trail from the Lamar Valley, Yellowstone National Park Wyoming.	https://lichenportal.org/portal/collections/individual/index.php?occid=1208673
OSC	Ann DeBolt; Bruce McCune, Roger Rosentreter	Colorado	Grand	628.14	outside_boundary_exact	Montana, Rosebud County	46.1,-106.4166667	134949	6 km NW of Kremmling on Highway 40.	https://lichenportal.org/portal/collections/individual/index.php?occid=4413551
OSC	Ann DeBolt; Bruce McCune, Roger Rosentreter	Colorado	Grand	628.14	outside_boundary_exact	Montana, Rosebud County	46.1,-106.4166667	134949	6 km NW of Kremmling on Highway 40.	https://lichenportal.org/portal/collections/individual/index.php?occid=4413551
SRP	Roger Rosentreter	Colorado	Fremont	518.75	outside_boundary_exact	Wyoming, Fremont County	42.920731,-108.50911	SRP-L-0011669	3 miles South/Southwest of Arapahoe Wyoming. Exclosure SW of Riverton Wyoming. On Highway 789 towards Lander.	https://lichenportal.org/portal/collections/individual/index.php?occid=1447656
SRP	Roger Rosentreter	Colorado	Fremont	518.75	outside_boundary_exact	Wyoming, Fremont County	42.920731,-108.50911	SRP-L-0012156	3 miles South/Southwest of Arapahoe Wyoming. Exclosure SW of Riverton Wyoming. On Highway 789 towards Lander.	https://lichenportal.org/portal/collections/individual/index.php?occid=1577956
SRP	Roger Rosentreter	Colorado	Fremont	518.75	outside_boundary_exact	Wyoming, Fremont County	42.920731,-108.50911	SRP-L-0009447	3 miles South/Southwest of Arapahoe Wyoming. Exclosure SW of Riverton Wyoming. On Highway 789 towards Lander.	https://lichenportal.org/portal/collections/individual/index.php?occid=1446362
SRP	Roger Rosentreter	Colorado	Larimer	267.58	outside_boundary_exact	Colorado, Otero County	38.189999,-103.5	SRP-L-0000343	Rocky Mountain National Park Estes Park, Bible Point trail, near the YMCA of the Rockies, 60 miles W of Denver.	https://lichenportal.org/portal/collections/individual/index.php?occid=1125085
SRP	Roger Rosentreter	Colorado	Larimer	267.58	outside_boundary_exact	Colorado, Otero County	38.189999,-103.5	SRP-L-0005337	Rocky Mountain National Park Estes Park, Bible Point trail, near the YMCA of the Rockies, 60 miles W of Denver.	https://lichenportal.org/portal/collections/individual/index.php?occid=1203576
SRP	Roger Rosentreter	Colorado	Larimer	267.58	outside_boundary_exact	Colorado, Otero County	38.189999,-103.5	SRP-L-0009348	Rocky Mountain National Park Estes Park, Bible Point trail, near the YMCA of the Rockies, 60 miles W of Denver.	https://lichenportal.org/portal/collections/individual/index.php?occid=1446257
SRP	Roger Rosentreter	Colorado	Larimer	267.58	outside_boundary_exact	Colorado, Otero County	38.189999,-103.5	SRP-L-0000237	Rocky Mountain National Park Estes Park, Bible Point trail, near the YMCA of the Rockies, 60 miles W of Denver.	https://lichenportal.org/portal/collections/individual/index.php?occid=1124980
SRP	Roger Rosentreter	Colorado	Larimer	267.58	outside_boundary_exact	Colorado, Otero County	38.189999,-103.5	SRP-L-0000238	Rocky Mountain National Park Estes Park, Bible Point trail, near the YMCA of the Rockies, 60 miles W of Denver.	https://lichenportal.org/portal/collections/individual/index.php?occid=1124981
SRP	Roger Rosentreter	Colorado	Larimer	267.58	outside_boundary_exact	Colorado, Otero County	38.189999,-103.5	SRP-L-0003046	Rocky Mountain National Park Estes Park, Bible Point trail, near the YMCA of the Rockies, 60 miles W of Denver.	https://lichenportal.org/portal/collections/individual/index.php?occid=1105836
SRP	Roger Rosentreter	Colorado	Larimer	267.58	outside_boundary_exact	Colorado, Otero County	38.189999,-103.5	SRP-L-0002685	Rocky Mountain National Park Estes Park, Bible Point trail, near the YMCA of the Rockies, 60 miles W of Denver.	https://lichenportal.org/portal/collections/individual/index.php?occid=1106138
SRP	Roger Rosentreter	Colorado	Larimer	267.58	outside_boundary_exact	Colorado, Otero County	38.189999,-103.5	SRP-L-0006599	Rocky Mountain National Park Estes Park, Bible Point trail, near the YMCA of the Rockies, 60 miles W of Denver.	https://lichenportal.org/portal/collections/individual/index.php?occid=1128462
COLO	Roger Rosentreter	Colorado	Pitkin	188.21	outside_boundary_exact	Colorado, Elbert County	39.183333,-104.233333	COLO-L-0025175	Redstone, 40 miles south of Carbondale	https://lichenportal.org/portal/collections/individual/index.php?occid=1682021
OSC	Roger Rosentreter	Colorado	Larimer	121.35	outside_boundary_exact	Colorado, Morgan County	40.5,-103.5	98966	Rocky Mtn. Nat. Park, Estes Park, Bible Point trail, near the YMCA of the Rockies, 60 mi W of Denver	https://lichenportal.org/portal/collections/individual/index.php?occid=5768411
OSC	Roger Rosentreter	Colorado	Larimer	121.35	outside_boundary_exact	Colorado, Morgan County	40.5,-103.5	143815	Estes Park, elv. 8500', Rocky Mtn. Nat. Park, estes Park, Bible Point Trail, near YMCA of the Rockies, 60 miles W of Denver.	https://lichenportal.org/portal/collections/individual/index.php?occid=2231299
SRP	R. Rosentreter	Colorado	Larimer	121.35	outside_boundary_exact	Colorado, Morgan County	40.5,-103.5	SRP-L-0009808	Rocky Mtn. Nat. Park, Estes Park, Bible Point trail, near the YMCA of the Rockies, 60 miles W of Denver.	https://lichenportal.org/portal/collections/individual/index.php?occid=1446634
OSC	Roger Rosentreter	Colorado	Larimer	121.35	outside_boundary_exact	Colorado, Morgan County	40.5,-103.5	98966	Rocky Mtn. Nat. Park, Estes Park, Bible Point trail, near the YMCA of the Rockies, 60 mi W of Denver	https://lichenportal.org/portal/collections/individual/index.php?occid=5768411
OSC	Roger Rosentreter	Colorado	Larimer	121.35	outside_boundary_exact	Colorado, Morgan County	40.5,-103.5	143815	Estes Park, elv. 8500', Rocky Mtn. Nat. Park, estes Park, Bible Point Trail, near YMCA of the Rockies, 60 miles W of Denver.	https://lichenportal.org/portal/collections/individual/index.php?occid=2231299
SRP	Roger Rosentreter	Colorado	Gunnison	82.71	outside_boundary_exact	Colorado, Rio Blanco County	39.869999,-107.980003	SRP-L-0007467	Crested Butte, Colorado.	https://lichenportal.org/portal/collections/individual/index.php?occid=1212123
SRP	Roger Rosentreter	Colorado	Gunnison	82.71	outside_boundary_exact	Colorado, Rio Blanco County	39.869999,-107.980003	SRP-L-0009414	Crested Butte, Colorado.	https://lichenportal.org/portal/collections/individual/index.php?occid=1446329
SRP	Roger Rosentreter	Colorado	Gunnison	82.71	outside_boundary_exact	Colorado, Rio Blanco County	39.869999,-107.980003	SRP-L-0007418	Crested Butte, Colorado.	https://lichenportal.org/portal/collections/individual/index.php?occid=1212074
SRP	Roger Rosentreter	Colorado	Gunnison	82.71	outside_boundary_exact	Colorado, Rio Blanco County	39.869999,-107.980003	SRP-L-0009415	Crested Butte, Colorado.	https://lichenportal.org/portal/collections/individual/index.php?occid=1446330
SRP	Roger Rosentreter	Colorado	Grand	64.85	outside_boundary_exact	Colorado, Weld County	40.25,-104.875	SRP-L-0009935	North of Granby, Colorado, Arapahoe National Forest. West of Bowen Gulch, 6.1 km (3.8 miles) up Forest Road 120.	https://lichenportal.org/portal/collections/individual/index.php?occid=1446758
SRP	Roger Rosentreter	Colorado	Grand	64.85	outside_boundary_exact	Colorado, Weld County	40.25,-104.875	SRP-L-0007996	North of Granby, Colorado, Arapahoe National Forest. West of Bowen Gulch, 6.1 km (3.8 miles) up Forest Road 120.	https://lichenportal.org/portal/collections/individual/index.php?occid=1444170
SRP	Roger Rosentreter	Colorado	Grand	64.85	outside_boundary_exact	Colorado, Weld County	40.25,-104.875	SRP-L-0010057	North of Granby, Colorado, Arapahoe National Forest. West of Bowen Gulch, 6.1 km (3.8 miles) up Forest Road 120.	https://lichenportal.org/portal/collections/individual/index.php?occid=1446962
SRP	Roger Rosentreter	Colorado	Grand	64.85	outside_boundary_exact	Colorado, Weld County	40.25,-104.875	SRP-L-0002486	North of Granby, Colorado, Arapahoe National Forest. West of Bowen Gulch, 6.1 km (3.8 miles) up Forest Road 120.	https://lichenportal.org/portal/collections/individual/index.php?occid=1106301
OSC	Ann DeBolt; Bruce McCune, Roger Rosentreter	Colorado	Routt	14.42	outside_boundary_exact	Colorado, Grand County	40.3182,-106.4612	136842	Buffalo Pass Road	https://lichenportal.org/portal/collections/individual/index.php?occid=4412733
