institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MIN	O'Bryan, D.	Alabama	Clay	8177.76	outside_boundary_exact	not_found_in_US	-64.78333333,-63.91666667	858312	12 Mi S of Anniston; Cheaha State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=400295
MIN	O'Bryan, D.	Alabama	Clay	8177.76	outside_boundary_exact	not_found_in_US	-64.78333333,-63.91666667	858313	12 Mi S of Anniston; Cheaha State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=400296
DUKE	O'Bryan, D.	Alabama	Clay Co.	2.7	outside_boundary_exact	Alabama, Cleburne County	33.49539,-85.8083	32454	Cheaha State Park, Talladega National Forest, W-exposure of Bald Rock, 12 mi S of Amniston	https://lichenportal.org/portal/collections/individual/index.php?occid=1883691
WSCO	D. O'Bryan	Alabama	Clay	1.06	outside_boundary_exact	Alabama, Cleburne County	33.47873,-85.8087	WSCO013829	Cheaha State Park, Talladega National Forest, 12 mi S of Anniston, 2407 ft NN	https://lichenportal.org/portal/collections/individual/index.php?occid=5683253
ASU	D. O'Bryan	Alabama	Clay	0.59	outside_boundary_exact	Alabama, Cleburne County	33.474553,-85.809685	NA	Talladega National Forest; Cheaha State Park, 18 km S of Anniston	https://lichenportal.org/portal/collections/individual/index.php?occid=70427
ASU	D. O'Bryan	Alabama	Clay	0.59	outside_boundary_exact	Alabama, Cleburne County	33.474553,-85.809685	NA	Talladega National Forest; Cheaha State Park, 18 km S of Anniston	https://lichenportal.org/portal/collections/individual/index.php?occid=70430
ASU	D. O'Bryan	Alabama	Clay	0.59	outside_boundary_exact	Alabama, Cleburne County	33.474553,-85.809685	NA	Talladega National Forest; Cheaha State Park, 18 km S of Anniston	https://lichenportal.org/portal/collections/individual/index.php?occid=84700
ASU	D. O'Bryan	Alabama	Clay	0.59	outside_boundary_exact	Alabama, Cleburne County	33.474553,-85.809685	NA	Talladega National Forest; Cheaha State Park, 18 km S of Anniston	https://lichenportal.org/portal/collections/individual/index.php?occid=84704
ASU	D. O'Bryan	Alabama	Clay	0.59	outside_boundary_exact	Alabama, Cleburne County	33.474553,-85.809685	ASUL009806	Talladega National Forest; Cheaha State Park, 19 km S of Amniston	https://lichenportal.org/portal/collections/individual/index.php?occid=103368
F	D. O'Bryan	Alabama	Clay	0.59	outside_boundary_exact	Alabama, Cleburne County	33.474553,-85.809685	C0091777F	Talladega National Forest; Cheaha State Park, 18 km S of Anniston	https://lichenportal.org/portal/collections/individual/index.php?occid=2933652
WIS	D. O'Bryan	Alabama	Clay	0.59	outside_boundary_exact	Alabama, Cleburne County	33.474553,-85.809685	WIS-L-0121712	Talladega National Forest; Cheaha State Park, 18 km S of Anniston	https://lichenportal.org/portal/collections/individual/index.php?occid=2747686
WIS	D. O'Bryan	Alabama	Clay	0.59	outside_boundary_exact	Alabama, Cleburne County	33.474553,-85.809685	WIS-L-0121710	Talladega National Forest; Cheaha State Park, 18 km S of Anniston	https://lichenportal.org/portal/collections/individual/index.php?occid=2747831
