institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
BRY	Sam Shushan	Colorado	Eagle	7565.88	outside_boundary_exact	not_found_in_US	6.283333,-39.683333	BRY-L-0018159	Gore Wilderness Area: head of Pitkin Creek. 4.8 miles NE of Vail, 4 miles north of Gore Creek Campground. Subsidiary peak on south ridge of Peak 13019.	https://lichenportal.org/portal/collections/individual/index.php?occid=1361800
BRY	Sam Shushan	Colorado	Boulder	7501.74	outside_boundary_exact	not_found_in_US	5.533333,-40.033333	BRY-L-0019828	Science Lodge of University of Colorado: ca 3 miles SW of Ward	https://lichenportal.org/portal/collections/individual/index.php?occid=1371590
BRY	Sam Shushan	Colorado	Larimer	7446.29	outside_boundary_exact	not_found_in_US	5.333333,-40.844444	BRY-L-0016342	Ca. 7 miles NW of Livermore, near Cherokee Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1317322
BRY	Sam Shushan	Colorado	Boulder	7291.49	outside_boundary_exact	not_found_in_US	40.075,-15.4	BRY-L-0018527	Roosevelt National Park vicinity: Lefthand Creek vicinity, about 1 mile NE of Gold Hill along Lefthand Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=1366050
BRY	Sam Shushan	Colorado	Eagle	3538.57	outside_boundary_exact	Alaska, Southeast Fairbanks County	64.791667,-141.211111	BRY-L-0017051	Eagle: Eagle Bluffs: about 1 mile west of Eagle on SW-facing 40° slope of Eagle Bluffs	https://lichenportal.org/portal/collections/individual/index.php?occid=1343788
MICH	S. Shushan	Colorado	Boulder	3226.02	outside_boundary_exact	not_found_in_US	10.229167,-105.35	115800	3.5 miles west of Lyons, just east of Longmont Reservoir along North St. Vrain Creek, North-facing slope	https://lichenportal.org/portal/collections/individual/index.php?occid=1391479
SRP	S. Shushan	Colorado	Summit	3072.4	outside_boundary_exact	not_found_in_US	69.6954,-105.8127	SRP-L-0008871	Summit Co. - Clear Creek Co., Northeast of Loveland Pass; 32 km WSW of Idaho Springs	https://lichenportal.org/portal/collections/individual/index.php?occid=1445888
MICH	S. Shushan	Colorado	Boulder	2862.8	outside_boundary_exact	not_found_in_US	13.75,-105.333333	115609	3.5 miles west of Lyons, just east of Longmont Reservoir along North St. Vrain Creek, North-facing slope	https://lichenportal.org/portal/collections/individual/index.php?occid=1391331
MSC	Shushan, Sam	Colorado	Boulder	2862.79	outside_boundary_exact	not_found_in_US	13.75,-105.3499985	MSC0069768	Colorado, U.S.A.; 3.5 miles W of Lyons; just E of Longmont Reservoir along N St. Vrain Creek; N facing slope	https://lichenportal.org/portal/collections/individual/index.php?occid=264184
MICH	S. Shushan	Colorado	Boulder	2862.79	outside_boundary_exact	not_found_in_US	13.75,-105.35	117972	3.5 miles west of Lyons, just east of Longmont Reservoir along North St. Vrain Creek, North-facing slope	https://lichenportal.org/portal/collections/individual/index.php?occid=1412274
