institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
BRY	Larry L. St. Clair	Colorado	Rio Blanco	1128.94	outside_boundary_exact	not_found_in_US	29.574,-107.60626	BRY-L-0024315	White River National Forest: Meadow Lake turnoff, vicinity of Big Ridge, 3.8 miles north of turnoff to Meadow Lake along USFS Road No. 245.	https://lichenportal.org/portal/collections/individual/index.php?occid=1771820
BRY	Larry L. St. Clair	Colorado	Summit	357.93	outside_boundary_exact	Utah, Summit County	40.871944,-110.5	BRY-L-0000437	Roosevelt National Forest: 0.75 km NE of Bald Mountain Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=1075936
BRY	Larry L. St. Clair	Colorado	Summit	357.93	outside_boundary_exact	Utah, Summit County	40.871944,-110.5	BRY-L-0002532	.75 km NE of Bald Mountain Peak.	https://lichenportal.org/portal/collections/individual/index.php?occid=1078039
BRY	Larry L. St. Clair	Colorado	Summit	357.93	outside_boundary_exact	Utah, Summit County	40.871944,-110.5	BRY-L-0002620	0.75 km NE of Bald Mountain Peak.	https://lichenportal.org/portal/collections/individual/index.php?occid=1078127
BRY	Larry L. St. Clair	Colorado	Summit	357.93	outside_boundary_exact	Utah, Summit County	40.871944,-110.5	BRY-L-0019414	Roosevelt National Forest: 0.75 km NE of Bald Mountain Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=1370230
BRY	Larry L. St. Clair	Colorado	Summit	357.02	outside_boundary_exact	Utah, Summit County	40.8525,-110.496111	BRY-L-0002534	1.5 km SE of Bald Mountain Peak.	https://lichenportal.org/portal/collections/individual/index.php?occid=1078041
BRY	Larry L. St. Clair	Colorado	Summit	357.02	outside_boundary_exact	Utah, Summit County	40.8525,-110.496111	BRY-L-0015041	Bald Mountain Peak: 1.5 km SE of Bald Mountain Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=1308387
BRY	Larry L. St. Clair	Colorado	Summit	357.02	outside_boundary_exact	Utah, Summit County	40.8525,-110.496111	BRY-L-0019415	Bald Mountain Peak: 1.5 km SE of Bald Mountain Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=1370231
BRY	Larry L. St. Clair	Colorado	Summit	356.99	outside_boundary_exact	Utah, Summit County	40.845,-110.498611	BRY-L-0000800	2.6 km SE of Bald Mountain Peak; Along east side of Ridge.	https://lichenportal.org/portal/collections/individual/index.php?occid=1076298
BRY	Larry L. St. Clair	Colorado	Summit	356.99	outside_boundary_exact	Utah, Summit County	40.845,-110.498611	BRY-L-0016382	Pike National Forest: 2.6 km SE of Bald Mountain Peak, along east side of ridge	https://lichenportal.org/portal/collections/individual/index.php?occid=1317362
BRY	Larry L. St. Clair	Colorado	Summit	356.99	outside_boundary_exact	Utah, Summit County	40.845,-110.498611	BRY-L-0016499	Pike National Forest: 2.6 km SE of Bald Mountain Peak, along east side of ridge	https://lichenportal.org/portal/collections/individual/index.php?occid=1423061
BRY	Larry L. St. Clair	Colorado	Summit	356.99	outside_boundary_exact	Utah, Summit County	40.845,-110.498611	BRY-L-0019413	Pike National Forest: 2.6 km SE of Bald Mountain Peak, along east side of ridge	https://lichenportal.org/portal/collections/individual/index.php?occid=1370229
BRY	Larry L. St. Clair	Colorado	Summit	356.32	outside_boundary_exact	Utah, Summit County	40.845,-110.490278	BRY-L-0010860	Pike National Forest: 2.6 km SE of Bald Mountain Peak, along east side of ridge	https://lichenportal.org/portal/collections/individual/index.php?occid=1219403
BRY	Larry L. St. Clair	Colorado	Grand	286.89	outside_boundary_exact	Utah, Grand County	38.75805,-109.616983	BRY-L-0041237	Arches National Park: Salt Valley, approximately 4km SW of campground (ANP No. 1).	https://lichenportal.org/portal/collections/individual/index.php?occid=2644606
BRY	Larry L. St. Clair	Colorado	Grand	286.89	outside_boundary_exact	Utah, Grand County	38.75805,-109.616983	BRY-L-0041238	Arches National Park: Salt Valley, approximately 4km SW of campground (ANP No. 1).	https://lichenportal.org/portal/collections/individual/index.php?occid=2644569
BRY	Larry L. St. Clair	Colorado	Grand	286.89	outside_boundary_exact	Utah, Grand County	38.75805,-109.616983	BRY-L-0041239	Arches National Park: Salt Valley, approximately 4km SW of campground (ANP No. 1).	https://lichenportal.org/portal/collections/individual/index.php?occid=2644604
BRY	Larry L. St. Clair	Colorado	Grand	286.89	outside_boundary_exact	Utah, Grand County	38.75805,-109.616983	BRY-L-0041241	Arches National Park: Salt Valley, approximately 4km SW of campground (ANP No. 1).	https://lichenportal.org/portal/collections/individual/index.php?occid=2644623
BRY	Larry L. St. Clair	Colorado	Grand	286.89	outside_boundary_exact	Utah, Grand County	38.75805,-109.616983	BRY-L-0041242	Arches National Park: Salt Valley, approximately 4km SW of campground (ANP No. 1).	https://lichenportal.org/portal/collections/individual/index.php?occid=2644600
BRY	Larry L. St. Clair	Colorado	Grand	286.89	outside_boundary_exact	Utah, Grand County	38.75805,-109.616983	BRY-L-0041243	Arches National Park: Salt Valley, approximately 4km SW of campground (ANP No. 1).	https://lichenportal.org/portal/collections/individual/index.php?occid=2644573
BRY	Larry L. St. Clair	Colorado	Grand	286.89	outside_boundary_exact	Utah, Grand County	38.75805,-109.616983	BRY-L-0041244	Arches National Park: Salt Valley, approximately 4km SW of campground (ANP No. 1).	https://lichenportal.org/portal/collections/individual/index.php?occid=2644567
BRY	Larry L. St. Clair	Colorado	Grand	286.89	outside_boundary_exact	Utah, Grand County	38.75805,-109.616983	BRY-L-0041245	Arches National Park: Salt Valley, approximately 4km SW of campground (ANP No. 1).	https://lichenportal.org/portal/collections/individual/index.php?occid=2644602
BRY	Larry L. St. Clair	Colorado	Grand	286.89	outside_boundary_exact	Utah, Grand County	38.75805,-109.616983	BRY-L-0041246	Arches National Park: Salt Valley, approximately 4km SW of campground (ANP No. 1).	https://lichenportal.org/portal/collections/individual/index.php?occid=2644618
BRY	Larry L. St. Clair	Colorado	Grand	286.89	outside_boundary_exact	Utah, Grand County	38.75805,-109.616983	BRY-L-0041247	Arches National Park: Salt Valley, approximately 4km SW of campground (ANP No. 1).	https://lichenportal.org/portal/collections/individual/index.php?occid=2644693
BRY	Larry L. St. Clair	Colorado	Grand	286.89	outside_boundary_exact	Utah, Grand County	38.75805,-109.616983	BRY-L-0041248	Arches National Park: Salt Valley, approximately 4km SW of campground (ANP No. 1).	https://lichenportal.org/portal/collections/individual/index.php?occid=2644629
BRY	Larry L. St. Clair	Colorado	Grand	286.89	outside_boundary_exact	Utah, Grand County	38.75805,-109.616983	BRY-L-0041249	Arches National Park: Salt Valley, approximately 4km SW of campground (ANP No. 1).	https://lichenportal.org/portal/collections/individual/index.php?occid=2644682
BRY	Larry L. St. Clair	Colorado	Grand	286.89	outside_boundary_exact	Utah, Grand County	38.75805,-109.616983	BRY-L-0041250	Arches National Park: Salt Valley, approximately 4km SW of campground (ANP No. 1).	https://lichenportal.org/portal/collections/individual/index.php?occid=2644665
BRY	Larry L. St. Clair	Colorado	Grand	286.89	outside_boundary_exact	Utah, Grand County	38.75805,-109.616983	BRY-L-0041251	Arches National Park: Salt Valley, approximately 4km SW of campground (ANP No. 1).	https://lichenportal.org/portal/collections/individual/index.php?occid=2644702
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021532	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1771705
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021533	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1771157
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021534	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1770541
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021535	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774577
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021536	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1772151
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021537	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1770187
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021538	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1772092
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021539	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1770754
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021540	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1773791
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021541	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1771888
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021543	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1770611
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021544	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1773567
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021545	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1772848
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021546	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1772047
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021547	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1771828
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021548	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1773635
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021549	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774630
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021550	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774416
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021551	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1771926
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021552	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1772012
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021553	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774695
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021554	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1771916
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021555	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1770886
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021556	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1770331
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021557	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1770906
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021558	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1772543
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021559	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1772590
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021560	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1771746
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021561	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1772416
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021562	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1773060
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021563	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1775002
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021564	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1770907
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021565	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1773061
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021566	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1771747
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021567	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774941
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021568	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774276
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021569	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1770908
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021570	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1771046
BRY	Larry L. St. Clair	Colorado	Garfield	148.56	outside_boundary_exact	Utah, Duchesne County	39.88458,-110.77607	BRY-L-0021571	Ashley National Forest: Duchesne Ranger District, Avintaquin Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1771748
BRY	Larry L. St. Clair	Colorado	San Juan	137.9	outside_boundary_exact	Utah, San Juan County	38.441667,-109.231667	BRY-L-0000804	Mt. Peale; 14.5 km north of LaSal; 3.2 km NE of Medicine Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1076302
BRY	Larry L. St. Clair	Colorado	San Juan	137.9	outside_boundary_exact	Utah, San Juan County	38.441667,-109.231667	BRY-L-0000968	Mount Peale; 14.5 km north of LaSal; 3.2 NE of Medicine Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1076469
BRY	Larry L. St. Clair	Colorado	San Juan	137.9	outside_boundary_exact	Utah, San Juan County	38.441667,-109.231667	BRY-L-0002076	Mount Peale; 14.5 km north of LaSal; 3.2 NE of Medicine Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1077580
BRY	Larry L. St. Clair	Colorado	San Juan	137.9	outside_boundary_exact	Utah, San Juan County	38.441667,-109.231667	BRY-L-0002937	Mt. Peale, 14.5 km north of LaSal, 3.2 km NE of Medicine Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1078447
BRY	Larry L. St. Clair	Colorado	San Juan	137.9	outside_boundary_exact	Utah, San Juan County	38.441667,-109.231667	BRY-L-0014801	Mount Peale: 14.5 km north of La Sal: 3.2 km NE of Medicine Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=1300883
BRY	Larry L. St. Clair	Colorado	San Juan	137.9	outside_boundary_exact	Utah, San Juan County	38.441667,-109.231667	BRY-L-0016501	Mount Peale: 14.5 km north of La Sal: 3.2 km NE of Medicine Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=1423063
BRY	Larry L. St. Clair	Colorado	San Juan	137.9	outside_boundary_exact	Utah, San Juan County	38.441667,-109.231667	BRY-L-0017101	Mount Peale: 14.5 km north of La Sal: 3.2 km NE of Medicine Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=1343837
BRY	Larry L. St. Clair	Colorado	San Juan	137.9	outside_boundary_exact	Utah, San Juan County	38.441667,-109.231667	BRY-L-0019416	Mount Peale: 14.5 km north of La Sal: 3.2 km NE of Medicine Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=1370232
BRY	Larry L. St. Clair	Colorado	San Juan	137.31	outside_boundary_exact	Utah, San Juan County	38.413333,-109.25	BRY-L-0009410	Medicine Lake, 12 km north of LaSal, 3.2 km SW of Mount Peale	https://lichenportal.org/portal/collections/individual/index.php?occid=1217926
BRY	Larry L. St. Clair	Colorado	Rio Blanco	25.91	outside_boundary_exact	Colorado, Garfield County	39.59795,-107.60626	BRY-L-0024318	White River National Forest: Meadow Lake turnoff, vicinity of Big Ridge, 3.8 miles north of turnoff to Meadow Lake along USFS Road No. 245.	https://lichenportal.org/portal/collections/individual/index.php?occid=1770823
BRY	Larry L. St. Clair	Colorado	Boulder	17.59	outside_boundary_exact	Colorado, Larimer County	40.416667,-105.405278	BRY-L-0006590	Roosevelt National Forest: Boulder Falls in Boulder Canyon, 8.2 km west of Boulder	https://lichenportal.org/portal/collections/individual/index.php?occid=1081611
BRY	Larry L. St. Clair	Colorado	Boulder	17.59	outside_boundary_exact	Colorado, Larimer County	40.416667,-105.405278	BRY-L-0009408	Roosevelt National Forest: Boulder Falls in Boulder Canyon, 8.2 km west of Boulder	https://lichenportal.org/portal/collections/individual/index.php?occid=1217924
BRY	Larry L. St. Clair	Colorado	Boulder	17.59	outside_boundary_exact	Colorado, Larimer County	40.416667,-105.405278	BRY-L-0012757	Vicinity of Boulder Falls in Boulder Canyon: 82 km west of Boulder	https://lichenportal.org/portal/collections/individual/index.php?occid=1278707
