institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
BRY	Larry L. St. Clair	Idaho	Boise	587.36	outside_boundary_exact	Washington, King County	47.577,-122.034	BRY-L-0022233	Boise National Forest: Helende Campground, along US Highway 21 along Fayette River.	https://lichenportal.org/portal/collections/individual/index.php?occid=1771544
BRY	Larry L. St. Clair	Idaho	Boise	587.36	outside_boundary_exact	Washington, King County	47.577,-122.034	BRY-L-0022234	Boise National Forest: Helende Campground, along US Highway 21 along Fayette River.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774034
BRY	Larry L. St. Clair	Idaho	Boise	587.36	outside_boundary_exact	Washington, King County	47.577,-122.034	BRY-L-0022235	Boise National Forest: Helende Campground, along US Highway 21 along Fayette River.	https://lichenportal.org/portal/collections/individual/index.php?occid=1770681
BRY	Larry L. St. Clair	Idaho	Boise	587.36	outside_boundary_exact	Washington, King County	47.577,-122.034	BRY-L-0022236	Boise National Forest: Helende Campground, along US Highway 21 along Fayette River.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774656
BRY	Larry L. St. Clair	Idaho	Boise	587.36	outside_boundary_exact	Washington, King County	47.577,-122.034	BRY-L-0022237	Boise National Forest: Helende Campground, along US Highway 21 along Fayette River.	https://lichenportal.org/portal/collections/individual/index.php?occid=1772254
BRY	Larry L. St. Clair	Idaho	Idaho	179.23	outside_boundary_exact	Idaho, Custer County	43.709317,-113.835183	BRY-L-0020935	Salmon-Challis National Forest: Smiley Mountain National Recreation Area	https://lichenportal.org/portal/collections/individual/index.php?occid=1570350
ASU	L. St. Clair	Idaho	Idaho	125.04	outside_boundary_exact	Idaho, Boise County	44.07377,-115.36828	NA	Along Selway River on USFS road no. 233, 16.6 km S of Moose Creek Ranger Station	https://lichenportal.org/portal/collections/individual/index.php?occid=2697641
ASU	L. St. Clair	Idaho	Idaho	125.04	outside_boundary_exact	Idaho, Boise County	44.07377,-115.36828	NA	Along Selway River on USFS road no. 233, 16,6 km S of Moose Creek Ranger Station	https://lichenportal.org/portal/collections/individual/index.php?occid=2697643
MONT	Larry L. St. Clair	Idaho	Idaho Co.	125.04	outside_boundary_exact	Idaho, Boise County	44.07377,-115.36828	MONT-L-0004140	along Selway River on USFS road no. 233, 16,6 km S of Moose Creek Ranger Station	https://lichenportal.org/portal/collections/individual/index.php?occid=1389631
MONT	Larry L. St. Clair	Idaho	Idaho Co.	125.04	outside_boundary_exact	Idaho, Boise County	44.07377,-115.36828	MONT-L-0005056	Idaho Co., along Selway River on USFS road no. 233, 16,6 km S of Moose Creek Ranger Station	https://lichenportal.org/portal/collections/individual/index.php?occid=1437937
WIS	Larry L. St. Clair	Idaho	Idaho Co.	125.04	outside_boundary_exact	Idaho, Boise County	44.07377,-115.36828	WIS-L-0108551	Idaho Co., along Selway River on USFS road no. 233, 16,6 km S of Moose Creek Ranger Station	https://lichenportal.org/portal/collections/individual/index.php?occid=1476826
