institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
WIS	John W. Thomson	Florida	Orange	39.24	outside_boundary_exact	Florida, Brevard County	28.06373,-80.623246	WIS-L-0036633	Orlando, campus of Florida Tech. University	https://lichenportal.org/portal/collections/individual/index.php?occid=1070675
DUKE	Thomson, Jr., John, Walter	Florida	Marion Co.	3.4	outside_boundary_exact	Florida, Putnam County	29.48047,-81.74094	49653	Ocala National Forest, Oklawaha River	https://lichenportal.org/portal/collections/individual/index.php?occid=1881408
DUKE	Thomson, Jr., John, Walter	Florida	Marion Co.	3.4	outside_boundary_exact	Florida, Putnam County	29.48047,-81.74094	223626	Ocala National Forest, Oklawaha River	https://lichenportal.org/portal/collections/individual/index.php?occid=1867592
WIS	John W. Thomson	Florida	Martin	2.88	outside_boundary_exact	Florida, Palm Beach County	26.944269,-80.072166	WIS-L-0022199	Jonathan Dickenson State Park, near Jupiter Inlet	https://lichenportal.org/portal/collections/individual/index.php?occid=1024383
WIS	John W. Thomson	Florida	Martin	2.88	outside_boundary_exact	Florida, Palm Beach County	26.944269,-80.072166	WIS-L-0036640	Jonathon Dickenson State Park, near Jupiter Inlet	https://lichenportal.org/portal/collections/individual/index.php?occid=1070682
WIS	John W. Thomson	Florida	Martin	2.88	outside_boundary_exact	Florida, Palm Beach County	26.944269,-80.072166	WIS-L-0093702	Jonathan Dickerson State Park near Jupiter Inlet	https://lichenportal.org/portal/collections/individual/index.php?occid=1367108
DUKE	Thomson, Jr., John, Walter	Florida	Liberty Co.	2.38	outside_boundary_exact	Florida, Gadsden County	30.627184,-84.900808	187039	Aspalaga Bluff	https://lichenportal.org/portal/collections/individual/index.php?occid=1838623
DUKE	Thomson, Jr., John, Walter	Florida	Liberty Co.	2.38	outside_boundary_exact	Florida, Gadsden County	30.62718,-84.90081	152007	Apalachicola River, Aspalaga Bluff	https://lichenportal.org/portal/collections/individual/index.php?occid=1852700
TENN	J.W. Thomson	Florida	Liberty	2.38	outside_boundary_exact	Florida, Gadsden County	30.627184,-84.900808	TENN-L-0003561	Aspalaga Bluff	https://lichenportal.org/portal/collections/individual/index.php?occid=1046255
COLO	John W. Thomson	Florida	Liberty	1.67	outside_boundary_exact	Florida, Gadsden County	30.620847,-84.903464	COLO-L-0017979	river bottom, Aspalaga Bluff	https://lichenportal.org/portal/collections/individual/index.php?occid=1639727
WIS	John W. Thomson	Florida	Liberty	1.67	outside_boundary_exact	Florida, Gadsden County	30.620847,-84.903464	WIS-L-0037830	Aspalaga Bluff	https://lichenportal.org/portal/collections/individual/index.php?occid=1074745
WIS	John W. Thomson	Florida	Liberty	1.67	outside_boundary_exact	Florida, Gadsden County	30.620847,-84.903464	WIS-L-0062793	Aspalaga Bluff	https://lichenportal.org/portal/collections/individual/index.php?occid=1232855
WIS	John W. Thomson	Florida	Morgan	NA	county_not_matched_no_match	county_not_matched	26.985579,-80.098602	WIS-L-0027935	Jonathan Dickenson Sate Park, near Jupiter Inlet	https://lichenportal.org/portal/collections/individual/index.php?occid=1053641
WIS	John W. Thomson	Florida	Morgan	NA	county_not_matched_no_match	county_not_matched	26.985579,-80.098602	WIS-L-0036480	Jonathan Dickerson State Park near Jupiter Inlet	https://lichenportal.org/portal/collections/individual/index.php?occid=1070524
WIS	John W. Thomson	Florida	Morgan	NA	county_not_matched_no_match	county_not_matched	26.985579,-80.098602	WIS-L-0054800	Jonathan Dickinson State Park near Jupiter Inlet	https://lichenportal.org/portal/collections/individual/index.php?occid=1206911
WIS	John W. Thomson	Florida	Morgan	NA	county_not_matched_no_match	county_not_matched	26.985579,-80.098602	WIS-L-0066396	Jonathan Dickenson State Park, near Jupiter Inlet	https://lichenportal.org/portal/collections/individual/index.php?occid=1282653
WIS	John W. Thomson	Florida	Morgan	NA	county_not_matched_no_match	county_not_matched	26.985579,-80.098602	WIS-L-0067149	Jonathan Dickenson State Park, near Jupiter Inlet	https://lichenportal.org/portal/collections/individual/index.php?occid=1283530
WIS	John W. Thomson	Florida	Morgan	NA	county_not_matched_no_match	county_not_matched	26.985579,-80.098602	WIS-L-0069797	Johnathon Dickensen State Park near Jupiter Inlet	https://lichenportal.org/portal/collections/individual/index.php?occid=1294941
