institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
WIS	John W. Thomson	New Jersey	Sussex	4.8	outside_boundary_exact	New Jersey, Passaic County	41.154095,-74.350701	WIS-L-0027679	Hewitt	https://lichenportal.org/portal/collections/individual/index.php?occid=1048246
WIS	John W. Thomson,	New Jersey	Sussex	4.8	outside_boundary_exact	New Jersey, Passaic County	41.154095,-74.350701	WIS-L-0093769	Hewitt	https://lichenportal.org/portal/collections/individual/index.php?occid=1367935
WIS	J.W. Thomson	New Jersey	Ocean	4.66	outside_boundary_exact	New Jersey, Monmouth County	40.152892,-74.181531	WIS-L-0031105	Maxim	https://lichenportal.org/portal/collections/individual/index.php?occid=1059560
WIS	J.W. Thomson	New Jersey	Ocean	4.66	outside_boundary_exact	New Jersey, Monmouth County	40.152892,-74.181531	WIS-L-0033563	Maxim	https://lichenportal.org/portal/collections/individual/index.php?occid=1067495
WIS	J.W. Thomson	New Jersey	Sussex	3.56	outside_boundary_exact	New Jersey, Passaic County	41.13978,-74.389656	WIS-L-0045920	Bearfort Mt.	https://lichenportal.org/portal/collections/individual/index.php?occid=1101406
WIS	John W. Thomson	New Jersey	Union	2.75	outside_boundary_exact	New Jersey, Morris County	40.716768,-74.452931	WIS-L-0036172	Great Swamp, near Plainsfield	https://lichenportal.org/portal/collections/individual/index.php?occid=1070104
WIS	John W. Thomson	New Jersey	Monmouth	1.76	outside_boundary_exact	New Jersey, Middlesex County	40.43489,-74.268077	WIS-L-0036438	Cheesequake Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1070482
WIS	J.W. Thomson	New Jersey	Monmouth	1.66	outside_boundary_exact	New Jersey, Middlesex County	40.437052,-74.265979	WIS-L-0030742	Cheesequake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1057817
WIS	John W. Thomson	New Jersey	Monmouth	1.66	outside_boundary_exact	New Jersey, Middlesex County	40.437052,-74.265979	WIS-L-0031099	Cheesequake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1059554
WIS	J.W. Thomson	New Jersey	Monmouth	1.66	outside_boundary_exact	New Jersey, Middlesex County	40.437052,-74.265979	WIS-L-0031108	Cheesequake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1059563
WIS	John W. Thomson	New Jersey	Monmouth	1.66	outside_boundary_exact	New Jersey, Middlesex County	40.437052,-74.265979	WIS-L-0033321	Cheesequake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1067253
WIS	John W. Thomson	New Jersey	Monmouth	1.66	outside_boundary_exact	New Jersey, Middlesex County	40.437052,-74.265979	WIS-L-0034428	Cheesequake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1068360
WIS	John W. Thomson	New Jersey	Monmouth	1.66	outside_boundary_exact	New Jersey, Middlesex County	40.437052,-74.265979	WIS-L-0036582	Cheesequake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1070624
WIS	J.W. Thomson	New Jersey	Monmouth	1.66	outside_boundary_exact	New Jersey, Middlesex County	40.437052,-74.265979	WIS-L-0036858	Cheesequake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1070918
WIS	J.W. Thomson	New Jersey	Monmouth	1.66	outside_boundary_exact	New Jersey, Middlesex County	40.437052,-74.265979	WIS-L-0037239	Cheesequake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1071299
WIS	J.W. Thomson	New Jersey	Monmouth	1.66	outside_boundary_exact	New Jersey, Middlesex County	40.437052,-74.265979	WIS-L-0037242	Cheesequake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1071302
