institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
WIS	J.W. Thomson	New York	Rockland	2.69	outside_boundary_exact	New York, Orange County	41.252715,-74.128775	WIS-L-0073318	Surebridge Mt., Palisades Interstate Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1310049
WIS	John W. Thomson	New York	Putnam	0.49	outside_boundary_exact	New York, Westchester County	41.318499,-73.9725	WIS-L-0027689	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1048256
WIS	John W. Thomson	New York	Putnam	0.49	outside_boundary_exact	New York, Westchester County	41.318499,-73.9725	WIS-L-0030754	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1057829
WIS	John W. Thomson	New York	Putnam	0.49	outside_boundary_exact	New York, Westchester County	41.318499,-73.9725	WIS-L-0033309	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1067241
WIS	John W. Thomson	New York	Putnam	0.49	outside_boundary_exact	New York, Westchester County	41.318499,-73.9725	WIS-L-0034630	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1068561
WIS	John W. Thomson	New York	Putnam	0.49	outside_boundary_exact	New York, Westchester County	41.318499,-73.9725	WIS-L-0036176	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1070108
WIS	J.W. Thomson	New York	Putnam	0.49	outside_boundary_exact	New York, Westchester County	41.318499,-73.9725	WIS-L-0036323	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1070255
WIS	John W. Thomson	New York	Putnam	0.49	outside_boundary_exact	New York, Westchester County	41.318499,-73.9725	WIS-L-0037024	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1071083
WIS	J.W. Thomson	New York	Putnam	0.49	outside_boundary_exact	New York, Westchester County	41.318499,-73.9725	WIS-L-0047724	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1107147
WIS	John W. Thomson	New York	Putnam	0.49	outside_boundary_exact	New York, Westchester County	41.318499,-73.9725	WIS-L-0049423	near top of Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1123851
WIS	[Thomson]	New York	Putnam	0.49	outside_boundary_exact	New York, Westchester County	41.318499,-73.9725	WIS-L-0053537	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1202276
WIS	John W. Thomson	New York	Putnam	0.49	outside_boundary_exact	New York, Westchester County	41.318499,-73.9725	WIS-L-0054617	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1206729
WIS	John W. Thomson	New York	Putnam	0.49	outside_boundary_exact	New York, Westchester County	41.318499,-73.9725	WIS-L-0055765	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1208175
WIS	John W. Thomson	New York	Putnam	0.49	outside_boundary_exact	New York, Westchester County	41.318499,-73.9725	WIS-L-0058416	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1213754
WIS	John W. Thomson	New York	Putnam	0.49	outside_boundary_exact	New York, Westchester County	41.318499,-73.9725	WIS-L-0058432	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1213770
WIS	[Thomson]	New York	Putnam	0.49	outside_boundary_exact	New York, Westchester County	41.318499,-73.9725	WIS-L-0063691	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1240667
WIS	John W. Thomson	New York	Putnam	0.49	outside_boundary_exact	New York, Westchester County	41.318499,-73.9725	WIS-L-0068971	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1289700
WIS	J.W. Thomson	New York	Putnam	0.49	outside_boundary_exact	New York, Westchester County	41.318499,-73.9725	WIS-L-0073314	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1310045
WIS	John W. Thomson	New York	Putnam	0.49	outside_boundary_exact	New York, Westchester County	41.318499,-73.9725	WIS-L-0091596	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1360718
WIS	John W. Thomson	New York	Putnam	0.49	outside_boundary_exact	New York, Westchester County	41.318499,-73.9725	WIS-L-0095432	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1370826
WIS	John W. Thomson	New York	Putnam	0.49	outside_boundary_exact	New York, Westchester County	41.318499,-73.9725	WIS-L-0100520	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1379716
WIS	John W. Thomson	New York	Putnam	0.49	outside_boundary_exact	New York, Westchester County	41.318499,-73.9725	WIS-L-0101913	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1387515
