institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
US	J. W. Thomson	Wisconsin	Douglas	8705.68	outside_boundary_exact	not_found_in_US	8,-10	NA	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=2811004
US	J. W. Thomson	Wisconsin	Dane	8655.86	outside_boundary_exact	not_found_in_US	7,-9	NA	2 mi southest of Madison.	https://lichenportal.org/portal/collections/individual/index.php?occid=2791224
US	J. W. Thomson	Wisconsin	Dane	8655.86	outside_boundary_exact	not_found_in_US	7,-9	NA	2 mi southest of Madison.	https://lichenportal.org/portal/collections/individual/index.php?occid=2791223
US	J. W. Thomson	Wisconsin	Jackson	8178.57	outside_boundary_exact	not_found_in_US	20,-4	NA	E of Irving.	https://lichenportal.org/portal/collections/individual/index.php?occid=2802248
US	J. W. Thomson	Wisconsin	St. Croix	6568.58	outside_boundary_standardized_exact	not_found_in_US	28,-19	NA	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=2811001
US	J. W. Thomson	Wisconsin	Douglas	6071.15	outside_boundary_exact	not_found_in_US	45,-11	NA	Brule River valley.	https://lichenportal.org/portal/collections/individual/index.php?occid=2792998
US	J. W. Thomson	Wisconsin	Douglas	6071.15	outside_boundary_exact	not_found_in_US	45,-11	NA	Brule River valley.	https://lichenportal.org/portal/collections/individual/index.php?occid=3363538
US	J. W. Thomson	Wisconsin	Douglas	6071.15	outside_boundary_exact	not_found_in_US	45,-11	NA	Brule River valley.	https://lichenportal.org/portal/collections/individual/index.php?occid=2810458
US	J. W. Thomson	Wisconsin	Douglas	6071.15	outside_boundary_exact	not_found_in_US	45,-11	NA	Brule River valley.	https://lichenportal.org/portal/collections/individual/index.php?occid=3369202
US	J. W. Thomson	Wisconsin	Douglas	6071.15	outside_boundary_exact	not_found_in_US	45,-11	NA	Brule River valley.	https://lichenportal.org/portal/collections/individual/index.php?occid=3370419
US	J. W. Thomson	Wisconsin	Douglas	6071.15	outside_boundary_exact	not_found_in_US	45,-11	NA	Brule River valley.	https://lichenportal.org/portal/collections/individual/index.php?occid=3371082
US	J. W. Thomson	Wisconsin	Douglas	6071.15	outside_boundary_exact	not_found_in_US	45,-11	NA	Brule River valley.	https://lichenportal.org/portal/collections/individual/index.php?occid=3373071
US	J. W. Thomson	Wisconsin	Douglas	6071.15	outside_boundary_exact	not_found_in_US	45,-11	NA	Brule River valley.	https://lichenportal.org/portal/collections/individual/index.php?occid=3373510
US	J. W. Thomson	Wisconsin	Douglas	6071.15	outside_boundary_exact	not_found_in_US	45,-11	NA	Brule River valley.	https://lichenportal.org/portal/collections/individual/index.php?occid=2804907
US	J. W. Thomson	Wisconsin	Douglas	6071.15	outside_boundary_exact	not_found_in_US	45,-11	NA	Brule River valley.	https://lichenportal.org/portal/collections/individual/index.php?occid=2810457
US	J. W. Thomson	Wisconsin	Douglas	6071.15	outside_boundary_exact	not_found_in_US	45,-11	NA	Brule River valley.	https://lichenportal.org/portal/collections/individual/index.php?occid=2792997
US	J. W. Thomson	Wisconsin	Douglas	6071.15	outside_boundary_exact	not_found_in_US	45,-11	NA	Brule River valley.	https://lichenportal.org/portal/collections/individual/index.php?occid=3381683
US	J. W. Thomson	Wisconsin	Douglas	6046.48	outside_boundary_exact	not_found_in_US	47,-10	NA	Winneboujou.	https://lichenportal.org/portal/collections/individual/index.php?occid=2811891
US	J. W. Thomson	Wisconsin	Douglas	6046.48	outside_boundary_exact	not_found_in_US	47,-10	NA	Ranger Station.	https://lichenportal.org/portal/collections/individual/index.php?occid=2811003
US	J. W. Thomson	Wisconsin	Douglas	6023.1	outside_boundary_exact	not_found_in_US	46,-11	NA	Upper Brule River near Stone's Bridge.	https://lichenportal.org/portal/collections/individual/index.php?occid=2811890
US	J. W. Thomson	Wisconsin	Douglas	6001.55	outside_boundary_exact	not_found_in_US	48,-10	NA	Ranger Station.	https://lichenportal.org/portal/collections/individual/index.php?occid=2793050
US	J. W. Thomson	Wisconsin	Douglas	5863.23	outside_boundary_exact	not_found_in_US	48,-12	NA	Falls of the Amnicon River.	https://lichenportal.org/portal/collections/individual/index.php?occid=2811095
US	J. W. Thomson	Wisconsin	Douglas	5793.83	outside_boundary_exact	not_found_in_US	48,-13	NA	E of Superior.	https://lichenportal.org/portal/collections/individual/index.php?occid=2810994
US	J. W. Thomson	Wisconsin	Douglas	5786.96	outside_boundary_exact	not_found_in_US	45,-15	NA	Near Black Lake, SW of Superior	https://lichenportal.org/portal/collections/individual/index.php?occid=3590439
US	J. W. Thomson	Wisconsin	Douglas	5767.01	outside_boundary_exact	not_found_in_US	47,-14	NA	Falls of Copper Creek Superior.	https://lichenportal.org/portal/collections/individual/index.php?occid=2793141
US	J. W. Thomson	Wisconsin	Douglas	5740.89	outside_boundary_exact	not_found_in_US	46,-15	NA	Near Lyman Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=2810995
WIS	John W. Thomson	Wisconsin	Douglas	251.54	outside_boundary_exact	Wisconsin, Monroe County	43.97,-90.74	WIS-L-0006170	Along Upper Brule River	https://lichenportal.org/portal/collections/individual/index.php?occid=499273
WIS	John W. Thomson	Wisconsin	Washburn	228.59	outside_boundary_exact	Wisconsin, Waushara County	44.173246,-89.507448	WIS-L-0048769	S of Plainfield	https://lichenportal.org/portal/collections/individual/index.php?occid=1123098
WIS	John W. Thomson	Wisconsin	Douglas	219.38	outside_boundary_exact	Wisconsin, Jackson County	44.285767,-90.666936	WIS-L-0092070	West side of ravine of Black River State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1362247
WIS	John W. Thomson	Wisconsin	Forest	179.73	outside_boundary_exact	Wisconsin, Bayfield County	46.38,-91.3	WIS-L-0003143	East of Wapigon Lake Nicolet Nat'l Forest. [Wabikon Lake]	https://lichenportal.org/portal/collections/individual/index.php?occid=496247
WIS	John W. Thomson	Wisconsin	Forest	179.73	outside_boundary_exact	Wisconsin, Bayfield County	46.38,-91.3	WIS-L-0003231	East of Wabikon Lake, Nicolet Nat'l Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=496334
WIS	John W. Thomson	Wisconsin	Forest	179.73	outside_boundary_exact	Wisconsin, Bayfield County	46.38,-91.3	WIS-L-0003305	East of Wabikon Lake, Nicolet Nat'l Forest.  W of Laona.	https://lichenportal.org/portal/collections/individual/index.php?occid=496408
WIS	John W. Thomson	Wisconsin	Forest	179.73	outside_boundary_exact	Wisconsin, Bayfield County	46.38,-91.3	WIS-L-0003306	East of Wabikon Lake, Nicolet Nat'l Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=496409
WIS	John W. Thomson	Wisconsin	Forest	179.73	outside_boundary_exact	Wisconsin, Bayfield County	46.38,-91.3	WIS-L-0005039	Wabicon Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=498143
