institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COLO	Erin Tripp	Georgia	Lumpkin	13334.25	outside_boundary_exact	not_found_in_US	34.72149,83.85677	COLO-L-0070039	Chattahoochee National Forest, Raven Cliff Wilderness, Cowrock Mountain, S of Appalachian Trail, 0.6 mi W of Tesnatee Gap, 0.2 mi S of Green Cliff Top.	https://lichenportal.org/portal/collections/individual/index.php?occid=4780230
COLO	Erin Tripp	Georgia	Lumpkin	13334.25	outside_boundary_exact	not_found_in_US	34.72149,83.85677	COLO-L-0070045	Chattahoochee National Forest, Raven Cliff Wilderness, Cowrock Mountain, S of Appalachian Trail, 0.6 mi W of Tesnatee Gap, 0.2 mi S of Green Cliff Top.	https://lichenportal.org/portal/collections/individual/index.php?occid=4780231
COLO	Erin Tripp	Georgia	Lumpkin	13334.25	outside_boundary_exact	not_found_in_US	34.72149,83.85677	COLO-L-0069998	Chattahoochee National Forest, Raven Cliff Wilderness, Cowrock Mountain, S of Appalachian Trail, 0.6 mi W of Tesnatee Gap, 0.2 mi S of Green Cliff Top.	https://lichenportal.org/portal/collections/individual/index.php?occid=4780232
COLO	Erin Tripp	Georgia	Lumpkin	13334.25	outside_boundary_exact	not_found_in_US	34.72149,83.85677	COLO-L-0069992	Chattahoochee National Forest, Raven Cliff Wilderness, Cowrock Mountain, S of Appalachian Trail, 0.6 mi W of Tesnatee Gap, 0.2 mi S of Green Cliff Top.	https://lichenportal.org/portal/collections/individual/index.php?occid=4780233
COLO	Erin Tripp	Georgia	Lumpkin	13334.25	outside_boundary_exact	not_found_in_US	34.72149,83.85677	COLO-L-0069986	Chattahoochee National Forest, Raven Cliff Wilderness, Cowrock Mountain, S of Appalachian Trail, 0.6 mi W of Tesnatee Gap, 0.2 mi S of Green Cliff Top.	https://lichenportal.org/portal/collections/individual/index.php?occid=4780234
COLO	Erin Tripp	Georgia	Lumpkin	13334.25	outside_boundary_exact	not_found_in_US	34.72149,83.85677	COLO-L-0069980	Chattahoochee National Forest, Raven Cliff Wilderness, Cowrock Mountain, S of Appalachian Trail, 0.6 mi W of Tesnatee Gap, 0.2 mi S of Green Cliff Top.	https://lichenportal.org/portal/collections/individual/index.php?occid=4780235
COLO	Erin Tripp	Georgia	Lumpkin	13334.25	outside_boundary_exact	not_found_in_US	34.72149,83.85677	COLO-L-0070004	Chattahoochee National Forest, Raven Cliff Wilderness, Cowrock Mountain, S of Appalachian Trail, 0.6 mi W of Tesnatee Gap, 0.2 mi S of Green Cliff Top.	https://lichenportal.org/portal/collections/individual/index.php?occid=4780236
COLO	Erin Tripp	Georgia	Lumpkin	13334.25	outside_boundary_exact	not_found_in_US	34.72149,83.85677	COLO-L-0070047	Chattahoochee National Forest, Raven Cliff Wilderness, Cowrock Mountain, S of Appalachian Trail, 0.6 mi W of Tesnatee Gap, 0.2 mi S of Green Cliff Top.	https://lichenportal.org/portal/collections/individual/index.php?occid=4780237
COLO	Erin Tripp	Georgia	Lumpkin	13334.25	outside_boundary_exact	not_found_in_US	34.72149,83.85677	COLO-L-0070016	Chattahoochee National Forest, Raven Cliff Wilderness, Cowrock Mountain, S of Appalachian Trail, 0.6 mi W of Tesnatee Gap, 0.2 mi S of Green Cliff Top.	https://lichenportal.org/portal/collections/individual/index.php?occid=4780238
COLO	Erin Tripp	Georgia	Lumpkin	13334.25	outside_boundary_exact	not_found_in_US	34.72149,83.85677	COLO-L-0069999	Chattahoochee National Forest, Raven Cliff Wilderness, Cowrock Mountain, S of Appalachian Trail, 0.6 mi W of Tesnatee Gap, 0.2 mi S of Green Cliff Top.	https://lichenportal.org/portal/collections/individual/index.php?occid=4780251
NY	E. A. Tripp	Georgia	Fannin Co.	35.48	outside_boundary_exact	Georgia, Cherokee County	34.29831,-84.29831	04117079	Chattahoochee National Forest, S slopes of Green Mountain just E of Deep Gap and Aska Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3785864
NY	E. A. Tripp	Georgia	Fannin Co.	35.48	outside_boundary_exact	Georgia, Cherokee County	34.29831,-84.29831	04117078	Chattahoochee National Forest, S slopes of Green Mountain just E of Deep Gap and Aska Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3785865
NY	E. A. Tripp	Georgia	Fannin Co.	35.48	outside_boundary_exact	Georgia, Cherokee County	34.29831,-84.29831	04117072	Chattahoochee National Forest, S slopes of Green Mountain just E of Deep Gap and Aska Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3785852
NY	E. A. Tripp	Georgia	Fannin Co.	35.48	outside_boundary_exact	Georgia, Cherokee County	34.29831,-84.29831	04116915	Chattahoochee National Forest, S slopes of Green Mountain just E of Deep Gap and Aska Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3785824
NY	E. A. Tripp	Georgia	Fannin Co.	35.48	outside_boundary_exact	Georgia, Cherokee County	34.29831,-84.29831	04116960	Chattahoochee National Forest, S slopes of Green Mountain just E of Deep Gap and Aska Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=3785752
