institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
PH	James C. Lendemer; E. Tripp	North Carolina	Transylvania	727.48	outside_boundary_exact	Arkansas, Woodruff County	35.092402,-91.103728	PH00061967	Gorges State Park, west banks of Auger Fork, north of confluence with Maple Spring Branch	https://lichenportal.org/portal/collections/individual/index.php?occid=4905858
PH	James C. Lendemer; E. Tripp	North Carolina	Transylvania	727.48	outside_boundary_exact	Arkansas, Woodruff County	35.092402,-91.103728	PH00061968	Gorges State Park, west banks of Auger Fork, north of confluence with Maple Spring Branch	https://lichenportal.org/portal/collections/individual/index.php?occid=4905859
PH	James C. Lendemer; E. Tripp	North Carolina	Transylvania	727.48	outside_boundary_exact	Arkansas, Woodruff County	35.092402,-91.103728	PH00061971	Gorges State Park, west banks of Auger Fork, north of confluence with Maple Spring Branch	https://lichenportal.org/portal/collections/individual/index.php?occid=4905861
DUKE	Lendemer, James, Colin; Tripp, Erin, A.	North Carolina	Craven Co.	115.92	outside_boundary_exact	not_found_in_US	34,-76	22853	Croatan National Forest, N of Flanners Beach Road, W of Flanners Beach Campground, W of SR 70, N of Havelock	https://lichenportal.org/portal/collections/individual/index.php?occid=1850512
DUKE	Lendemer, James, Colin; Tripp, Erin, A.	North Carolina	Craven Co.	115.92	outside_boundary_exact	not_found_in_US	34,-76	22860	Croatan National Forest, N of Flanners Beach Road, W of Flanners Beach Campground, W of SR 70, N of Havelock	https://lichenportal.org/portal/collections/individual/index.php?occid=1883835
DUKE	Lendemer, James, Colin; Tripp, Erin, A.	North Carolina	Craven Co.	115.92	outside_boundary_exact	not_found_in_US	34,-76	22871	Croatan National Forest, N of Flanners Beach Road, W of Flanners Beach Campground, W of SR 70, N of Havelock	https://lichenportal.org/portal/collections/individual/index.php?occid=1870761
DUKE	Lendemer, James, Colin; Tripp, Erin, A.	North Carolina	Craven Co.	115.92	outside_boundary_exact	not_found_in_US	34,-76	22873	Croatan National Forest, N of Flanners Beach Road, W of Flanners Beach Campground, W of SR 70, N of Havelock	https://lichenportal.org/portal/collections/individual/index.php?occid=1839920
DUKE	Lendemer, James, Colin; Tripp, Erin, A.	North Carolina	Craven Co.	115.92	outside_boundary_exact	not_found_in_US	34,-76	22881	Croatan National Forest, N of Flanners Beach Road, W of Flanners Beach Campground, W of SR 70, N of Havelock	https://lichenportal.org/portal/collections/individual/index.php?occid=1840800
DUKE	Lendemer, James, Colin; Tripp, Erin, A.	North Carolina	Craven Co.	115.92	outside_boundary_exact	not_found_in_US	34,-76	22882	Croatan National Forest, N of Flanners Beach Road, W of Flanners Beach Campground, W of SR 70, N of Havelock	https://lichenportal.org/portal/collections/individual/index.php?occid=1864520
DUKE	Lendemer, James, Colin; Tripp, Erin, A.	North Carolina	Jones Co.	88.63	outside_boundary_exact	not_found_in_US	34,-77	22867	Croatan National Forest. Croatan Game Land, W of Mattick's Road, 2.1 mi N of Mire Branch Road (SR 1105), SE of Maysville	https://lichenportal.org/portal/collections/individual/index.php?occid=1882221
