institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
SBBG	S. C. Tucker	California	Mono	8815.41	outside_boundary_exact	not_found_in_US	37.443056,-11.816667	SBBG002613L	White Mtn Rd, S of Crooked Creek turnoff, 4-6 mi N of Schulman Grove (Stop 2)	https://lichenportal.org/portal/collections/individual/index.php?occid=152170
SBBG	S. C. Tucker	California	Mono	8815.41	outside_boundary_exact	not_found_in_US	37.443056,-11.816667	SBBG002614L	White Mtn Rd, S of Crooked Creek Rd turn, 4-6 miles N of Schulman Grove (stop 3)	https://lichenportal.org/portal/collections/individual/index.php?occid=152647
SBBG	S. C. Tucker	California	El Dorado	8765.63	outside_boundary_exact	not_found_in_US	38.766667,-12.283333	NA	Silver Fork Rd near China Flat, ca. 1 mi SE of Hwy 50	https://lichenportal.org/portal/collections/individual/index.php?occid=132842
SBBG	S. C. Tucker	California	Santa Barbara	7623.07	outside_boundary_exact	not_found_in_US	4.966667,-52.3	NA	Nojoqui Falls County Park, N side of Santa Ynez Mts	https://lichenportal.org/portal/collections/individual/index.php?occid=146123
MIN	Tucker, S.	California	Santa Barbara	4550.51	outside_boundary_exact	not_found_in_US	38.45,-172.6005556	891410	Lotusland Estate Montecito	https://lichenportal.org/portal/collections/individual/index.php?occid=424483
MIN	Tucker, S.	California	Santa Barbara	4550.51	outside_boundary_exact	not_found_in_US	38.45,-172.6005556	891411	Lotusland Estate Montecito	https://lichenportal.org/portal/collections/individual/index.php?occid=424484
MIN	Tucker, S.	California	Santa Barbara	4550.51	outside_boundary_exact	not_found_in_US	38.45,-172.6005556	891412	Lotusland Estate Montecito	https://lichenportal.org/portal/collections/individual/index.php?occid=424485
MIN	Tucker, S.	California	Santa Barbara	4550.51	outside_boundary_exact	not_found_in_US	38.45,-172.6005556	891413	Lotusland Estate Montecito	https://lichenportal.org/portal/collections/individual/index.php?occid=424486
MIN	Tucker, S.	California	Santa Barbara	4550.51	outside_boundary_exact	not_found_in_US	38.45,-172.6005556	891414	Lotusland Estate Montecito	https://lichenportal.org/portal/collections/individual/index.php?occid=424487
MIN	Tucker, S.	California	Santa Barbara	4550.51	outside_boundary_exact	not_found_in_US	38.45,-172.6005556	891415	Lotusland Estate Montecito	https://lichenportal.org/portal/collections/individual/index.php?occid=424488
SBBG	S. C. Tucker	California	Contra Costa	4300.34	outside_boundary_exact	not_found_in_US	38.45,-172.600556	SBBG016624L	Black Estate, 70 Rincon Road, Kensington, in Berkeley Hills	https://lichenportal.org/portal/collections/individual/index.php?occid=148047
UCSB	Shirley C. Tucker	California	Napa	4277.75	outside_boundary_exact	not_found_in_US	38.0075,-172.600556	UCSB044958	California Hwy 128 about 2 miles west of Moscowitz Corner.	https://lichenportal.org/portal/collections/individual/index.php?occid=3022698
SBBG	S. C. Tucker	California	Napa	4264.33	outside_boundary_exact	not_found_in_US	38.45,-172.600556	SBBG014835L	Hwy 128 `2 mi W of Moscowitz Corner	https://lichenportal.org/portal/collections/individual/index.php?occid=139745
SBBG	S. C. Tucker	California	Napa	4264.33	outside_boundary_exact	not_found_in_US	38.45,-172.600556	SBBG006665L	Cal. Hwy 128 ~2mi. W of Moscowitz Corner	https://lichenportal.org/portal/collections/individual/index.php?occid=147339
SBBG	S. C. Tucker	California	Napa	4264.33	outside_boundary_exact	not_found_in_US	38.45,-172.600556	NA	St Hwy 128 ca. 2 mi W of Moscowitz Corner	https://lichenportal.org/portal/collections/individual/index.php?occid=147884
SBBG	S. C. Tucker	California	Napa	4264.33	outside_boundary_exact	not_found_in_US	38.45,-172.600556	SBBG001905L	Cal. Hwy 128 ca. 2 mi W of Moscowitz Corner	https://lichenportal.org/portal/collections/individual/index.php?occid=148046
SBBG	S. C. Tucker	California	Napa	4264.33	outside_boundary_exact	not_found_in_US	38.45,-172.600556	NA	St Hwy 128 about 2 mi W of Moscowitz Corner.	https://lichenportal.org/portal/collections/individual/index.php?occid=149339
SBBG	S. C. Tucker	California	Napa	4264.33	outside_boundary_exact	not_found_in_US	38.45,-172.600556	SBBG016594L	Hwy 128, ca. 2 mi W of Moscowitz Corner	https://lichenportal.org/portal/collections/individual/index.php?occid=153565
SBBG	S. C. Tucker	California	Napa	4264.33	outside_boundary_exact	not_found_in_US	38.45,-172.600556	NA	Hwy 128, ca. 2 mi W of Moscowitz Corner	https://lichenportal.org/portal/collections/individual/index.php?occid=153602
SRP	Shirley C (Cotter) Tucker, Ken Tucker	California	Solano	4257.75	outside_boundary_exact	not_found_in_US	38.333901,-172.083298	SRP-L-0005426	Summit of Blue Ridge, Vaca Mountains, Mix Canyon Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=1203884
OS	Shirley C. Tucker	California	Solano	4257.75	outside_boundary_exact	not_found_in_US	38.333889,-172.083333	OS0021719	Summit of Blue Ridge, Vaca Mountains, Mix Canyon Rd.; 38.333901 -172.083298	https://lichenportal.org/portal/collections/individual/index.php?occid=2406560
SBBG	S. C. Tucker	California	Solano	4257.75	outside_boundary_exact	not_found_in_US	38.333889,-172.083333	NA	Black Oak Grove on summit of Blue Ridge, Mix Canyon Rd, Vaca Mtns	https://lichenportal.org/portal/collections/individual/index.php?occid=136762
SBBG	S. C. Tucker	California	Solano	4257.75	outside_boundary_exact	not_found_in_US	38.333889,-172.083333	NA	Summit of Blue Ridge, Vaca Mountains, Mix Canyon Rd	https://lichenportal.org/portal/collections/individual/index.php?occid=147338
SBBG	S. C. Tucker	California	Solano	4257.75	outside_boundary_exact	not_found_in_US	38.333889,-172.083333	SBBG012106L	SUMMIT OF Blue Ridge, Vaca Mountains, Mix Canyon Rd	https://lichenportal.org/portal/collections/individual/index.php?occid=147341
SBBG	S. C. Tucker	California	Solano	4257.75	outside_boundary_exact	not_found_in_US	38.333889,-172.083333	NA	summit of Blue Ridge, Vaca Mountains, Mix Canyon Road	https://lichenportal.org/portal/collections/individual/index.php?occid=147882
SBBG	S. C. Tucker	California	Solano	4257.75	outside_boundary_exact	not_found_in_US	38.333889,-172.083333	NA	summit Blue ridge, Vaca mountains, Mix Canyon Road	https://lichenportal.org/portal/collections/individual/index.php?occid=147883
SBBG	S. C. Tucker	California	Solano	4257.75	outside_boundary_exact	not_found_in_US	38.333889,-172.083333	NA	Summit off Blue Ridge, Vaca Mountains, Mix Canyon Rd	https://lichenportal.org/portal/collections/individual/index.php?occid=149347
SBBG	S. C. Tucker	California	Solano	4257.75	outside_boundary_exact	not_found_in_US	38.333889,-172.083333	SBBG012114L	Black Oak Grove on summit of Blue Ridge, Mix Canyon Road, Vaca Mtns	https://lichenportal.org/portal/collections/individual/index.php?occid=151323
UCSB	Shirley C. Tucker	California	Solano	4257.59	outside_boundary_exact	not_found_in_US	38.33,-172.08	UCSB044607	Summit of Blue Ridge, Vaca Mountains, Mix Canyon Road.; 38.33 -172.08	https://lichenportal.org/portal/collections/individual/index.php?occid=3022926
OSC	Shirley Tucker	California	Ventura	2602.87	outside_boundary_exact	Louisiana, East Baton Rouge County	30.37916667,-91.125	145101a	Baton Rouge	https://lichenportal.org/portal/collections/individual/index.php?occid=4412554
OSC	Shirley Tucker	California	Ventura	2602.87	outside_boundary_exact	Louisiana, East Baton Rouge County	30.37916667,-91.125	145101a	Baton Rouge	https://lichenportal.org/portal/collections/individual/index.php?occid=4412554
SBBG	S. C. Tucker	California	Santa Barbara	489.64	outside_boundary_exact	Arizona, Mohave County	34.945,-113.909444	SBBG012837L	Bates Canyon, about 8 mi S of St Hwy 166, Sierra Madre Range, 17 mi W of Cuyama	https://lichenportal.org/portal/collections/individual/index.php?occid=146964
MIN	Tucker, S.	California	Santa Barbara	409.22	outside_boundary_exact	California, El Dorado County	38.76666667,-120.1833333	854536	Lotusland Botanic Garden	https://lichenportal.org/portal/collections/individual/index.php?occid=399017
MIN	Tucker, S.	California	Santa Barbara	409.22	outside_boundary_exact	California, El Dorado County	38.76666667,-120.1833333	854538	Santa Barbara Botanical Garden	https://lichenportal.org/portal/collections/individual/index.php?occid=399019
MIN	Tucker, S.	California	Santa Barbara	409.22	outside_boundary_exact	California, El Dorado County	38.76666667,-120.1833333	854539	Lotusland Botanic Garden	https://lichenportal.org/portal/collections/individual/index.php?occid=399020
