institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
SBBG	S. C. Tucker	Florida	Wakulla	933.06	outside_boundary_exact	Texas, Hardin County	30.2,-94.45	SBBG015978L	Apalachicola Nat Forest; Country Rd 368, 3.6 mi NW of jct of US 319 at Crawfordville.	https://lichenportal.org/portal/collections/individual/index.php?occid=1315860
SBBG	S. C. Tucker	Florida	Liberty	915	outside_boundary_exact	Texas, Liberty County	30.183333,-94.666667	SBBG015977L	Apalachicola Nat Forest; ocklakonee River, 21.5 mi E of Wilma on Forest Hwy 13	https://lichenportal.org/portal/collections/individual/index.php?occid=1315467
SBBG	S. C. Tucker	Florida	Gulf	549.08	outside_boundary_exact	Louisiana, East Baton Rouge County	30.408333,-91.1125	SBBG001653L	St. Joseph Peninsula State Park, ca. 20 mi SW of Port St. Joe, nature trail along bay	https://lichenportal.org/portal/collections/individual/index.php?occid=1315135
SBBG	S. C. Tucker	Florida	Wakulla	468.34	outside_boundary_exact	Georgia, Pickens County	34.502222,-84.625	SBBG003737L	Apalachicola Nat Forest; West side of Bradwell Bay Wilderness Area, entrance of Florida National Scenic trail, west side of Forest Service Rd. 34, ABLS Field trip, site 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=154132
SBBG	S. C. Tucker	Florida	Liberty	373.61	outside_boundary_exact	not_found_in_US	30.183333,-80.666667	NA	Apalachicola Nat Forest; Ochlockonee River 21.5 mi E of Wilma on Forest Hwy 13	https://lichenportal.org/portal/collections/individual/index.php?occid=152986
SBBG	S. C. Tucker	Florida	Wakulla	260.76	outside_boundary_exact	not_found_in_US	30.2,-87.45	NA	Apalachicola Nat Forest; County rd 368, 3.6 mi NW of jct with US 319 at Crawfordville	https://lichenportal.org/portal/collections/individual/index.php?occid=1315378
LSU	Shirley C. Tucker	Florida	Franklin	18.32	outside_boundary_exact	Florida, Wakulla County	30.17671,-84.668549	LSU00123614	Along Ocklockonee river, 0.5 mi. from State Hwy 13, Apalachicola Nat. Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1524642
LSU	Shirley C. Tucker	Florida	Franklin	13.52	outside_boundary_exact	Florida, Wakulla County	30.133333,-84.625	LSU00122723	W side of Bradwell Bay Wilderness Area, entrance of Florida National Scenic trail, W side of Forest Service Rd. 34. ABLS field trip, Site 6. Apalachicola National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1524565
LSU	Shirley C. Tucker	Florida	Leon	11.35	outside_boundary_exact	Florida, Wakulla County	30.2,-84.45	LSU00129941	Apalachicola National Forest, along Country Rd. 368, 3.6 mi. NW of junction of US 319 at Crawfordville. ABLS Field trip, Site 5.	https://lichenportal.org/portal/collections/individual/index.php?occid=1526852
LSU	Shirley C. Tucker	Florida	Leon	5.38	outside_boundary_exact	Florida, Wakulla County	30.254891,-84.362442	LSU00142306	0.5 mi. W of Wakulla on State Hwy 319, south of Tallahassee.	https://lichenportal.org/portal/collections/individual/index.php?occid=1424700
LSU	Shirley C. Tucker	Florida	Leon	5.38	outside_boundary_exact	Florida, Wakulla County	30.254891,-84.362442	LSU00147581	0.5 mi. W of Wakulla on State Hwy 319, south of Tallahassee	https://lichenportal.org/portal/collections/individual/index.php?occid=1470701
LSU	Shirley C. Tucker	Florida	Liberty	4.74	outside_boundary_exact	Florida, Franklin County	29.958973,-84.976154	LSU00142206	20.5 mi. N of State Hwy 98, on Hwy 65. Apalachicola National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1424663
LSU	Shirley C. Tucker	Florida	Liberty	4.74	outside_boundary_exact	Florida, Franklin County	29.958973,-84.976154	LSU00145627	20.5 mi. N of State Hwy 98 on Hwy 65. Apalachicola National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1462789
LSU	Shirley C. Tucker	Florida	Liberty	4.74	outside_boundary_exact	Florida, Franklin County	29.958973,-84.976154	LSU00147332	20.5 mi. N of State Hwy 98, on Hwy 65. Apalachicola National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470482
LSU	Shirley C. Tucker	Florida	Liberty	4.74	outside_boundary_exact	Florida, Franklin County	29.958973,-84.976154	LSU00147777	20.5 mi. N of State Hwy 98 on Hwy 65. Apalachicola National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470897
LSU	Shirley C. Tucker	Florida	Liberty	4.74	outside_boundary_exact	Florida, Franklin County	29.958973,-84.976154	LSU00147806	20.5 mi. N of State Hwy 98, on Hwy 65. Apalachicola National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470926
LSU	Shirley C. Tucker	Florida	Liberty	4.74	outside_boundary_exact	Florida, Franklin County	29.958973,-84.976154	LSU00127413	20.5 mi. N of State Hwy 98, on Hwy 65. Apalachicola National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1525173
LSU	Shirley C. Tucker	Florida	Liberty	4.71	outside_boundary_exact	Florida, Franklin County	29.959358,-84.976138	LSU00178748	Apalachicola National Forest; 20.5 mi N of State Hwy 98, on Hwy 65.	https://lichenportal.org/portal/collections/individual/index.php?occid=2935954
LSU	Shirley C. Tucker	Florida	Liberty	4.63	outside_boundary_exact	Florida, Franklin County	29.960989,-84.976091	LSU00166224	ABLS Scouting trip. Day 1 Stop 2; 20.5 mi. N of State Hwy. 98, on Hwy 65. Apalachicola National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=5692492
LSU	Shirley C. Tucker	Florida	Liberty	4.63	outside_boundary_exact	Florida, Franklin County	29.960989,-84.976091	LSU00166244	ABLS Scouting trip. Day 1 Stop 2; 20.5 mi. N of State Hwy. 98, on Hwy 65. Apalachicola National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=5692588
LSU	Shirley C. Tucker	Florida	Liberty	4.63	outside_boundary_exact	Florida, Franklin County	29.960989,-84.976091	LSU00119430	Apalachicola National Forest, 20.5 mi. N of State Hwy 98, on Hwy 65. ABLS Scouting trip: Day 1, Stop 2.	https://lichenportal.org/portal/collections/individual/index.php?occid=1524400
LSU	Shirley C. Tucker	Florida	Liberty	4.63	outside_boundary_exact	Florida, Franklin County	29.960989,-84.976091	LSU00119495	ABLS Scouting trip. Day 1 Stop 2; 20.5 mi. N of State Hwy. 98, on Hwy 65. Apalachicola National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1524767
LSU	Shirley C. Tucker	Florida	Liberty	3.88	outside_boundary_exact	Florida, Wakulla County	30.133333,-84.616667	LSU00128132	Apalachicola National Forest; W side of Bradwell Bay Wilderness Area, entrance of Florida National Scenic trail, W side of Forest Service Rd. ABLS Field trip, Site 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1525878
LSU	Shirley C. Tucker	Florida	Liberty	3.88	outside_boundary_exact	Florida, Wakulla County	30.133333,-84.616667	LSU00128227	Apalachicola National Forest, W side of Bradwell Bay Wilderness Area, entrance of Florida National Scenic trail, Forest Service Rd 34.	https://lichenportal.org/portal/collections/individual/index.php?occid=1525971
LSU	Shirley C. Tucker	Florida	Liberty	3.88	outside_boundary_exact	Florida, Wakulla County	30.133333,-84.616667	LSU00130505	Apalachicola National Forest, W side of Bradwell Bay Wilderness Area, entrance of Florida National Scenic trail, W side of Forest Service Rd. 34. ABLS Field trip, Site 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1527404
LSU	Shirley C. Tucker; ABLS Field Trip	Florida	Liberty	3.18	outside_boundary_exact	Florida, Wakulla County	30.1333333,-84.625	LSU00127408	Apalachicola National Forest, W side of Bradwell Bay Wilderness Area, entrance of Florida National Scenic trail, W side of Forest Service Rd. 34. Site 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1525168
LSU	Shirley C. Tucker	Florida	Liberty	3.18	outside_boundary_exact	Florida, Wakulla County	30.1333333,-84.625	LSU00128444	Apalachicola National Forest, W side of Bradwell Bay Wilderness Area, entrance of Florida National Scenic trail, W side of Forest Service Rd. 34. ABLS Field trip, Site 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=1526145
LSU	Shirley C. Tucker	Florida	Liberty	1.69	outside_boundary_exact	Florida, Franklin County	29.99852,-84.977376	LSU00147334	1.5 mi. S of Sumatra, on State Hwy 67, Apalachicola National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470484
LSU	Shirley C. Tucker; Robert R. Haynes	Florida	Liberty	1.69	outside_boundary_exact	Florida, Franklin County	29.99852,-84.977376	LSU00115477	ABLS Scouting trip: Day 1, Stop 6 . 1.5 mi. S of Sumatra, on State Hwy 67, Apalachicola National. Apalachicola National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1512782
LSU	Shirley C. Tucker	Florida	Wakulla	1.22	outside_boundary_exact	Florida, Leon County	30.314446,-84.343041	LSU00129721	Around Leon Sink, 0.5 mi. W of Wakulla on State Hwy 319, south of Tallahassee.	https://lichenportal.org/portal/collections/individual/index.php?occid=1526640
LSU	Shirley C. Tucker	Florida	Wakulla	1.06	outside_boundary_exact	Florida, Wakulla County	30.283333,-84.15	LSU00122724	Along St. Mark's River just E of Natural Bridge State Historic Site, about 6 mi. E of Woodville. St. Marks River	https://lichenportal.org/portal/collections/individual/index.php?occid=1524026
LSU	Shirley C. Tucker	Florida	Franklin	0.76	outside_boundary_exact	Florida, Liberty County	30.020424,-84.958427	LSU00127500	Along Hwy 13 (sand road) 2 mi. E of Sumatra, Apalachicola National Forest. ABLS Scouting trip: Day 2, Stop 3.	https://lichenportal.org/portal/collections/individual/index.php?occid=1525256
MIN	Tucker, S.	Florida	Leon	0.37	outside_boundary_exact	Florida, Wakulla County	30.3,-84.35	819317	Us Highway 319 N of Wakulla Co. Ln; Apalachicola National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=384850
LSU	Shirley C. Tucker	Florida	Leon	0.37	outside_boundary_exact	Florida, Wakulla County	30.3,-84.35	LSU00140455	Apalachicola National Forest, Leon Sinks Area, along US Hwy. 319, just north of Wakulla Co. line.	https://lichenportal.org/portal/collections/individual/index.php?occid=1376085
LSU	Shirley C. Tucker	Florida	Leon	0.37	outside_boundary_exact	Florida, Wakulla County	30.3,-84.35	LSU00140624	Apalachicola National Forest, Leon Sinks Area, along US Hwy. 319, just north of Wakulla Co. line.	https://lichenportal.org/portal/collections/individual/index.php?occid=1380458
